"Series Data"
"C:\Users\user\Google ¶³ºÝµwºÐ\¬v¬yÆ[´ú¤ÀªR_1082\coding\cr2370\adcp\cr2370\cr2370000_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	31
"Time/Ping = 00:05.00"
"First Ensemble Date = 19/06/06"
"First Ensemble Time = 07:53:14.01"
"Ensemble Interval (s) = "	300.19
"1st Bin Range (m) = "	4.23
"Bin Size (m) ="	2.00


Ens	YR	MO	DA	HH	MM	SS	HH		"BTE"	"BTN"	"NVE"	"NVN"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"mm/s"	"mm/s"	"mm/s"	"mm/s"	     "deg"	     "deg"	     "deg"	     "deg"
								

1	19	06	06	07	53	14	01		-14	-25	-2	3	25.14914333	121.78011504	25.14915330	121.78010666
2	19	06	06	07	58	21	06		-42	-49	-4	-3	25.14915330	121.78010666	25.14914501	121.78009668
3	19	06	06	08	03	21	05		-13	-14	1	-3	25.14914501	121.78009668	25.14914333	121.78009668
4	19	06	06	08	08	21	05		-8	-7	11	-5	25.14914333	121.78009668	25.14913168	121.78013499
5	19	06	06	08	13	21	05		-33	-26	-5	0	25.14913335	121.78013667	25.14913335	121.78012334
6	19	06	06	08	18	21	05		-34	-6	-5	5	25.14913335	121.78012166	25.14914668	121.78010666
7	19	06	06	08	23	21	05		-230	-176	-310	-80	25.14914668	121.78010666	25.14890998	121.77919169
8	19	06	06	08	28	21	05		1467	1714	1400	1443	25.14888332	121.77920166	25.15287998	121.78337166
9	19	06	06	08	33	21	03		1437	3161	1290	3344	25.15294000	121.78339169	25.16193663	121.78721166
10	19	06	06	08	38	21	04		399	1347	539	1551	25.16198667	121.78724837	25.16610830	121.78878000
11	19	06	06	08	43	21	04		-192	174	-234	251	25.16611165	121.78877170	25.16679335	121.78808497
12	19	06	06	08	48	21	04		1529	1934	1304	1816	25.16680500	121.78807835	25.17173331	121.79200997
13	19	06	06	08	53	21	04		1431	2129	1683	2358	25.17178503	121.79206336	25.17809166	121.79698169
14	19	06	06	08	58	21	04		-236	423	-318	528	25.17810163	121.79697163	25.17952337	121.79603831
15	19	06	06	09	03	21	02		1716	2244	1522	2151	25.17953502	121.79602833	25.18538165	121.80061164
16	19	06	06	09	08	21	03		676	1085	920	1298	25.18543337	121.80066336	25.18886165	121.80332000
17	19	06	06	09	13	21	03		-65	244	-167	290	25.18886165	121.80331665	25.18965667	121.80281835
18	19	06	06	09	18	21	03		1649	2945	1578	2723	25.18965667	121.80281164	25.19708002	121.80754331
19	19	06	06	09	23	21	03		229	1203	382	1506	25.19715336	121.80757332	25.20111163	121.80866171
20	19	06	06	09	28	21	03		-173	413	-239	480	25.20111834	121.80865835	25.20240999	121.80795000
21	19	06	06	09	33	21	01		-1824	364	-1730	192	25.20241166	121.80794497	25.20294333	121.80276504
22	19	06	06	09	38	21	01		-2597	1355	-2703	1299	25.20296169	121.80271165	25.20646499	121.79471171
23	19	06	06	09	43	21	02		-2175	1155	-2297	1178	25.20649164	121.79465664	25.20964332	121.78789169
24	19	06	06	09	48	21	02		-2108	1136	-2194	1141	25.20966335	121.78785330	25.21273331	121.78135665
25	19	06	06	09	53	21	02		-2387	563	-2449	547	25.21275502	121.78131499	25.21419670	121.77406666
26	19	06	06	09	58	21	02		-2066	51	-2191	125	25.21420500	121.77401167	25.21450499	121.76755669
27	19	06	06	10	03	21	00		-1164	-2252	-1206	-2305	25.21447004	121.76752333	25.20825997	121.76398499
28	19	06	06	10	08	21	00		-335	-2529	-284	-2610	25.20821337	121.76397166	25.20120165	121.76313833
29	19	06	06	10	13	21	01		-1396	-2322	-1244	-2474	25.20115497	121.76312836	25.19450334	121.75941836
30	19	06	06	10	18	21	01		-1583	-2435	-1566	-2559	25.19446000	121.75938835	25.18757167	121.75476498
31	19	06	06	10	23	21	01		-1470	-1967	-1439	-2113	25.18752331	121.75473833	25.18184834	121.75047998
32	19	06	06	10	28	21	01		1596	-1374	1395	-1391	25.18180836	121.75045836	25.17809166	121.75468669
33	19	06	06	10	33	20	09		2561	-1031	2687	-1024	25.17806500	121.75475501	25.17532999	121.76267004
34	19	06	06	10	38	20	09		2667	-1184	2780	-1104	25.17531331	121.76271999	25.17233337	121.77095169
35	19	06	06	10	43	20	09		2690	-1267	2793	-1181	25.17231166	121.77100668	25.16913333	121.77926830
36	19	06	06	10	48	21	00		2692	-1214	2859	-1114	25.16911170	121.77932337	25.16612004	121.78776504
37	19	06	06	10	53	21	00		-159	-2628	421	-2470	25.16610336	121.78781332	25.16073332	121.78870163
