"Series Data"
"C:\Users\user\Google ¶³ºÝµwºÐ\¬v¬yÆ[´ú¤ÀªR_1082\cr2252001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	30
"Time/Ping = 00:05.00"
"First Ensemble Date = 17/07/21"
"First Ensemble Time = 15:55:15.07"
"Ensemble Interval (s) = "	300.01
"1st Bin Range (m) = "	7.99
"Bin Size (m) ="	4.00


Ens	YR	MO	DA	HH	MM	SS	HH		    "FLat"	    "FLon"	    "LLat"	    "LLon"
									     "deg"	     "deg"	     "deg"	     "deg"
								

1	17	07	21	15	55	15	07		25.49728165	122.26299497	25.50153832	122.26586670
2	17	07	21	16	00	15	08		25.50154335	122.26585831	25.50334336	122.26286002
3	17	07	21	16	05	15	08		25.50334998	122.26284837	25.50552165	122.25919168
4	17	07	21	16	10	25	07		25.50553003	122.25918163	25.50755837	122.25566500
5	17	07	21	16	15	25	05		25.50755669	122.25562837	25.50892001	122.23764667
6	17	07	21	16	20	25	06		25.50892336	122.23758498	25.51053663	122.22879496
7	17	07	21	16	25	25	06		25.51054166	122.22877996	25.51282170	122.22440335
8	17	07	21	16	30	25	06		25.51283000	122.22438835	25.51553668	122.22027166
9	17	07	21	16	35	15	07		25.51554834	122.22025665	25.51881501	122.21583336
10	17	07	21	16	40	25	06		25.51882667	122.21582003	25.52263834	122.21130503
11	17	07	21	16	45	25	04		25.52264999	122.21128835	25.52523664	122.20615502
12	17	07	21	16	50	25	05		25.52524335	122.20613834	25.52711997	122.20151497
13	17	07	21	16	55	25	05		25.52712500	122.20149837	25.52766169	122.19965670
14	17	07	21	17	00	25	05		25.52764837	122.19968000	25.52259668	122.20809166
15	17	07	21	17	05	25	05		25.52257832	122.20812167	25.51753837	122.21662830
16	17	07	21	17	10	25	05		25.51751833	122.21665336	25.51191671	122.22473335
17	17	07	21	17	15	25	03		25.51189835	122.22476168	25.50690165	122.23343334
18	17	07	21	17	20	25	03		25.50688497	122.23346503	25.50133497	122.24226502
19	17	07	21	17	25	25	04		25.50131503	122.24229335	25.49514829	122.25180832
20	17	07	21	17	30	25	04		25.49512834	122.25184168	25.49537502	122.25561831
21	17	07	21	17	35	25	04		25.49538835	122.25562166	25.49425336	122.25545000
22	17	07	21	17	40	25	04		25.49424665	122.25545000	25.49330503	122.25592165
23	17	07	21	17	45	25	02		25.49330167	122.25592501	25.49288333	122.25615333
24	17	07	21	17	50	25	02		25.49288333	122.25615165	25.49546999	122.25650830
25	17	07	21	17	55	25	03		25.49547837	122.25651165	25.49804332	122.25843002
26	17	07	21	18	00	25	03		25.49805002	122.25843497	25.49941837	122.25830496
27	17	07	21	18	05	25	03		25.49942331	122.25830496	25.50177829	122.25763500
28	17	07	21	18	10	25	01		25.50178835	122.25762997	25.50258002	122.25599164
29	17	07	21	18	15	25	01		25.50257332	122.25599164	25.50097497	122.25616498
30	17	07	21	18	20	25	01		25.50097497	122.25616330	25.50088998	122.25621670
31	17	07	21	18	25	25	01		25.50088998	122.25621670	25.50003000	122.25608837
32	17	07	21	18	30	25	02		25.50002497	122.25608669	25.49891663	122.25609331
33	17	07	21	18	35	25	02		25.49891336	122.25609499	25.49753169	122.25602668
34	17	07	21	18	40	25	00		25.49752666	122.25602500	25.49618664	122.25600170
35	17	07	21	18	45	25	00		25.49618497	122.25600170	25.49505835	122.25607663
36	17	07	21	18	50	25	00		25.49505500	122.25607663	25.49379998	122.25595669
37	17	07	21	18	55	25	00		25.49379830	122.25595334	25.49248670	122.25580330
38	17	07	21	19	00	25	00		25.49248335	122.25580330	25.49140166	122.25581336
39	17	07	21	19	05	25	01		25.49139831	122.25581336	25.49060337	122.25524163
40	17	07	21	19	10	24	09		25.49060170	122.25524004	25.49627666	122.25072831
41	17	07	21	19	15	24	09		25.49632503	122.25070333	25.51144330	122.24327831
42	17	07	21	19	20	24	09		25.51149501	122.24325165	25.52306497	122.23707167
43	17	07	21	19	25	24	09		25.52308165	122.23707335	25.52738836	122.23735004
44	17	07	21	19	30	24	09		25.52740336	122.23735004	25.53167168	122.23714334
45	17	07	21	19	35	25	00		25.53168501	122.23714334	25.53550330	122.23669834
46	17	07	21	19	40	24	08		25.53551663	122.23669499	25.53910500	122.23676330
47	17	07	21	19	45	24	08		25.53909830	122.23676498	25.53001835	122.23547668
48	17	07	21	19	50	24	08		25.52998499	122.23546830	25.52037003	122.23358329
49	17	07	21	19	55	24	08		25.52034496	122.23358329	25.52142832	122.23105665
50	17	07	21	20	00	24	08		25.52143830	122.23105171	25.53251666	122.22985829
51	17	07	21	20	05	24	08		25.53257165	122.22985997	25.54909003	122.23054670
52	17	07	21	20	10	24	07		25.54914334	122.23054837	25.56489335	122.23105498
53	17	07	21	20	15	24	07		25.56494499	122.23105665	25.58076331	122.23245668
54	17	07	21	20	20	24	07		25.58081671	122.23246163	25.59664669	122.23244830
55	17	07	21	20	25	24	07		25.59669832	122.23244671	25.61244330	122.23353996
56	17	07	21	20	30	24	07		25.61249502	122.23355002	25.61873334	122.23475332
57	17	07	21	20	35	24	07		25.61874331	122.23475500	25.62128169	122.23481669
58	17	07	21	20	40	24	05		25.62128998	122.23481837	25.62393171	122.23503831
59	17	07	21	20	45	20	01		25.62394168	122.23503831	25.61866670	122.23499003
60	17	07	21	20	50	20	01		25.61862999	122.23498332	25.61592003	122.23324165
61	17	07	21	20	55	20	01		25.61592330	122.23323829	25.61754168	122.23265332
62	17	07	21	21	00	20	01		25.61754663	122.23265165	25.61367335	122.23234998
