"Series Data"
"D:\CLASS\NTOU\1082\洋流觀測分析\上課講義檔案\cr2247001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	60
"Time/Ping = 00:02.00"
"First Ensemble Date = 17/06/29"
"First Ensemble Time = 02:05:08.00"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	15.96
"Bin Size (m) ="	8.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Nor"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"mm/s"	"mm/s"	     "deg"	     "deg"	     "deg"	     "deg"
									1	1

90	17	06	29	02	05	08	00		249	114	24.87808331	122.02175500	24.87671337	122.02172164
91	17	06	29	02	10	08	00		238	77	24.87670834	122.02172164	24.87533664	122.02168333
92	17	06	29	02	15	08	00		250	81	24.87533170	122.02168333	24.87377669	122.02175332
93	17	06	29	02	20	08	00		229	141	24.87377166	122.02175332	24.87239996	122.02181669
94	17	06	29	02	25	08	00		271	68	24.87239669	122.02181669	24.87132666	122.02138997
95	17	06	29	02	30	08	00		240	6	24.87132330	122.02138670	24.87034170	122.02075831
96	17	06	29	02	35	08	00		255	39	24.87033835	122.02075663	24.86930335	122.02017333
97	17	06	29	02	40	08	00		153	14	24.86929832	122.02017166	24.86817003	122.01956833
98	17	06	29	02	45	08	00		234	47	24.86816500	122.01956665	24.86702833	122.01885997
99	17	06	29	02	50	08	00		162	49	24.86702498	122.01885830	24.86591337	122.01812496
100	17	06	29	02	55	08	00		211	20	24.86591002	122.01812337	24.86476329	122.01731334
101	17	06	29	03	00	08	00		164	-1	24.86475835	122.01730999	24.86351497	122.01646836
102	17	06	29	03	05	08	00		170	-52	24.86351003	122.01646501	24.86223003	122.01564501
103	17	06	29	03	10	08	00		217	-22	24.86222500	122.01564333	24.86090166	122.01484504
104	17	06	29	03	15	08	00		176	4	24.86089664	122.01484337	24.85951002	122.01407332
105	17	06	29	03	20	08	00		231	-24	24.85950499	122.01406997	24.85792835	122.01337670
106	17	06	29	03	25	08	00		293	-11	24.85792165	122.01337502	24.85616497	122.01291829
107	17	06	29	03	30	08	00		254	-54	24.85615835	122.01291829	24.85430335	122.01242837
108	17	06	29	03	35	08	00		159	-31	24.85429832	122.01242669	24.85269997	122.01216836
109	17	06	29	03	40	08	00		263	-57	24.85269503	122.01216836	24.85114999	122.01205663
110	17	06	29	03	45	08	00		273	-98	24.85114337	122.01205663	24.84951502	122.01355834
111	17	06	29	03	50	08	00		229	-92	24.84951166	122.01356831	24.84927831	122.01644330
112	17	06	29	03	55	08	00		192	-137	24.84927999	122.01645168	24.85023829	122.01808498
113	17	06	29	04	00	08	00		210	-181	24.85024164	122.01808666	24.85064666	122.01771668
114	17	06	29	04	05	08	00		197	-169	24.85064498	122.01771333	24.84925669	122.01729834
115	17	06	29	04	10	08	00		195	-102	24.84924830	122.01729834	24.84748836	122.01906499
116	17	06	29	04	15	08	00		167	-153	24.84748500	122.01907497	24.84743170	122.02162835
117	17	06	29	04	20	08	00		339	-127	24.84743337	122.02163497	24.84835337	122.02221500
118	17	06	29	04	25	08	00		173	-142	24.84835496	122.02221332	24.84784165	122.02120665
119	17	06	29	04	30	08	00		133	-199	24.84783662	122.02120330	24.84579002	122.02129835
120	17	06	29	04	35	08	00		80	-272	24.84578331	122.02130330	24.84457003	122.02359332
