"Series Data"
"C:\Users\user\Google ¶³ºÝµwºÐ\¬v¬yÆ[´ú¤ÀªR_1082\cr2247001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	60
"Time/Ping = 00:02.00"
"First Ensemble Date = 17/06/28"
"First Ensemble Time = 18:40:08.00"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	15.96
"Bin Size (m) ="	8.00


Ens	YR	MO	DA	HH	MM	SS	HH		"BTE"	"BTN"	"NVE"	"NVN"
									"mm/s"	"mm/s"	"mm/s"	"mm/s"
								

1	17	06	28	18	40	08	00		-510	-241	-535	-272
2	17	06	28	18	45	08	00		-173	11	-226	-60
3	17	06	28	18	50	08	00		-248	43	-249	169
4	17	06	28	18	55	08	00		-430	-939	-470	-939
5	17	06	28	19	00	08	00		-1494	-3351	-1559	-3348
6	17	06	28	19	05	08	00		-1469	-3584	-1589	-3744
7	17	06	28	19	10	08	00		-588	-858	-617	-887
8	17	06	28	19	15	08	00		-589	-780	-618	-816
9	17	06	28	19	20	08	00		-200	560	-207	430
10	17	06	28	19	25	08	00		-167	914	-192	852
11	17	06	28	19	30	08	00		-558	5164	-578	5296
12	17	06	28	19	35	08	00		-3110	3854	-3072	4024
13	17	06	28	19	40	08	00		-3186	3283	-3284	3421
14	17	06	28	19	45	08	00		-574	-116	-597	56
15	17	06	28	19	50	08	00		-558	-341	-578	-486
16	17	06	28	19	55	08	00		-88	1284	-137	1309
17	17	06	28	20	00	08	00		-70	1355	-62	1386
18	17	06	28	20	05	08	00		1372	3743	1234	3812
19	17	06	28	20	10	08	00		2597	3191	2729	3325
20	17	06	28	20	15	08	00		-315	238	-251	261
21	17	06	28	20	20	08	00		-560	-111	-525	-39
22	17	06	28	20	25	08	00		68	1261	-125	1188
23	17	06	28	20	30	08	00		2282	2037	2375	2106
24	17	06	28	20	35	08	00		862	782	908	797
25	17	06	28	20	40	08	00		514	487	577	496
26	17	06	28	20	45	08	00		-132	-74	-120	-91
27	17	06	28	20	50	08	00		1571	-927	1436	-841
28	17	06	28	20	55	08	00		4196	-2540	4261	-2673
29	17	06	28	21	00	08	00		3688	-3271	3733	-3387
30	17	06	28	21	05	08	00		882	-418	1023	-610
31	17	06	28	21	10	08	00		-237	8	-168	29
32	17	06	28	21	15	08	00		-380	87	-468	37
33	17	06	28	21	20	08	00		752	-514	675	-345
34	17	06	28	21	25	08	00		2506	-1027	2397	-1055
35	17	06	28	21	30	08	00		4730	-1667	4823	-1806
36	17	06	28	21	35	08	00		2290	-1134	2461	-1183
37	17	06	28	21	40	08	00		-50	-267	-66	-367
38	17	06	28	21	45	08	00		836	-441	836	-370
39	17	06	28	21	50	08	00		2684	-1345	2796	-1345
40	17	06	28	21	55	08	00		-335	-456	-229	-538
41	17	06	28	22	00	08	00		39	-313	-105	-345
42	17	06	28	22	05	08	00		897	32	905	11
43	17	06	28	22	10	08	00		4313	415	4586	360
44	17	06	28	22	15	08	00				4880	274
45	17	06	28	22	20	08	00				4818	182
46	17	06	28	22	25	08	00				4765	-68
47	17	06	28	22	30	08	00				2787	-98
48	17	06	28	22	35	08	00				-72	95
49	17	06	28	22	40	08	00				-240	406
50	17	06	28	22	45	08	00				1841	1
51	17	06	28	22	50	08	00				4988	143
52	17	06	28	22	55	08	00				4965	8
53	17	06	28	23	00	08	00				4931	-49
54	17	06	28	23	05	08	00				4955	-53
55	17	06	28	23	10	08	00				5048	-206
56	17	06	28	23	15	08	00				4574	-155
57	17	06	28	23	20	08	00				133	408
58	17	06	28	23	25	08	00				170	799
59	17	06	28	23	30	08	00		1656	131	1515	-446
60	17	06	28	23	35	08	00		5129	-250	5248	-300
61	17	06	28	23	40	08	00		5181	-343	5323	-401
62	17	06	28	23	45	08	00				5464	-202
63	17	06	28	23	50	08	00				2739	-540
64	17	06	28	23	55	08	00				-126	-720
65	17	06	29	00	00	08	00				760	-440
66	17	06	29	00	05	08	00				216	506
67	17	06	29	00	10	08	00				-4507	1513
68	17	06	29	00	15	08	00				-4506	1515
69	17	06	29	00	20	08	00		-4671	1550	-4671	1730
70	17	06	29	00	25	08	00		-4682	1586	-4868	1660
71	17	06	29	00	30	08	00				-5019	1603
72	17	06	29	00	35	08	00				-4954	1488
73	17	06	29	00	40	08	00				-5038	1368
74	17	06	29	00	45	08	00				-5110	1414
75	17	06	29	00	50	08	00				-5242	1376
76	17	06	29	00	55	08	00				-5270	1468
77	17	06	29	01	00	08	00				-5104	1497
78	17	06	29	01	05	08	00				-4906	1514
79	17	06	29	01	10	08	00				-4545	2092
80	17	06	29	01	15	08	00		-3236	689	-4437	1526
81	17	06	29	01	20	08	00		-196	194	-274	290
82	17	06	29	01	25	08	00		530	-420	539	-441
83	17	06	29	01	30	08	00		129	-833	184	-883
84	17	06	29	01	35	08	00		-203	-784	-199	-794
85	17	06	29	01	40	08	00		-124	-420	-114	-424
86	17	06	29	01	45	08	00		-118	-485	-111	-502
87	17	06	29	01	50	08	00		-20	-492	-25	-509
88	17	06	29	01	55	08	00		-23	-519	-36	-541
89	17	06	29	02	00	08	00		-15	-462	-7	-477
90	17	06	29	02	05	08	00		0	-491	-15	-509
91	17	06	29	02	10	08	00		3	-485	-12	-511
92	17	06	29	02	15	08	00		38	-553	25	-575
93	17	06	29	02	20	08	00		10	-480	24	-510
94	17	06	29	02	25	08	00		-146	-387	-142	-400
95	17	06	29	02	30	08	00		-207	-361	-211	-362
96	17	06	29	02	35	08	00		-196	-363	-197	-384
97	17	06	29	02	40	08	00		-204	-406	-204	-419
98	17	06	29	02	45	08	00		-210	-406	-237	-423
99	17	06	29	02	50	08	00		-254	-396	-251	-405
100	17	06	29	02	55	08	00		-258	-414	-273	-426
101	17	06	29	03	00	08	00		-267	-456	-283	-463
102	17	06	29	03	05	08	00		-264	-466	-279	-473
103	17	06	29	03	10	08	00		-263	-471	-270	-492
104	17	06	29	03	15	08	00		-237	-510	-264	-512
105	17	06	29	03	20	08	00		-206	-568	-235	-586
106	17	06	29	03	25	08	00		-136	-631	-155	-649
107	17	06	29	03	30	08	00		-152	-668	-166	-685
108	17	06	29	03	35	08	00		-93	-573	-88	-591
109	17	06	29	03	40	08	00		-13	-551	-41	-574
110	17	06	29	03	45	08	00		593	-545	504	-604
111	17	06	29	03	50	08	00		921	-1	971	-85
112	17	06	29	03	55	08	00		458	374	557	355
113	17	06	29	04	00	08	00		-161	64	-125	153
114	17	06	29	04	05	08	00		-73	-570	-140	-508
115	17	06	29	04	10	08	00		667	-557	592	-652
116	17	06	29	04	15	08	00		779	84	868	-25
117	17	06	29	04	20	08	00		239	341	200	341
118	17	06	29	04	25	08	00		-311	-279	-339	-182
119	17	06	29	04	30	08	00		152	-745	26	-756
120	17	06	29	04	35	08	00		760	-362	774	-452
121	17	06	29	04	40	08	00		457	208	525	200
122	17	06	29	04	45	08	00		-229	75	-212	69
123	17	06	29	04	50	08	00		-184	-644	-276	-558
124	17	06	29	04	55	08	00		488	-730	503	-756
125	17	06	29	05	00	08	00		744	-123	779	-228
126	17	06	29	05	05	08	00		186	51	95	221
127	17	06	29	05	10	08	00		-733	-333	-837	-421
128	17	06	29	05	15	08	00		-475	-149	-505	-170
129	17	06	29	05	20	08	00		-468	-200	-490	-182
130	17	06	29	05	25	08	00		-498	-147	-514	-143
131	17	06	29	05	30	08	00		-503	-145	-521	-120
132	17	06	29	05	35	08	00		-551	-191	-553	-163
133	17	06	29	05	40	08	00		-533	-187	-573	-202
134	17	06	29	05	45	08	00		-535	-205	-553	-203
135	17	06	29	05	50	08	00		-557	-214	-574	-212
136	17	06	29	05	55	08	00		-539	-196	-572	-185
137	17	06	29	06	00	08	00		-549	-165	-569	-152
138	17	06	29	06	05	08	00		-592	-109	-621	-112
139	17	06	29	06	10	08	00		-568	-88	-611	-64
140	17	06	29	06	15	08	00		-571	-87	-576	-83
141	17	06	29	06	20	08	00		-633	-98	-654	-101
142	17	06	29	06	25	08	00		-701	-114	-724	-102
143	17	06	29	06	30	08	00		-708	-84	-728	-78
144	17	06	29	06	35	08	00		-677	-85	-700	-83
145	17	06	29	06	40	08	00		-858	-129	-871	-109
146	17	06	29	06	45	08	00		-926	-124	-961	-134
147	17	06	29	06	50	08	00		-943	-167	-971	-166
148	17	06	29	06	55	08	00		-898	-183	-938	-177
149	17	06	29	07	00	08	00		-872	-178	-900	-169
150	17	06	29	07	05	08	00		-805	-208	-842	-208
151	17	06	29	07	10	08	00		-755	-160	-771	-173
152	17	06	29	07	15	08	00		-899	-143	-926	-141
153	17	06	29	07	20	08	00		-1042	-158	-1071	-149
154	17	06	29	07	25	08	00		-979	-149	-1009	-142
155	17	06	29	07	30	08	00		-1196	-192	-1233	-197
156	17	06	29	07	35	08	00		-1054	-193	-1092	-184
157	17	06	29	07	40	08	00		-985	-175	-1016	-168
158	17	06	29	07	45	08	00		-820	-21	-832	-6
159	17	06	29	07	50	08	00		-735	26	-761	37
160	17	06	29	07	55	08	00		-736	12	-733	27
161	17	06	29	08	00	08	00		-650	-175	-679	-124
162	17	06	29	08	05	08	00		-380	-101	-440	-195
163	17	06	29	08	10	08	00		-240	78	-236	82
164	17	06	29	08	15	08	00		-264	90	-255	120
165	17	06	29	08	20	08	00		-370	148	-358	170
166	17	06	29	08	25	08	00		-430	59	-441	101
167	17	06	29	08	30	08	00		-437	127	-465	70
168	17	06	29	08	35	08	00		-312	218	-301	245
169	17	06	29	08	40	08	00		-389	126	-393	174
170	17	06	29	08	45	08	00		-401	102	-452	36
171	17	06	29	08	50	08	00		-322	191	-292	226
172	17	06	29	08	55	08	00		-481	248	-528	216
173	17	06	29	09	00	08	00		-413	300	-419	336
174	17	06	29	09	05	08	00		-640	327	-613	363
175	17	06	29	09	10	08	00		-762	152	-748	234
176	17	06	29	09	15	08	00		-711	227	-809	115
177	17	06	29	09	20	08	00		125	295	70	392
178	17	06	29	09	25	08	00		-74	142	-72	167
179	17	06	29	09	30	08	00		-93	150	-82	152
180	17	06	29	09	35	08	00		34	33	38	46
181	17	06	29	09	40	08	00		82	-31	85	-58
182	17	06	29	09	45	08	00		349	-2	352	14
183	17	06	29	09	50	08	00		796	-222	818	-210
184	17	06	29	09	55	08	00		1051	-302	1065	-291
185	17	06	29	10	00	08	00		3084	-738	3157	-729
186	17	06	29	10	05	08	00		249	-151	278	-223
187	17	06	29	10	10	08	00		-94	57	-120	81
188	17	06	29	10	15	08	00		425	-300	443	-255
189	17	06	29	10	20	08	00		430	-387	443	-402
190	17	06	29	10	25	08	00		435	-347	454	-360
191	17	06	29	10	30	08	00		437	-319	448	-321
192	17	06	29	10	35	08	00		323	-243	349	-252
193	17	06	29	10	40	08	00		61	-102	59	-112
194	17	06	29	10	45	08	00		26	-105	19	-119
195	17	06	29	10	50	08	00		299	-201	243	-180
196	17	06	29	10	55	08	00		4309	1212	4419	1155
197	17	06	29	11	00	08	00		3677	3570	3769	3656
198	17	06	29	11	05	08	00		2792	4444	2862	4571
199	17	06	29	11	10	08	00		2199	4911	2280	5040
200	17	06	29	11	15	08	00		1974	5028	2087	5156
201	17	06	29	11	20	08	00		1399	4989	1501	5118
202	17	06	29	11	25	08	00		1049	5151	1118	5282
203	17	06	29	11	30	08	00		799	5374	821	5502
204	17	06	29	11	35	08	00		771	5244	773	5395
205	17	06	29	11	40	08	00		1200	5271	1200	5413
206	17	06	29	11	45	08	00		993	5333	1021	5494
207	17	06	29	11	50	08	00		-152	5324	-153	5477
208	17	06	29	11	55	08	00		-434	5533	-463	5668
209	17	06	29	12	00	08	00		-1379	5685	-1418	5812
210	17	06	29	12	05	08	00		-2426	5896	-2481	6060
211	17	06	29	12	10	08	00		-2655	4779	-2709	4926
212	17	06	29	12	15	08	00		-2921	4677	-2986	4805
213	17	06	29	12	20	08	00		-3346	4537	-3422	4653
214	17	06	29	12	25	08	00		-3595	4602	-3698	4706
215	17	06	29	12	30	08	00		-3321	4680	-3437	4742
216	17	06	29	12	35	08	00		-3103	4724	-3214	4823
217	17	06	29	12	40	08	00		-3338	4550	-3442	4597
218	17	06	29	12	45	08	00		-3643	4615	-3777	4675
219	17	06	29	12	50	08	00		-4764	2744	-4839	2953
220	17	06	29	12	55	08	00		-4933	1265	-5040	1302
221	17	06	29	13	00	08	00		-4938	1023	-5057	1109
222	17	06	29	13	05	08	00		-4910	710	-5034	719
