"Series Data"
"D:\CLASS\NTOU\1082\洋流觀測分析\上課講義檔案\cr2247001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	60
"Time/Ping = 00:02.00"
"First Ensemble Date = 17/06/29"
"First Ensemble Time = 02:05:08.00"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	15.96
"Bin Size (m) ="	8.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"BTE"	"BTN"
									"mm/s"	"mm/s"	"mm/s"
									1

90	17	06	29	02	05	08	00		234	0	-491
91	17	06	29	02	10	08	00		223	3	-485
92	17	06	29	02	15	08	00		237	38	-553
93	17	06	29	02	20	08	00		243	10	-480
94	17	06	29	02	25	08	00		275	-146	-387
95	17	06	29	02	30	08	00		236	-207	-361
96	17	06	29	02	35	08	00		254	-196	-363
97	17	06	29	02	40	08	00		153	-204	-406
98	17	06	29	02	45	08	00		207	-210	-406
99	17	06	29	02	50	08	00		165	-254	-396
100	17	06	29	02	55	08	00		196	-258	-414
101	17	06	29	03	00	08	00		148	-267	-456
102	17	06	29	03	05	08	00		155	-264	-466
103	17	06	29	03	10	08	00		210	-263	-471
104	17	06	29	03	15	08	00		149	-237	-510
105	17	06	29	03	20	08	00		202	-206	-568
106	17	06	29	03	25	08	00		274	-136	-631
107	17	06	29	03	30	08	00		240	-152	-668
108	17	06	29	03	35	08	00		164	-93	-573
109	17	06	29	03	40	08	00		235	-13	-551
110	17	06	29	03	45	08	00		184	593	-545
111	17	06	29	03	50	08	00		279	921	-1
112	17	06	29	03	55	08	00		291	458	374
113	17	06	29	04	00	08	00		246	-161	64
114	17	06	29	04	05	08	00		130	-73	-570
115	17	06	29	04	10	08	00		120	667	-557
116	17	06	29	04	15	08	00		256	779	84
117	17	06	29	04	20	08	00		300	239	341
118	17	06	29	04	25	08	00		145	-311	-279
119	17	06	29	04	30	08	00		7	152	-745
120	17	06	29	04	35	08	00		94	760	-362
