"Series Data"
"C:\Users\user\Google ¶³ºÝµwºÐ\¬v¬yÆ[´ú¤ÀªR_1082\cr2247001_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	60
"Time/Ping = 00:02.00"
"First Ensemble Date = 17/06/28"
"First Ensemble Time = 18:40:08.00"
"Ensemble Interval (s) = "	300.00
"1st Bin Range (m) = "	15.96
"Bin Size (m) ="	8.00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Nor"
									"mm/s"	"mm/s"
									1	1

1	17	06	28	18	40	08	00		422	239
2	17	06	28	18	45	08	00		50	-30
3	17	06	28	18	50	08	00		168	-69
4	17	06	28	18	55	08	00		255	887
5	17	06	28	19	00	08	00		1435	3352
6	17	06	28	19	05	08	00		1395	3567
7	17	06	28	19	10	08	00		507	844
8	17	06	28	19	15	08	00		483	849
9	17	06	28	19	20	08	00		117	-497
10	17	06	28	19	25	08	00		5	-851
11	17	06	28	19	30	08	00		405	-5172
12	17	06	28	19	35	08	00		3031	-3860
13	17	06	28	19	40	08	00		3213	-3392
14	17	06	28	19	45	08	00		519	-166
15	17	06	28	19	50	08	00		525	103
16	17	06	28	19	55	08	00		-56	-1515
17	17	06	28	20	00	08	00		-126	-1586
18	17	06	28	20	05	08	00		-1718	-4035
19	17	06	28	20	10	08	00		-3012	-3246
20	17	06	28	20	15	08	00		-35	-354
21	17	06	28	20	20	08	00		248	33
22	17	06	28	20	25	08	00		-401	-1315
23	17	06	28	20	30	08	00		-2646	-2110
24	17	06	28	20	35	08	00		-1076	-691
25	17	06	28	20	40	08	00		-705	-346
26	17	06	28	20	45	08	00		-35	84
27	17	06	28	20	50	08	00		-1768	935
28	17	06	28	20	55	08	00		-4358	2509
29	17	06	28	21	00	08	00		-3811	3307
30	17	06	28	21	05	08	00		-853	377
31	17	06	28	21	10	08	00		102	-32
32	17	06	28	21	15	08	00		285	-72
33	17	06	28	21	20	08	00		-807	387
