PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2101652,2019-09-27T00:00:00Z,24.5820,122.5320,,0,-6.1,-2.3,-0.08,-0.06,27.93,0.5,313,15,0.682,1.072,0111971111171111
2101652,2019-09-27T00:00:00Z,24.5816,122.5329,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T01:00:00Z,24.6180,122.5570,,0,-6.2,-2.2,-0.08,-0.06,27.93,0.5,313,15,0.729,1.156,0111971111171111
2101652,2019-09-27T01:01:00Z,24.6177,122.5576,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T02:00:00Z,24.6580,122.5820,,0,-4.6,-1.1,-0.06,-0.04,27.93,0.5,313,15,0.646,1.297,0111971111171111
2101652,2019-09-27T02:00:00Z,24.6568,122.5854,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T03:00:00Z,24.7000,122.6020,,0,-4.9,-1.4,-0.07,-0.04,27.93,0.5,313,15,0.499,1.321,0111971111171111
2101652,2019-09-27T03:01:00Z,24.7017,122.6043,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T04:00:00Z,24.7400,122.6160,,0,-5,-1.6,-0.07,-0.04,27.93,0.5,313,15,0.333,1.19,0111971111171111
2101652,2019-09-27T04:02:00Z,24.7437,122.6209,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T05:00:00Z,24.7780,122.6230,,0,-4.1,-1.6,-0.04,-0.02,27.93,0.5,313,15,-0.003,1.147,0111971111171111
2101652,2019-09-27T05:00:00Z,24.7781,122.6275,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T06:00:00Z,24.8180,122.6200,,0,-4.1,-1.6,-0.04,-0.02,27.91,0.5,313,15,-0.211,1.236,0111971111171111
2101652,2019-09-27T06:00:00Z,24.8172,122.6211,27.93,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T07:00:00Z,24.8580,122.6110,,0,-4.1,-1.5,-0.04,-0.02,27.88,0.5,313,15,-0.289,1.246,0111971111171111
2101652,2019-09-27T07:00:00Z,24.8584,122.6120,27.89,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T08:00:00Z,24.8960,122.5990,,0,-2.8,-2.8,-0.03,-0.02,27.81,0.5,313,15,-0.321,1.161,0111971111171111
2101652,2019-09-27T08:02:00Z,24.8991,122.5999,27.87,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T09:00:00Z,24.9330,122.5880,,0,-2.8,-2.8,-0.03,-0.02,27.77,0.5,313,15,-0.342,1.084,0111971111171111
2101652,2019-09-27T09:00:00Z,24.9332,122.5894,27.74,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T10:00:00Z,24.9660,122.5750,,0,-2.9,-2.8,-0.03,-0.02,27.8,0.5,313,15,-0.35,1.035,0111971111171111
2101652,2019-09-27T10:00:00Z,24.9682,122.5758,27.8,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T11:00:00Z,24.9970,122.5650,,0,-3.3,-2.8,-0.03,-0.02,27.81,0.5,313,15,-0.269,0.869,0111971111171111
2101652,2019-09-27T11:00:00Z,25.0000,122.5638,27.81,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T12:00:00Z,25.0180,122.5570,,0,-3.3,-2.8,-0.03,-0.02,27.8,0.5,313,15,-0.168,0.507,0111971111171111
2101652,2019-09-27T12:00:00Z,25.0236,122.5568,27.8,0,,,,,,,,,,,0111179999999999
2101652,2019-09-27T13:00:00Z,25.0330,122.5530,,0,-3.4,-2.8,-0.03,-0.02,27.78,0.5,313,15,-0.098,0.261,0111971111171111
