PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100739,151016,2015-11-01T00:00:00Z,41.8620,145.1410,0,10.2,-2.8,0.23,-0.05,0.5,313,15,-0.218,0.139,001117111171111
2100739,151016,2015-11-01T03:00:00Z,41.8790,145.1130,0,10.7,-1.4,0.24,-0.03,0.5,313,15,-0.218,0.257,001117111171111
2100739,151016,2015-11-01T06:00:00Z,41.9120,145.0840,0,11.2,-0.8,0.26,-0.03,0.5,313,15,-0.13,0.329,001117111171111
2100739,151016,2015-11-01T09:00:00Z,41.9430,145.0790,0,9.7,-1.4,0.19,-0.02,0.5,313,15,0.019,0.242,001117111171111
2100739,151016,2015-11-01T12:00:00Z,41.9590,145.0890,0,10.4,0,0.17,0,0.5,313,15,0.019,0.077,001117111171111
2100739,151016,2015-11-01T15:00:00Z,41.9580,145.0840,0,10.9,2.5,0.24,0.05,0.5,313,15,-0.153,0.01,001117111171111
2100739,151016,2015-11-01T18:00:00Z,41.9610,145.0490,0,11.6,3.2,0.28,0.08,0.5,313,15,-0.26,0.139,001117111171111
2100739,151016,2015-11-01T21:00:00Z,41.9850,145.0160,0,10.8,4.7,0.26,0.11,0.5,313,15,-0.141,0.314,001117111171111
2100739,151016,2015-11-02T00:00:00Z,42.0220,145.0120,0,9.7,6.3,0.2,0.12,0.5,313,15,0.053,0.334,001117111171111
2100739,151016,2015-11-02T03:00:00Z,42.0500,145.0300,0,7.2,6.9,0.16,0.13,0.5,313,15,0.115,0.154,001117111171111
2100739,151016,2015-11-02T06:00:00Z,42.0520,145.0420,0,7.3,6.8,0.12,0.12,0.5,313,15,0.008,-0.01,001117111171111
2100739,151016,2015-11-02T09:00:00Z,42.0480,145.0320,0,4.6,5,0.06,0.05,0.5,313,15,-0.138,0.036,001117111171111
2100739,151016,2015-11-02T12:00:00Z,42.0590,145.0060,0,5.8,-0.6,0.03,-0.02,0.5,313,15,-0.164,0.19,001117111171111
2100739,151016,2015-11-02T15:00:00Z,42.0850,144.9890,0,2.4,-3.7,0.01,-0.02,0.5,313,15,-0.122,0.242,001117111171111
2100739,151016,2015-11-02T18:00:00Z,42.1060,144.9740,0,-0.2,-6,0,-0.04,0.5,313,15,-0.088,0.195,001117111171111
2100739,151016,2015-11-02T21:00:00Z,42.1230,144.9660,0,0.1,-6.7,-0.02,-0.07,0.5,313,15,-0.065,0.144,001117111171111
2100739,151016,2015-11-03T00:00:00Z,42.1340,144.9570,0,-2.7,-4.9,-0.03,-0.07,0.5,313,15,-0.072,0.093,001117111171111
2100739,151016,2015-11-03T03:00:00Z,42.1410,144.9470,0,-0.6,-4.6,-0.01,-0.03,0.5,313,15,-0.118,0.067,001117111171111
2100739,151016,2015-11-03T06:00:00Z,42.1470,144.9260,0,1.4,-2.1,0,-0.02,0.5,313,15,-0.149,0.082,001117111171111
2100739,151016,2015-11-03T09:00:00Z,42.1570,144.9080,0,1.7,-1.8,0.01,-0.02,0.5,313,15,-0.099,0.123,001117111171111
