PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100964,70908,2016-03-22T12:00:00Z,40.3290,137.5320,,0,10.01,0.5,311,15,0.392,0.195,0011197171111
2100964,70908,2016-03-22T14:00:00Z,40.3314,137.5405,10.03,0,,,,,,,0011117999999
2100964,70908,2016-03-22T15:00:00Z,40.3450,137.5760,,0,10.01,0.5,311,15,0.392,0.195,0011197171111
2100964,70908,2016-03-22T16:00:00Z,40.3654,137.6279,10.01,0,,,,,,,0011117999999
2100964,70908,2016-03-22T17:00:00Z,40.3654,137.6279,9.99,0,,,,,,,0011117999999
2100964,70908,2016-03-22T18:00:00Z,40.3670,137.6320,,0,9.99,0.5,311,15,0.459,0.165,0011197171111
2100964,70908,2016-03-22T19:00:00Z,40.3761,137.6605,9.99,0,,,,,,,0011117999999
2100964,70908,2016-03-22T20:00:00Z,40.3761,137.6605,9.97,0,,,,,,,0011117999999
2100964,70908,2016-03-22T21:00:00Z,40.3770,137.6930,,0,9.98,0.5,311,15,0.498,0.041,0011197171111
2100964,70908,2016-03-22T22:00:00Z,40.3770,137.6912,9.98,0,,,,,,,0011117999999
2100964,70908,2016-03-22T23:00:00Z,40.3743,137.7691,9.99,0,,,,,,,0014417999999
2100964,70908,2016-03-23T00:00:00Z,40.3750,137.7590,,0,10,0.5,311,15,0.537,-0.067,0011197171111
2100964,70908,2016-03-23T01:00:00Z,40.3742,137.7695,10.01,0,,,,,,,0011117999999
2100964,70908,2016-03-23T02:00:00Z,40.3742,137.7695,10.02,0,,,,,,,0011117999999
2100964,70908,2016-03-23T03:00:00Z,40.3640,137.8300,,0,10.04,0.5,311,15,0.565,-0.154,0011197171111
2100964,70908,2016-03-23T04:00:00Z,40.3742,137.7695,10.07,0,,,,,,,0011117999999
2100964,70908,2016-03-23T05:00:00Z,40.3523,137.8804,10.07,0,,,,,,,0014417999999
2100964,70908,2016-03-23T06:00:00Z,40.3450,137.9030,,0,10.04,0.5,311,15,0.565,-0.252,0011197171111
2100964,70908,2016-03-23T07:00:00Z,40.3272,137.9490,10.04,0,,,,,,,0011117999999
2100964,70908,2016-03-23T08:00:00Z,40.3272,137.9490,10.02,0,,,,,,,0011117999999
2100964,70908,2016-03-23T09:00:00Z,40.3150,137.9740,,0,10.01,0.5,311,15,0.573,-0.381,0011197171111
2100964,70908,2016-03-23T10:00:00Z,40.2921,138.0149,9.99,0,,,,,,,0011117999999
2100964,70908,2016-03-23T11:00:00Z,40.2921,138.0149,9.98,0,,,,,,,0011117999999
2100964,70908,2016-03-23T12:00:00Z,40.2710,138.0490,,0,9.97,0.5,311,15,0.495,-0.535,0011197171111
2100964,70908,2016-03-23T14:00:00Z,40.2754,138.0453,9.93,0,,,,,,,0011117999999
2100964,70908,2016-03-23T15:00:00Z,40.2110,138.1000,,0,9.95,0.5,311,15,0.37,-0.638,0011197171111
2100964,70908,2016-03-23T16:00:00Z,40.1568,138.1352,9.94,0,,,,,,,0014417999999
2100964,70908,2016-03-23T17:00:00Z,40.1568,138.1352,9.94,0,,,,,,,0011117999999
2100964,70908,2016-03-23T18:00:00Z,40.1470,138.1430,,0,9.93,0.5,311,15,0.346,-0.664,0011197171111
2100964,70908,2016-03-23T19:00:00Z,40.1568,138.1352,9.92,0,,,,,,,0011117999999
2100964,70908,2016-03-23T20:00:00Z,40.1568,138.1352,9.94,0,,,,,,,0011117999999
2100964,70908,2016-03-23T21:00:00Z,40.0820,138.1880,,0,9.93,0.5,311,15,0.236,-0.658,0011197171111
2100964,70908,2016-03-23T22:00:00Z,40.0838,138.1874,9.92,0,,,,,,,0011117999999
2100964,70908,2016-03-23T23:00:00Z,40.0838,138.1874,9.93,0,,,,,,,0011117999999
2100964,70908,2016-03-24T00:00:00Z,40.0190,138.2030,,0,9.96,0.5,311,15,0.047,-0.607,0011197171111
2100964,70908,2016-03-24T01:00:00Z,40.0050,138.2042,9.97,0,,,,,,,0011117999999
2100964,70908,2016-03-24T02:00:00Z,40.0050,138.2042,10.03,0,,,,,,,0011117999999
2100964,70908,2016-03-24T03:00:00Z,39.9640,138.2000,,0,10.01,0.5,311,15,-0.126,-0.525,0011197171111
2100964,70908,2016-03-24T04:00:00Z,40.0050,138.2042,10.02,0,,,,,,,0011117999999
2100964,70908,2016-03-24T05:00:00Z,39.9311,138.1864,10.07,0,,,,,,,0014417999999
2100964,70908,2016-03-24T06:00:00Z,39.9170,138.1710,,0,10.03,0.5,311,15,-0.339,-0.417,0011197171111
2100964,70908,2016-03-24T07:00:00Z,39.9311,138.1864,10.08,0,,,,,,,0011117999999
2100964,70908,2016-03-24T08:00:00Z,39.9311,138.1864,10.02,0,,,,,,,0011117999999
2100964,70908,2016-03-24T09:00:00Z,39.8830,138.1140,,0,10,0.5,311,15,-0.474,-0.309,0011197171111
2100964,70908,2016-03-24T10:00:00Z,39.8641,138.0671,9.97,0,,,,,,,0014417999999
2100964,70908,2016-03-24T12:00:00Z,39.8570,138.0510,,0,9.95,0.5,311,15,-0.466,-0.293,0011197171111
2100964,70908,2016-03-24T14:00:00Z,39.8546,138.0451,9.92,0,,,,,,,0011117999999
2100964,70908,2016-03-24T15:00:00Z,39.8260,137.9960,,0,9.92,0.5,311,15,-0.419,-0.304,0011197171111
2100964,70908,2016-03-24T16:00:00Z,39.8042,137.9576,9.89,0,,,,,,,0011117999999
2100964,70908,2016-03-24T17:00:00Z,39.8042,137.9576,9.9,0,,,,,,,0011117999999
2100964,70908,2016-03-24T18:00:00Z,39.7980,137.9450,,0,9.9,0.5,311,15,-0.399,-0.262,0011197171111
2100964,70908,2016-03-24T19:00:00Z,39.8042,137.9576,9.9,0,,,,,,,0011117999999
2100964,70908,2016-03-24T20:00:00Z,39.8042,137.9576,9.9,0,,,,,,,0011117999999
2100964,70908,2016-03-24T21:00:00Z,39.7750,137.8950,,0,9.9,0.5,311,15,-0.356,-0.216,0011197171111
2100964,70908,2016-03-24T22:00:00Z,39.7542,137.8501,9.88,0,,,,,,,0011117999999
2100964,70908,2016-03-24T23:00:00Z,39.7542,137.8501,9.89,0,,,,,,,0011117999999
2100964,70908,2016-03-25T00:00:00Z,39.7560,137.8550,,0,9.92,0.5,311,15,-0.21,-0.144,0011197171111
2100964,70908,2016-03-25T01:00:00Z,39.7542,137.8501,9.94,0,,,,,,,0011117999999
2100964,70908,2016-03-25T03:00:00Z,39.7470,137.8420,,0,9.95,0.5,311,15,-0.04,-0.072,0011197171111
2100964,70908,2016-03-25T04:00:00Z,39.7548,137.8520,9.99,0,,,,,,,0011117999999
2100964,70908,2016-03-25T05:00:00Z,39.7548,137.8520,9.97,0,,,,,,,0011117999999
2100964,70908,2016-03-25T06:00:00Z,39.7420,137.8450,,0,9.95,0.5,311,15,0.075,0,0011197171111
2100964,70908,2016-03-25T07:00:00Z,39.7427,137.8520,9.94,0,,,,,,,0011117999999
2100964,70908,2016-03-25T08:00:00Z,39.7427,137.8520,9.92,0,,,,,,,0011117999999
2100964,70908,2016-03-25T09:00:00Z,39.7470,137.8610,,0,9.92,0.5,311,15,0.071,0.031,0011197171111
2100964,70908,2016-03-25T11:00:00Z,39.7482,137.8644,9.9,0,,,,,,,0011117999999
2100964,70908,2016-03-25T12:00:00Z,39.7480,137.8630,,0,9.9,0.5,311,15,-0.024,0.005,0011197171111
2100964,70908,2016-03-25T14:00:00Z,39.7520,137.8452,9.88,0,,,,,,,0011117999999
2100964,70908,2016-03-25T15:00:00Z,39.7480,137.8550,,0,9.89,0.5,311,15,-0.087,0.036,0011197171111
2100964,70908,2016-03-25T16:00:00Z,39.7520,137.8452,9.86,0,,,,,,,0011117999999
2100964,70908,2016-03-25T17:00:00Z,39.7520,137.8452,9.86,0,,,,,,,0011117999999
2100964,70908,2016-03-25T18:00:00Z,39.7550,137.8410,,0,9.86,0.5,311,15,-0.13,0.123,0011197171111
2100964,70908,2016-03-25T19:00:00Z,39.7648,137.8300,9.85,0,,,,,,,0011117999999
2100964,70908,2016-03-25T20:00:00Z,39.7648,137.8300,9.83,0,,,,,,,0011117999999
2100964,70908,2016-03-25T21:00:00Z,39.7720,137.8220,,0,9.87,0.5,311,15,-0.142,0.242,0011197171111
2100964,70908,2016-03-25T22:00:00Z,39.7794,137.8153,9.84,0,,,,,,,0011117999999
2100964,70908,2016-03-25T23:00:00Z,39.7794,137.8153,9.85,0,,,,,,,0011117999999
2100964,70908,2016-03-26T00:00:00Z,39.8020,137.8050,,0,10.01,0.5,311,15,-0.13,0.304,0011197171111
2100964,70908,2016-03-26T01:00:00Z,39.8117,137.8042,10.09,0,,,,,,,0011117999999
2100964,70908,2016-03-26T02:00:00Z,39.8117,137.8042,10.23,0,,,,,,,0011117999999
2100964,70908,2016-03-26T03:00:00Z,39.8310,137.7890,,0,10.3,0.5,311,15,-0.158,0.288,0011197171111
2100964,70908,2016-03-26T04:00:00Z,39.8449,137.7763,10.44,0,,,,,,,0011117999999
2100964,70908,2016-03-26T05:00:00Z,39.8450,137.7764,10.5,0,,,,,,,0011117999999
2100964,70908,2016-03-26T06:00:00Z,39.8580,137.7650,,0,10.48,0.5,311,15,-0.217,0.314,0011197171111
2100964,70908,2016-03-26T07:00:00Z,39.8748,137.7504,10.64,0,,,,,,,0011117999999
2100964,70908,2016-03-26T08:00:00Z,39.8751,137.7507,10.54,0,,,,,,,0011117999999
2100964,70908,2016-03-26T09:00:00Z,39.8920,137.7340,,0,10.44,0.5,311,15,-0.316,0.37,0011197171111
2100964,70908,2016-03-26T10:00:00Z,39.9004,137.7256,10.37,0,,,,,,,0011117999999
2100964,70908,2016-03-26T11:00:00Z,39.9222,137.6902,10.28,0,,,,,,,0011117999999
2100964,70908,2016-03-26T12:00:00Z,39.9300,137.6850,,0,10.29,0.5,311,15,-0.307,0.473,0011197171111
2100964,70908,2016-03-26T14:00:00Z,39.9264,137.7073,10.15,0,,,,,,,0011117999999
2100964,70908,2016-03-26T15:00:00Z,39.9840,137.6560,,0,10.2,0.5,311,15,-0.217,0.53,0011197171111
2100964,70908,2016-03-26T16:00:00Z,39.9264,137.7073,10.17,0,,,,,,,0011117999999
2100964,70908,2016-03-26T17:00:00Z,39.9264,137.7073,10.15,0,,,,,,,0011117999999
2100964,70908,2016-03-26T18:00:00Z,40.0330,137.6300,,0,10.15,0.5,311,15,-0.209,0.422,0011197171111
2100964,70908,2016-03-26T19:00:00Z,40.0197,137.6392,10.14,0,,,,,,,0014417999999
2100964,70908,2016-03-26T20:00:00Z,40.0197,137.6392,10.12,0,,,,,,,0011117999999
2100964,70908,2016-03-26T21:00:00Z,40.0660,137.6030,,0,10.14,0.5,311,15,-0.228,0.304,0011197171111
2100964,70908,2016-03-26T22:00:00Z,40.0743,137.5954,10.12,0,,,,,,,0011117999999
2100964,70908,2016-03-26T23:00:00Z,40.0743,137.5954,10.12,0,,,,,,,0011117999999
2100964,70908,2016-03-27T00:00:00Z,40.0920,137.5720,,0,10.19,0.5,311,15,-0.244,0.293,0011197171111
2100964,70908,2016-03-27T01:00:00Z,40.0993,137.5645,10.21,0,,,,,,,0011117999999
2100964,70908,2016-03-27T03:00:00Z,40.1230,137.5410,,0,10.26,0.5,311,15,-0.142,0.309,0011197171111
2100964,70908,2016-03-27T04:00:00Z,40.1355,137.5351,10.32,0,,,,,,,0011117999999
2100964,70908,2016-03-27T05:00:00Z,40.1351,137.5353,10.31,0,,,,,,,0011117999999
2100964,70908,2016-03-27T06:00:00Z,40.1520,137.5360,,0,10.26,0.5,311,15,0.016,0.268,0011197171111
2100964,70908,2016-03-27T07:00:00Z,40.1351,137.5353,10.28,0,,,,,,,0011117999999
2100964,70908,2016-03-27T08:00:00Z,40.1351,137.5353,10.25,0,,,,,,,0011117999999
2100964,70908,2016-03-27T09:00:00Z,40.1750,137.5450,,0,10.2,0.5,311,15,0.094,0.159,0011197171111
