PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2101503,62419670,2016-03-23T15:00:00Z,41.1900,139.3760,0,9.69,0.5,311,15,0.159,0.406,001117171111
2101503,62419670,2016-03-23T18:00:00Z,41.2280,139.3900,0,9.69,0.5,311,15,0.159,0.406,001117171111
2101503,62419670,2016-03-23T21:00:00Z,41.2690,139.4170,0,9.62,0.5,311,15,0.286,0.432,001117171111
2101503,62419670,2016-03-24T00:00:00Z,41.3120,139.4640,0,9.58,0.5,311,15,0.448,0.401,001117171111
2101503,62419670,2016-03-24T03:00:00Z,41.3470,139.5330,0,9.6,0.5,311,15,0.494,0.298,001117171111
2101503,62419670,2016-03-24T06:00:00Z,41.3700,139.5920,0,9.66,0.5,311,15,0.405,0.37,001117171111
2101503,62419670,2016-03-24T09:00:00Z,41.4190,139.6380,0,9.71,0.5,311,15,0.447,0.401,001117171111
2101503,62419670,2016-03-24T12:00:00Z,41.4480,139.7080,0,9.68,0.5,311,15,0.513,0.273,001117171111
2101503,62419670,2016-03-24T15:00:00Z,41.4720,139.7710,0,9.62,0.5,311,15,0.512,0.288,001117171111
2101503,62419670,2016-03-24T18:00:00Z,41.5040,139.8410,0,9.57,0.5,311,15,0.509,0.185,001117171111
2101503,62419670,2016-03-24T21:00:00Z,41.5080,139.9030,0,9.55,0.5,311,15,0.412,-0.015,001117171111
2101503,62419670,2016-03-25T00:00:00Z,41.5010,139.9480,0,9.5,0.5,311,15,0.289,-0.17,001117171111
2101503,62419670,2016-03-25T03:00:00Z,41.4750,139.9780,0,9.44,0.5,311,15,0.332,-0.448,001117171111
2101503,62419670,2016-03-25T06:00:00Z,41.4140,140.0340,0,9.34,0.5,311,15,0.556,-0.473,001117171111
2101503,62419670,2016-03-25T09:00:00Z,41.3830,140.1220,0,9.29,0.5,311,15,0.691,-0.17,001117171111
2101503,62419670,2016-03-25T12:00:00Z,41.3810,140.2130,0,9.35,0.5,311,15,0.652,0.005,001117171111
2101503,62419670,2016-03-25T15:00:00Z,41.3840,140.2910,0,9.36,0.5,311,15,0.76,0.051,001117171111
2101503,62419670,2016-03-25T18:00:00Z,41.3910,140.4100,0,8.94,0.5,311,15,0.694,0.159,001117171111
2101503,62419670,2016-03-25T21:00:00Z,41.4150,140.4710,0,8.27,0.5,311,15,0.482,0.201,001117171111
2101503,62419670,2016-03-26T00:00:00Z,41.4300,140.5350,0,7.91,0.5,311,15,0.617,0.252,001117171111
2101503,62419670,2016-03-26T03:00:00Z,41.4640,140.6310,0,8.09,0.5,311,15,0.678,0.576,001117171111
2101503,62419670,2016-03-26T06:00:00Z,41.5420,140.7110,0,8.36,0.5,311,15,0.477,0.803,001117171111
2101503,62419670,2016-03-26T09:00:00Z,41.6200,140.7550,0,8.54,0.5,311,15,0.231,0.741,001117171111
2101503,62419670,2016-03-26T12:00:00Z,41.6860,140.7710,0,8.74,0.5,311,15,0.115,0.489,001117171111
2101503,62419670,2016-03-26T15:00:00Z,41.7150,140.7850,0,8.87,0.5,311,15,0.065,0.195,001117171111
2101503,62419670,2016-03-26T18:00:00Z,41.7240,140.7880,0,8.9,0.5,311,15,-0.046,0.093,001117171111
2101503,62419670,2016-03-26T21:00:00Z,41.7330,140.7730,0,8.86,0.5,311,15,-0.207,0.046,001117171111
2101503,62419670,2016-03-27T00:00:00Z,41.7330,140.7340,0,8.92,0.5,311,15,-0.311,-0.139,001117171111
2101503,62419670,2016-03-27T03:00:00Z,41.7060,140.6920,0,9.01,0.5,311,15,-0.161,-0.242,001117171111
2101503,62419670,2016-03-27T06:00:00Z,41.6860,140.6920,0,8.98,0.5,311,15,-0.042,-0.175,001117171111
2101503,62419670,2016-03-27T09:00:00Z,41.6720,140.6810,0,8.92,0.5,311,15,-0.135,-0.113,001117171111
2101503,62419670,2016-03-27T12:00:00Z,41.6640,140.6570,0,8.84,0.5,311,15,-0.108,-0.067,001117171111
2101503,62419670,2016-03-27T15:00:00Z,41.6590,140.6530,0,8.77,0.5,311,15,-0.008,-0.072,001117171111
2101503,62419670,2016-03-27T18:00:00Z,41.6500,140.6550,0,8.74,0.5,311,15,0.008,-0.129,001117171111
2101503,62419670,2016-03-27T21:00:00Z,41.6340,140.6550,0,8.73,0.5,311,15,0.027,-0.18,001117171111
2101503,62419670,2016-03-28T00:00:00Z,41.6150,140.6620,0,8.77,0.5,311,15,0.15,-0.067,001117171111
2101503,62419670,2016-03-28T03:00:00Z,41.6210,140.6940,0,8.86,0.5,311,15,0.369,0.262,001117171111
2101503,62419670,2016-03-28T06:00:00Z,41.6660,140.7580,0,8.9,0.5,311,15,0.484,0.391,001117171111
2101503,62419670,2016-03-28T09:00:00Z,41.6970,140.8200,0,8.84,0.5,311,15,0.373,0.195,001117171111
2101503,62419670,2016-03-28T12:00:00Z,41.7040,140.8550,0,8.79,0.5,311,15,0.284,0.087,001117171111
2101503,62419670,2016-03-28T15:00:00Z,41.7140,140.8940,0,8.9,0.5,311,15,0.576,-0.051,001117171111
2101503,62419670,2016-03-28T18:00:00Z,41.6940,141.0050,0,8.84,0.5,311,15,0.557,-0.134,001117171111
2101503,62419670,2016-03-28T21:00:00Z,41.6880,141.0390,0,8.36,0.5,311,15,0.211,-0.098,001117171111
