PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMP LEVEL0 (hectopascal),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21597,2016-01-12T08:00:00Z,28.9800,137.0330,21.5,1011.3,1011.3,0,1.6,6,0111111711
21597,2016-01-12T09:00:00Z,28.9580,137.0420,21.5,1012.5,1012.5,0,,,0111111799
21597,2016-01-12T10:00:00Z,28.9410,137.0520,21.5,1013.5,1013.5,0,1.7,6,0111111711
21597,2016-01-12T11:00:00Z,28.9270,137.0640,21.5,1014.2,1014.2,0,1.9,7,0111111711
21597,2016-01-12T12:00:00Z,28.9130,137.0770,21.5,1014.7,1014.7,0,1.9,7,0111111711
21597,2016-01-12T15:00:00Z,28.8660,137.1030,21.6,1015,1015,0,2.2,7,0111111711
21597,2016-01-12T16:00:00Z,28.8530,137.1090,21.6,1015.3,1015.3,0,2.2,7,0111111711
21597,2016-01-12T17:00:00Z,28.8410,137.1130,21.6,1015.1,1015.1,0,2.1,7,0111111711
21597,2016-01-12T18:00:00Z,28.8310,137.1170,21.7,1014.7,1014.7,0,2.2,7,0111111711
21597,2016-01-12T19:00:00Z,28.8230,137.1200,21.7,1014.7,1014.7,0,2.3,7,0111111711
21597,2016-01-12T20:00:00Z,28.8150,137.1250,21.7,1015.5,1015.5,0,2.3,8,0111111711
21597,2016-01-12T21:00:00Z,28.8050,137.1320,21.6,1016.1,1016.1,0,2.4,7,0111111711
21597,2016-01-12T22:00:00Z,28.7960,137.1400,21.6,1016.4,1016.4,0,2.3,7,0111111711
21597,2016-01-12T23:00:00Z,28.7870,137.1510,21.7,1017.5,1017.5,0,2.1,7,0111111711
21597,2016-01-13T00:00:00Z,28.7760,137.1650,21.6,1017.9,1017.9,0,2.3,8,0111111711
21597,2016-01-13T01:00:00Z,28.7620,137.1790,21.6,1017.8,1017.8,0,2.4,7,0111111711
21597,2016-01-13T02:00:00Z,28.7460,137.1910,21.5,1017.2,1017.2,0,2.1,7,0111111711
