PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5200619,127412,2015-11-01T00:00:00Z,30.3170,157.9800,,0,0.3,2.4,0,0.01,25.46,0.5,313,15,0.022,-0.057,00111971111171111
5200619,127412,2015-11-01T01:00:00Z,30.3199,157.9785,25.45,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T02:00:00Z,30.3199,157.9785,25.55,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T03:00:00Z,30.3000,157.9870,,0,1.7,2.4,0.01,0.01,25.53,0.5,313,15,-0.062,-0.324,00111971111171111
5200619,127412,2015-11-01T04:00:00Z,30.2928,157.9885,25.6,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T05:00:00Z,30.2605,157.9719,25.55,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T06:00:00Z,30.2540,157.9660,,0,2.3,2.3,0.01,0.01,25.52,0.5,313,15,-0.267,-0.442,00111971111171111
5200619,127412,2015-11-01T07:00:00Z,30.2368,157.9500,25.5,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T09:00:00Z,30.2140,157.9270,,0,3.8,0.1,0.01,0,25.47,0.5,313,15,-0.373,-0.293,00111971111171111
5200619,127412,2015-11-01T10:00:00Z,30.2029,157.9123,25.45,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T11:00:00Z,30.2007,157.8975,25.45,0,,,,,,,,,,,00111179999999999
5200619,127412,2015-11-01T12:00:00Z,30.1970,157.8820,,0,1.7,2.7,0.01,0,25.42,0.5,313,15,-0.418,-0.149,00111971111171111
