PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
5200809,127087,2015-11-01T00:00:00Z,39.6371,159.9846,18.45,0,0011117
5200809,127087,2015-11-01T01:00:00Z,39.6339,159.9834,18.45,0,0011117
5200809,127087,2015-11-01T02:00:00Z,39.6395,159.9739,18.4,0,0011117
5200809,127087,2015-11-01T03:00:00Z,39.6464,159.9679,18.4,0,0011117
5200809,127087,2015-11-01T04:00:00Z,39.6463,159.9839,18.35,0,0011117
5200809,127087,2015-11-01T05:00:00Z,39.6579,159.9733,18.35,0,0011117
5200809,127087,2015-11-01T06:00:00Z,39.6579,159.9733,18.35,0,0011117
5200809,127087,2015-11-01T07:00:00Z,39.6700,159.9764,18.3,0,0011117
5200809,127087,2015-11-01T08:00:00Z,39.6754,159.9855,18.35,0,0011117
5200809,127087,2015-11-01T09:00:00Z,39.6754,159.9855,18.4,0,0011117
5200809,127087,2015-11-01T10:00:00Z,39.6891,160.0062,18.4,0,0011117
5200809,127087,2015-11-01T11:00:00Z,39.6932,160.0207,18.35,0,0011117
5200809,127087,2015-11-01T12:00:00Z,39.6932,160.0207,18.35,0,0011117
5200809,127087,2015-11-01T13:00:00Z,39.6932,160.0207,18.35,0,0011117
5200809,127087,2015-11-01T14:00:00Z,39.6995,160.0589,18.4,0,0011117
5200809,127087,2015-11-01T15:00:00Z,39.6932,160.0207,18.45,0,0011117
5200809,127087,2015-11-01T16:00:00Z,39.6995,160.0589,18.5,0,0011117
5200809,127087,2015-11-01T17:00:00Z,39.6996,160.0762,18.45,0,0011117
5200809,127087,2015-11-01T18:00:00Z,39.6922,160.0879,18.4,0,0011117
5200809,127087,2015-11-01T19:00:00Z,39.6900,160.0957,18.35,0,0011117
5200809,127087,2015-11-01T20:00:00Z,39.6862,160.0905,18.3,0,0011117
5200809,127087,2015-11-01T21:00:00Z,39.6862,160.0904,18.3,0,0011117
5200809,127087,2015-11-01T22:00:00Z,39.6850,160.1130,18.3,0,0011117
5200809,127087,2015-11-01T23:00:00Z,39.6862,160.0905,18.3,0,0011117
5200809,127087,2015-11-02T00:00:00Z,39.6903,160.1275,18.3,0,0011117
5200809,127087,2015-11-02T01:00:00Z,39.6903,160.1275,18.35,0,0011117
