PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-01T00:00:00Z,21.9365,141.9714,0,001117
5200811,127025,2015-11-01T01:00:00Z,21.9360,141.9754,0,001117
5200811,127025,2015-11-01T02:00:00Z,21.9302,141.9771,0,001117
5200811,127025,2015-11-01T03:00:00Z,21.9049,141.9816,0,001117
5200811,127025,2015-11-03T06:00:00Z,21.7107,141.7643,0,001117
5200811,127025,2015-11-03T07:00:00Z,21.7117,141.7645,0,001117
5200811,127025,2015-11-03T08:00:00Z,21.7118,141.7670,0,001117
5200811,127025,2015-11-03T09:00:00Z,21.7023,141.7459,0,001117
5200811,127025,2015-11-03T10:00:00Z,21.7023,141.7459,0,001117
5200811,127025,2015-11-03T11:00:00Z,21.6984,141.7115,0,001117
5200811,127025,2015-11-03T12:00:00Z,21.6961,141.7019,0,001117
5200811,127025,2015-11-03T13:00:00Z,21.6842,141.6817,0,001117
5200811,127025,2015-11-03T14:00:00Z,21.6842,141.6817,0,001117
5200811,127025,2015-11-03T15:00:00Z,21.6842,141.6817,0,001117
5200811,127025,2015-11-03T16:00:00Z,21.6810,141.6548,0,001117
5200811,127025,2015-11-03T17:00:00Z,21.6810,141.6548,0,001117
5200811,127025,2015-11-03T18:00:00Z,21.6817,141.6556,0,001117
5200811,127025,2015-11-03T19:00:00Z,21.6752,141.6363,0,001117
5200811,127025,2015-11-03T20:00:00Z,21.6703,141.6539,0,001117
5200811,127025,2015-11-03T21:00:00Z,21.6661,141.6313,0,001117
5200811,127025,2015-11-03T22:00:00Z,21.6700,141.6274,0,001117
5200811,127025,2015-11-03T23:00:00Z,21.6700,141.6274,0,001117
5200811,127025,2015-11-04T00:00:00Z,21.6571,141.5960,0,001117
5200811,127025,2015-11-04T01:00:00Z,21.6723,141.5831,0,001117
5200811,127025,2015-11-04T02:00:00Z,21.6673,141.5769,0,001117
5200811,127025,2015-11-04T03:00:00Z,21.6673,141.5769,0,001117
5200811,127025,2015-11-04T04:00:00Z,21.6673,141.5769,0,001117
5200811,127025,2015-11-05T06:00:00Z,21.6024,141.4646,0,001117
5200811,127025,2015-11-05T07:00:00Z,21.6033,141.4531,0,001117
5200811,127025,2015-11-05T08:00:00Z,21.5992,141.4578,0,001117
5200811,127025,2015-11-05T09:00:00Z,21.5988,141.4607,0,001117
5200811,127025,2015-11-05T12:00:00Z,21.5825,141.4712,0,001117
5200811,127025,2015-11-05T13:00:00Z,21.5825,141.4712,0,001117
5200811,127025,2015-11-05T14:00:00Z,21.5825,141.4712,0,001117
5200811,127025,2015-11-05T15:00:00Z,21.5567,141.4674,0,001117
5200811,127025,2015-11-05T16:00:00Z,21.5567,141.4674,0,001117
5200811,127025,2015-11-05T17:00:00Z,21.5567,141.4674,0,001117
5200811,127025,2015-11-05T18:00:00Z,21.5507,141.4581,0,001117
5200811,127025,2015-11-05T19:00:00Z,21.5507,141.4581,0,001117
5200811,127025,2015-11-05T20:00:00Z,21.5519,141.4661,0,001117
5200811,127025,2015-11-05T21:00:00Z,21.5488,141.4718,0,001117
5200811,127025,2015-11-05T22:00:00Z,21.5488,141.4718,0,001117
5200811,127025,2015-11-05T23:00:00Z,21.5498,141.4866,0,001117
5200811,127025,2015-11-06T00:00:00Z,21.5448,141.4913,0,001117
5200811,127025,2015-11-06T01:00:00Z,21.5473,141.5012,0,001117
5200811,127025,2015-11-06T02:00:00Z,21.5473,141.5012,0,001117
5200811,127025,2015-11-06T03:00:00Z,21.5221,141.5177,0,001117
5200811,127025,2015-11-06T04:00:00Z,21.5221,141.5177,0,001117
5200811,127025,2015-11-06T05:00:00Z,21.5221,141.5177,0,001117
5200811,127025,2015-11-06T06:00:00Z,21.5093,141.5205,0,001117
5200811,127025,2015-11-06T07:00:00Z,21.5166,141.5159,0,001117
5200811,127025,2015-11-06T08:00:00Z,21.5162,141.5250,0,001117
5200811,127025,2015-11-06T09:00:00Z,21.5154,141.5385,0,001117
5200811,127025,2015-11-06T10:00:00Z,21.5244,141.5488,0,001117
5200811,127025,2015-11-06T11:00:00Z,21.5244,141.5488,0,001117
5200811,127025,2015-11-06T12:00:00Z,21.5229,141.5613,0,001117
5200811,127025,2015-11-06T13:00:00Z,21.5242,141.5825,0,001117
5200811,127025,2015-11-06T14:00:00Z,21.5242,141.5825,0,001117
5200811,127025,2015-11-06T15:00:00Z,21.5325,141.5978,0,001117
5200811,127025,2015-11-06T16:00:00Z,21.5325,141.5978,0,001117
5200811,127025,2015-11-06T17:00:00Z,21.5325,141.5978,0,001117
5200811,127025,2015-11-06T18:00:00Z,21.5449,141.5961,0,001117
5200811,127025,2015-11-06T19:00:00Z,21.5534,141.5955,0,001117
5200811,127025,2015-11-06T20:00:00Z,21.5612,141.5966,0,001117
5200811,127025,2015-11-06T21:00:00Z,21.5783,141.6023,0,001117
5200811,127025,2015-11-06T22:00:00Z,21.5876,141.5975,0,001117
5200811,127025,2015-11-06T23:00:00Z,21.6122,141.6203,0,001117
5200811,127025,2015-11-07T00:00:00Z,21.6246,141.6328,0,001117
5200811,127025,2015-11-07T02:00:00Z,21.6356,141.6311,0,001117
5200811,127025,2015-11-07T03:00:00Z,21.6681,141.6049,0,001117
5200811,127025,2015-11-07T04:00:00Z,21.6681,141.6049,0,001117
