PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),PSAL LEVEL1 (psu),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),QC
52522,2016-03-02T17:00:00Z,2.7000,159.7000,29.3,0,29.28,34.19,1,28.21,75,20.99,125,19.98,150,17.07,200,12.4,250,11.44,300,8.27,500,,,0111171111121111121111199
52522,2016-03-02T18:00:00Z,2.7000,159.7000,29.3,0,29.28,34.19,1,29.29,25,28,75,20.85,125,20,150,17.38,200,12.42,250,11.48,300,8.3,500,0111171111111211111211111
52522,2016-03-02T19:00:00Z,2.7000,159.7000,29.3,0,29.28,34.19,1,29.29,25,26.39,75,21.47,125,20.16,150,18.11,200,12.73,250,12.2,300,8.35,500,0111171111121211111211111
52522,2016-03-02T20:00:00Z,2.7000,159.7000,29.3,0,29.27,34.19,1,29.28,25,28.03,75,20.83,125,19.99,150,17.29,200,12.38,250,11.49,300,8.26,500,0111171111111211111211111
52522,2016-03-02T21:00:00Z,2.7000,159.7000,29.3,0,29.27,34.19,1,29.28,25,27.31,75,20.4,125,19.96,150,14.76,200,12.15,250,11.34,300,8.18,500,0111171111121211111211111
52522,2016-03-02T22:00:00Z,2.7000,159.7000,29.3,0,29.27,34.18,1,29.27,25,26.29,75,20.11,125,18.9,150,13.41,200,12.25,250,11.35,300,8.2,500,0111171111121212111211111
52522,2016-03-02T23:00:00Z,2.7000,159.7000,29.3,0,29.29,34.18,1,29.28,25,27.01,75,20,125,18.68,150,13.47,200,12.12,250,11.39,300,8.44,500,0111171111121212111211111
52522,2016-03-03T00:00:00Z,2.7000,159.7000,29.3,0,29.33,34.18,1,29.29,25,23.33,75,20.34,125,14.13,200,12.14,250,11.38,300,8.92,500,,,0111171111121211121111199
52522,2016-03-03T01:00:00Z,2.7000,159.6000,29.3,0,29.34,34.18,1,29.29,25,23.47,75,20.23,125,19.57,150,16.22,200,12.25,250,11.39,300,8.72,500,0144171111121211111211111
52522,2016-03-03T02:00:00Z,2.7000,159.6000,29.3,0,29.34,34.18,1,29.29,25,27.59,75,20.85,125,19.96,150,16.25,200,12.29,250,11.38,300,8.3,500,0111171111111211111211111
52522,2016-03-03T03:00:00Z,2.7000,159.6000,29.4,0,29.38,34.19,1,29.3,25,28.03,75,20.86,125,20.06,150,17.33,200,12.45,250,12.11,300,8.38,500,0111171111111211111211111
52522,2016-03-03T04:00:00Z,2.7000,159.6000,29.4,0,29.4,34.19,1,29.31,25,27.78,75,20.83,125,20.03,150,17.25,200,12.8,250,12.05,300,8.11,500,0111171111111211111211111
52522,2016-03-03T05:00:00Z,2.7000,159.6000,29.4,0,29.41,34.19,1,29.31,25,27.63,75,21.08,125,20.16,150,18.14,200,12.84,250,12.15,300,8.01,500,0111171111111211111211111
52522,2016-03-03T06:00:00Z,2.7000,159.6000,29.4,0,29.4,34.15,1,29.32,25,28.73,75,21.52,125,18.17,200,12.96,250,12.14,300,8.25,500,,,0111171111111211121111199
52522,2016-03-03T07:00:00Z,2.7000,159.6000,29.4,0,29.37,34.14,1,29.31,25,27.51,75,21.63,125,20.25,150,18.23,200,12.87,250,8.3,500,,,0111171111111211111211199
52522,2016-03-03T08:00:00Z,2.7000,159.6000,29.3,0,29.34,34.16,1,29.34,25,27.87,75,21.65,125,20.09,150,12.45,250,12.06,300,8.75,500,,,0111171111111211121111199
52522,2016-03-03T09:00:00Z,2.7000,159.6000,29.3,0,29.3,34.24,1,29.31,25,28.75,75,22.44,125,20.47,150,17.55,200,13.09,250,12.25,300,,,0111171111111211111211199
52522,2016-03-03T10:00:00Z,2.7000,159.6000,29.3,0,29.31,33.7,1,29.31,25,24.93,75,20.82,125,16.95,200,12.36,250,8.77,500,,,,,0111171111121211121119999
52522,2016-03-03T11:00:00Z,2.7000,159.6000,29.3,0,29.29,33.7,1,29.3,25,26.16,75,22.01,125,20.36,150,18.52,200,13.77,250,12.32,300,8.67,500,0111171111121211111211111
52522,2016-03-03T12:00:00Z,2.7000,159.6000,29.3,0,29.27,33.71,1,29.28,25,26.91,75,20.68,125,19.95,150,14.23,200,12.16,250,11.37,300,8,500,0111171111121211111211111
52522,2016-03-03T13:00:00Z,2.7000,159.6000,29.3,0,29.27,33.71,1,27.14,75,21.34,125,20.13,150,16.81,200,12.42,250,11.74,300,8.23,500,,,0111171112121111121111199
52522,2016-03-03T14:00:00Z,2.7000,159.6000,29.3,0,29.27,33.71,1,29.28,25,25.71,75,20.63,125,19.95,150,16.14,200,12.34,250,12.22,300,8.61,500,0111171111121211111211111
52522,2016-03-03T15:00:00Z,2.7000,159.6000,29.3,0,29.27,33.71,1,29.28,25,27.38,75,21.18,125,20.08,150,17.71,200,13.05,250,12.25,300,8.78,500,0111171111121211111211111
52522,2016-03-03T16:00:00Z,2.7000,159.6000,29.3,0,29.26,33.72,1,29.27,25,25.66,75,20.49,125,19.91,150,17.97,200,12.95,250,12.28,300,8.7,500,0111171111121211111211111
52522,2016-03-03T17:00:00Z,2.7000,159.6000,29.2,0,29.24,33.71,1,29.26,25,27.78,75,22.06,125,20.35,150,18.42,200,13.54,250,12.27,300,8.56,500,0111171111111211111211111
