PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
52901,2015-11-01T01:00:00Z,9.2500,127.3380,0,01117
52901,2015-11-01T03:00:00Z,9.2500,127.3380,0,01117
52901,2015-11-01T04:00:00Z,9.3140,127.3810,0,01447
52901,2015-11-01T05:00:00Z,9.3140,127.3810,0,01117
52901,2015-11-01T07:00:00Z,9.3140,127.3810,0,01117
52901,2015-11-01T09:00:00Z,9.1690,127.3570,0,01447
52901,2015-11-01T10:00:00Z,9.1690,127.3570,0,01117
52901,2015-11-01T11:00:00Z,9.1690,127.3570,0,01117
52901,2015-11-01T12:00:00Z,9.1410,127.3590,0,01117
52901,2015-11-01T13:00:00Z,9.1410,127.3590,0,01117
52901,2015-11-01T14:00:00Z,9.1360,127.3630,0,01117
52901,2015-11-01T15:00:00Z,9.1360,127.3630,0,01117
52901,2015-11-01T16:00:00Z,9.1360,127.3630,0,01117
52901,2015-11-01T17:00:00Z,9.1330,127.3250,0,01117
52901,2015-11-01T18:00:00Z,9.1320,127.3250,0,01117
52901,2015-11-01T19:00:00Z,9.1320,127.3250,0,01117
52901,2015-11-01T20:00:00Z,9.1320,127.3250,0,01117
52901,2015-11-01T21:00:00Z,9.1120,127.3380,0,01117
52901,2015-11-01T22:00:00Z,9.1030,127.3320,0,01117
52901,2015-11-02T00:00:00Z,9.1030,127.3320,0,01117
52901,2015-11-02T01:00:00Z,9.0240,127.3490,0,01447
52901,2015-11-02T03:00:00Z,9.0240,127.3490,0,01117
52901,2015-11-02T04:00:00Z,9.0240,127.3490,0,01117
52901,2015-11-02T05:00:00Z,9.0280,127.2040,0,01447
52901,2015-11-02T06:00:00Z,9.0280,127.2040,0,01117
52901,2015-11-02T07:00:00Z,9.0280,127.2040,0,01117
52901,2015-11-02T08:00:00Z,9.0280,127.2040,0,01117
52901,2015-11-02T09:00:00Z,9.0280,127.2040,0,01117
52901,2015-11-02T11:00:00Z,9.0420,127.2120,0,01117
52901,2015-11-02T12:00:00Z,9.0420,127.2120,0,01117
52901,2015-11-02T14:00:00Z,9.0240,127.2130,0,01117
52901,2015-11-02T15:00:00Z,9.0240,127.2130,0,01117
52901,2015-11-02T16:00:00Z,9.0240,127.2130,0,01117
52901,2015-11-02T17:00:00Z,9.0240,127.2130,0,01117
52901,2015-11-02T18:00:00Z,9.0060,127.1970,0,01117
52901,2015-11-02T19:00:00Z,9.0060,127.1970,0,01117
52901,2015-11-02T20:00:00Z,9.0060,127.1970,0,01117
52901,2015-11-02T21:00:00Z,9.0060,127.1970,0,01117
52901,2015-11-02T22:00:00Z,8.9300,127.1990,0,01447
52901,2015-11-02T23:00:00Z,8.9260,127.2080,0,01117
52901,2015-11-03T01:00:00Z,8.9260,127.2080,0,01117
52901,2015-11-03T02:00:00Z,8.9840,127.0560,0,01447
52901,2015-11-03T03:00:00Z,8.9840,127.0560,0,01117
52901,2015-11-03T04:00:00Z,8.9840,127.0560,0,01117
52901,2015-11-03T05:00:00Z,8.9840,127.0560,0,01117
52901,2015-11-03T06:00:00Z,9.1080,126.9190,0,01447
52901,2015-11-03T07:00:00Z,9.1080,126.9190,0,01117
52901,2015-11-03T08:00:00Z,9.1460,126.9550,0,01447
52901,2015-11-03T09:00:00Z,9.1080,126.9190,0,01447
52901,2015-11-03T11:00:00Z,9.1600,126.9880,0,01117
52901,2015-11-03T12:00:00Z,9.1600,126.9880,0,01117
52901,2015-11-03T13:00:00Z,9.1840,127.0000,0,01117
52901,2015-11-03T16:00:00Z,9.1840,127.0000,0,01117
52901,2015-11-03T17:00:00Z,9.1840,127.0000,0,01117
52901,2015-11-03T18:00:00Z,9.1750,126.9820,0,01117
52901,2015-11-03T19:00:00Z,9.1750,126.9820,0,01117
52901,2015-11-03T20:00:00Z,9.1670,126.9940,0,01117
52901,2015-11-03T21:00:00Z,9.0860,126.9730,0,01447
52901,2015-11-03T22:00:00Z,9.0860,126.9730,0,01117
52901,2015-11-03T23:00:00Z,9.0470,126.9780,0,01117
52901,2015-11-04T00:00:00Z,9.0860,126.9730,0,01117
52901,2015-11-04T01:00:00Z,9.0470,126.9780,0,01117
52901,2015-11-04T02:00:00Z,9.4400,126.9470,0,01447
52901,2015-11-04T03:00:00Z,9.4400,126.9470,0,01117
52901,2015-11-04T04:00:00Z,9.4400,126.9470,0,01117
52901,2015-11-04T06:00:00Z,9.5910,126.9730,0,01447
52901,2015-11-04T07:00:00Z,9.5910,126.9730,0,01117
52901,2015-11-04T08:00:00Z,9.7440,126.9100,0,01447
52901,2015-11-04T09:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T10:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T11:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T12:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T14:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T15:00:00Z,9.7440,126.9100,0,01117
52901,2015-11-04T16:00:00Z,9.5640,126.8490,0,01447
52901,2015-11-04T17:00:00Z,9.7440,126.9100,0,01447
52901,2015-11-04T18:00:00Z,9.5610,126.8530,0,01447
52901,2015-11-04T19:00:00Z,9.5610,126.8530,0,01117
52901,2015-11-04T20:00:00Z,9.5610,126.8530,0,01117
52901,2015-11-04T21:00:00Z,9.4550,126.8050,0,01447
52901,2015-11-04T22:00:00Z,9.4800,126.8390,0,01117
52901,2015-11-04T23:00:00Z,9.4800,126.8390,0,01117
52901,2015-11-05T00:00:00Z,9.4800,126.8390,0,01117
52901,2015-11-05T01:00:00Z,9.7230,126.8830,0,01447
52901,2015-11-05T03:00:00Z,9.7230,126.8830,0,01117
52901,2015-11-05T04:00:00Z,9.7230,126.8830,0,01117
52901,2015-11-05T05:00:00Z,9.7230,126.8830,0,01117
52901,2015-11-05T06:00:00Z,9.7230,126.8830,0,01117
52901,2015-11-05T08:00:00Z,9.7230,126.8830,0,01117
52901,2015-11-05T09:00:00Z,10.1000,126.9770,0,01447
52901,2015-11-05T10:00:00Z,10.1000,126.9730,0,01117
52901,2015-11-05T11:00:00Z,10.0960,126.9770,0,01117
52901,2015-11-05T14:00:00Z,10.0950,126.9800,0,01117
52901,2015-11-05T15:00:00Z,10.0950,126.9800,0,01117
52901,2015-11-05T16:00:00Z,10.0930,126.9800,0,01117
52901,2015-11-05T17:00:00Z,10.0950,126.9800,0,01117
52901,2015-11-05T18:00:00Z,10.0950,126.9770,0,01117
52901,2015-11-05T19:00:00Z,10.0950,126.9770,0,01117
52901,2015-11-05T20:00:00Z,10.0950,126.9770,0,01117
52901,2015-11-05T21:00:00Z,10.0950,126.9770,0,01117
52901,2015-11-05T22:00:00Z,10.0920,126.9760,0,01117
52901,2015-11-05T23:00:00Z,10.0920,126.9760,0,01117
52901,2015-11-06T00:00:00Z,10.0610,127.0600,0,01117
52901,2015-11-06T01:00:00Z,10.1330,127.0290,0,01447
52901,2015-11-06T02:00:00Z,10.1330,127.0290,0,01117
52901,2015-11-06T03:00:00Z,10.1330,127.0290,0,01117
52901,2015-11-06T04:00:00Z,10.1330,127.0290,0,01117
52901,2015-11-06T05:00:00Z,10.0980,126.9810,0,01447
52901,2015-11-06T06:00:00Z,10.0980,126.9810,0,01117
52901,2015-11-06T07:00:00Z,10.0980,126.9720,0,01117
52901,2015-11-06T09:00:00Z,10.0980,126.9720,0,01117
52901,2015-11-06T10:00:00Z,10.1020,126.9640,0,01117
52901,2015-11-06T11:00:00Z,10.1040,126.9630,0,01117
52901,2015-11-06T12:00:00Z,10.1040,126.9630,0,01117
52901,2015-11-06T13:00:00Z,10.1040,126.9630,0,01117
52901,2015-11-06T15:00:00Z,10.1020,126.9610,0,01117
52901,2015-11-06T16:00:00Z,10.1020,126.9610,0,01117
52901,2015-11-06T17:00:00Z,10.0980,126.9520,0,01117
52901,2015-11-06T19:00:00Z,10.0990,126.9470,0,01117
52901,2015-11-06T20:00:00Z,10.0990,126.9470,0,01117
52901,2015-11-06T21:00:00Z,10.0680,126.8640,0,01447
52901,2015-11-06T22:00:00Z,10.0680,126.8640,0,01117
52901,2015-11-06T23:00:00Z,10.0680,126.8640,0,01117
52901,2015-11-07T00:00:00Z,10.0680,126.8640,0,01117
52901,2015-11-07T01:00:00Z,10.1220,126.6320,0,01447
52901,2015-11-07T02:00:00Z,10.1220,126.6320,0,01117
52901,2015-11-07T03:00:00Z,10.1220,126.6320,0,01117
52901,2015-11-07T04:00:00Z,10.1220,126.6320,0,01117
52901,2015-11-07T05:00:00Z,10.1220,126.6320,0,01117
52901,2015-11-07T06:00:00Z,10.0230,126.8150,0,01447
52901,2015-11-07T07:00:00Z,10.0230,126.8150,0,01117
52901,2015-11-07T08:00:00Z,10.0230,126.8150,0,01117
52901,2015-11-07T09:00:00Z,10.0230,126.8150,0,01117
52901,2015-11-07T10:00:00Z,9.9360,126.9560,0,01447
52901,2015-11-07T11:00:00Z,9.8460,127.1210,0,01447
52901,2015-11-07T12:00:00Z,9.8460,127.1210,0,01117
52901,2015-11-07T13:00:00Z,9.8470,127.1300,0,01117
52901,2015-11-07T14:00:00Z,9.8470,127.1300,0,01117
52901,2015-11-07T15:00:00Z,9.8300,127.0730,0,01447
52901,2015-11-07T16:00:00Z,9.8470,127.1300,0,01447
52901,2015-11-07T17:00:00Z,9.8300,127.0730,0,01447
52901,2015-11-07T18:00:00Z,9.8300,127.0730,0,01117
52901,2015-11-07T19:00:00Z,9.7670,127.0270,0,01447
52901,2015-11-07T20:00:00Z,9.8300,127.0730,0,01117
52901,2015-11-07T21:00:00Z,9.7540,127.0430,0,01447
52901,2015-11-07T22:00:00Z,9.7460,127.0230,0,01117
52901,2015-11-07T23:00:00Z,9.7430,127.0220,0,01117
52901,2015-11-08T00:00:00Z,9.7370,127.0090,0,01117
52901,2015-11-08T01:00:00Z,9.7150,127.0770,0,01447
52901,2015-11-08T03:00:00Z,9.7190,127.1330,0,01117
52901,2015-11-08T04:00:00Z,9.7190,127.1330,0,01117
52901,2015-11-08T05:00:00Z,9.7190,127.1330,0,01117
52901,2015-11-08T06:00:00Z,9.7890,127.1830,0,01447
52901,2015-11-08T07:00:00Z,9.7190,127.1330,0,01447
52901,2015-11-08T08:00:00Z,9.7890,127.1830,0,01447
52901,2015-11-08T09:00:00Z,9.7890,127.1830,0,01117
52901,2015-11-08T10:00:00Z,9.7880,127.1830,0,01117
52901,2015-11-08T11:00:00Z,9.7970,127.1660,0,01117
52901,2015-11-08T12:00:00Z,9.7740,127.1680,0,01117
52901,2015-11-08T13:00:00Z,9.7740,127.1680,0,01117
52901,2015-11-08T14:00:00Z,9.7700,127.1720,0,01117
52901,2015-11-08T15:00:00Z,9.7700,127.1720,0,01117
52901,2015-11-08T16:00:00Z,9.7700,127.1720,0,01117
52901,2015-11-08T17:00:00Z,9.7700,127.1720,0,01117
52901,2015-11-08T19:00:00Z,9.7470,127.1590,0,01117
52901,2015-11-08T20:00:00Z,9.7340,127.1600,0,01117
52901,2015-11-08T21:00:00Z,9.7310,127.1630,0,01117
52901,2015-11-09T00:00:00Z,9.7270,127.1530,0,01117
52901,2015-11-09T02:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T03:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T04:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T05:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T06:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T08:00:00Z,9.7300,127.1420,0,01117
52901,2015-11-09T09:00:00Z,9.7270,127.1430,0,01117
52901,2015-11-09T10:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T11:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T12:00:00Z,9.7280,127.1440,0,01117
52901,2015-11-09T13:00:00Z,9.7260,127.1300,0,01117
52901,2015-11-09T16:00:00Z,9.7300,127.1370,0,01117
52901,2015-11-09T17:00:00Z,9.7300,127.1370,0,01117
52901,2015-11-09T18:00:00Z,9.7300,127.1370,0,01117
