PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2100532,123265,2017-12-24T20:40:00Z,14.8306,164.9841,0,,,,,,00111799999
2100532,123265,2017-12-24T21:00:00Z,14.8310,164.9820,,0.5,311,15,-0.497,-0.113,00111971111
2100532,123265,2017-12-24T21:40:00Z,14.8306,164.9841,0,,,,,,00111799999
2100532,123265,2017-12-24T22:40:00Z,14.8247,164.9490,0,,,,,,00111799999
2100532,123265,2017-12-24T23:40:00Z,14.8210,164.9354,0,,,,,,00111799999
2100532,123265,2017-12-25T00:00:00Z,14.8200,164.9310,,0.5,311,15,-0.482,-0.087,00111971111
2100532,123265,2017-12-25T02:40:00Z,14.8088,164.8544,0,,,,,,00111799999
2100532,123265,2017-12-25T03:00:00Z,14.8140,164.8850,,0.5,311,15,-0.458,-0.093,00111971111
2100532,123265,2017-12-25T03:40:00Z,14.8088,164.8544,0,,,,,,00111799999
2100532,123265,2017-12-25T04:40:00Z,14.8088,164.8544,0,,,,,,00111799999
2100532,123265,2017-12-25T05:40:00Z,14.8044,164.8454,0,,,,,,00111799999
2100532,123265,2017-12-25T06:00:00Z,14.8020,164.8390,,0.5,311,15,-0.502,-0.077,00111971111
2100532,123265,2017-12-25T06:40:00Z,14.7987,164.8233,0,,,,,,00111799999
2100532,123265,2017-12-25T07:40:00Z,14.7972,164.8135,0,,,,,,00111799999
2100532,123265,2017-12-25T08:40:00Z,14.7972,164.8135,0,,,,,,00111799999
2100532,123265,2017-12-25T09:00:00Z,14.7990,164.7840,,0.5,311,15,-0.458,-0.062,00111971111
2100532,123265,2017-12-25T09:40:00Z,14.8002,164.7666,0,,,,,,00111799999
2100532,123265,2017-12-25T10:40:00Z,14.7899,164.7628,0,,,,,,00111799999
2100532,123265,2017-12-25T12:00:00Z,14.7900,164.7470,,0.5,311,15,-0.473,-0.026,00111971111
2100532,123265,2017-12-25T12:40:00Z,14.7897,164.7628,0,,,,,,00111799999
2100532,123265,2017-12-25T13:40:00Z,14.7897,164.7628,0,,,,,,00111799999
2100532,123265,2017-12-25T14:40:00Z,14.7897,164.7628,0,,,,,,00111799999
2100532,123265,2017-12-25T15:00:00Z,14.7940,164.6890,,0.5,311,15,-0.542,0.036,00111971111
2100532,123265,2017-12-25T15:40:00Z,14.7897,164.7628,0,,,,,,00111799999
2100532,123265,2017-12-25T16:40:00Z,14.7952,164.6727,0,,,,,,00144799999
2100532,123265,2017-12-25T17:40:00Z,14.7951,164.6432,0,,,,,,00111799999
2100532,123265,2017-12-25T18:00:00Z,14.7970,164.6380,,0.5,311,15,-0.453,0.067,00111971111
2100532,123265,2017-12-25T18:40:00Z,14.7980,164.6332,0,,,,,,00111799999
2100532,123265,2017-12-25T19:40:00Z,14.8061,164.6120,0,,,,,,00111799999
2100532,123265,2017-12-25T20:40:00Z,14.8055,164.6022,0,,,,,,00111799999
2100532,123265,2017-12-25T21:00:00Z,14.8070,164.5980,,0.5,311,15,-0.388,0.082,00111971111
2100532,123265,2017-12-25T21:40:00Z,14.8055,164.6022,0,,,,,,00111799999
2100532,123265,2017-12-25T22:40:00Z,14.8117,164.5667,0,,,,,,00111799999
2100532,123265,2017-12-25T23:40:00Z,14.8106,164.5641,0,,,,,,00111799999
2100532,123265,2017-12-26T00:00:00Z,14.8130,164.5600,,0.5,311,15,-0.423,0.062,00111971111
2100532,123265,2017-12-26T00:40:00Z,14.8106,164.5641,0,,,,,,00111799999
2100532,123265,2017-12-26T01:40:00Z,14.8187,164.5109,0,,,,,,00144799999
2100532,123265,2017-12-26T02:40:00Z,14.8187,164.5109,0,,,,,,00111799999
2100532,123265,2017-12-26T03:00:00Z,14.8190,164.5130,,0.5,311,15,-0.423,-0.021,00111971111
2100532,123265,2017-12-26T03:40:00Z,14.8187,164.5109,0,,,,,,00111799999
2100532,123265,2017-12-26T04:40:00Z,14.8115,164.4857,0,,,,,,00111799999
2100532,123265,2017-12-26T05:40:00Z,14.8111,164.4862,0,,,,,,00111799999
2100532,123265,2017-12-26T06:00:00Z,14.8090,164.4750,,0.5,311,15,-0.388,-0.093,00111971111
2100532,123265,2017-12-26T06:40:00Z,14.8056,164.4652,0,,,,,,00111799999
2100532,123265,2017-12-26T07:40:00Z,14.8016,164.4394,0,,,,,,00111799999
2100532,123265,2017-12-26T08:40:00Z,14.8002,164.4400,0,,,,,,00111799999
2100532,123265,2017-12-26T09:00:00Z,14.8010,164.4350,,0.5,311,15,-0.433,-0.005,00111971111
2100532,123265,2017-12-26T09:40:00Z,14.8036,164.4290,0,,,,,,00111799999
2100532,123265,2017-12-26T12:00:00Z,14.8080,164.3880,,0.5,311,15,-0.453,0.015,00111971111
2100532,123265,2017-12-26T12:40:00Z,14.8083,164.4101,0,,,,,,00111799999
2100532,123265,2017-12-26T13:40:00Z,14.8020,164.3319,0,,,,,,00144799999
2100532,123265,2017-12-26T14:40:00Z,14.8020,164.3319,0,,,,,,00111799999
2100532,123265,2017-12-26T15:00:00Z,14.8040,164.3440,,0.5,311,15,-0.413,-0.103,00111971111
2100532,123265,2017-12-26T15:40:00Z,14.8020,164.3319,0,,,,,,00111799999
2100532,123265,2017-12-26T16:40:00Z,14.7899,164.3112,0,,,,,,00111799999
2100532,123265,2017-12-26T17:40:00Z,14.7893,164.3095,0,,,,,,00111799999
2100532,123265,2017-12-26T18:00:00Z,14.7880,164.3050,,0.5,311,15,-0.448,-0.103,00111971111
