PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
2101534,2017-11-01T00:00:00Z,38.8780,161.3660,,311,15,0.092,-0.201,011191111
2101534,2017-11-01T00:01:00Z,38.8784,161.3660,0,,,,,011179999
2101534,2017-11-01T02:00:00Z,38.8636,161.3700,0,,,,,011179999
2101534,2017-11-01T03:00:00Z,38.8560,161.3710,,311,15,-0.004,-0.237,011191111
2101534,2017-11-01T03:00:00Z,38.8574,161.3712,0,,,,,011179999
2101534,2017-11-01T04:03:00Z,38.8508,161.3700,0,,,,,011179999
2101534,2017-11-01T05:00:00Z,38.8490,161.3648,0,,,,,011179999
2101534,2017-11-01T06:00:00Z,38.8320,161.3650,,311,15,-0.052,-0.072,011191111
2101534,2017-11-01T06:02:00Z,38.8308,161.3650,0,,,,,011179999
2101534,2017-11-01T09:00:00Z,38.8420,161.3580,,311,15,-0.012,0.041,011191111
2101534,2017-11-01T09:00:00Z,38.8434,161.3578,0,,,,,011179999
2101534,2017-11-01T10:00:00Z,38.8424,161.3608,0,,,,,011179999
2101534,2017-11-01T11:00:00Z,38.8406,161.3632,0,,,,,011179999
2101534,2017-11-01T12:00:00Z,38.8400,161.3620,,311,15,0.016,-0.041,011191111
2101534,2017-11-01T12:00:00Z,38.8400,161.3622,0,,,,,011179999
2101534,2017-11-01T13:00:00Z,38.8378,161.3636,0,,,,,011179999
2101534,2017-11-01T14:00:00Z,38.8348,161.3636,0,,,,,011179999
2101534,2017-11-01T15:00:00Z,38.8340,161.3620,,311,15,0.016,-0.051,011191111
2101534,2017-11-01T15:00:00Z,38.8342,161.3618,0,,,,,011179999
2101534,2017-11-01T16:00:00Z,38.8340,161.3628,0,,,,,011179999
2101534,2017-11-01T18:00:00Z,38.8300,161.3660,,311,15,0.044,-0.062,011191111
2101534,2017-11-01T18:00:00Z,38.8302,161.3662,0,,,,,011179999
2101534,2017-11-01T19:00:00Z,38.8280,161.3706,0,,,,,011179999
2101534,2017-11-01T20:00:00Z,38.8252,161.3730,0,,,,,011179999
2101534,2017-11-01T21:00:00Z,38.8220,161.3730,,311,15,0.028,-0.082,011191111
2101534,2017-11-01T21:00:00Z,38.8220,161.3728,0,,,,,011179999
2101534,2017-11-01T22:00:00Z,38.8190,161.3698,0,,,,,011179999
2101534,2017-11-01T23:00:00Z,38.8158,161.3722,0,,,,,011179999
2101534,2017-11-02T00:00:00Z,38.8140,161.3730,,311,15,-0.016,-0.113,011191111
2101534,2017-11-02T00:00:00Z,38.8140,161.3732,0,,,,,011179999
2101534,2017-11-02T01:00:00Z,38.8084,161.3736,0,,,,,011179999
2101534,2017-11-02T02:00:00Z,38.8024,161.3740,0,,,,,011179999
2101534,2017-11-02T03:00:00Z,38.8000,161.3690,,311,15,-0.016,-0.093,011191111
2101534,2017-11-02T03:00:00Z,38.7996,161.3694,0,,,,,011179999
2101534,2017-11-02T04:00:00Z,38.7992,161.3684,0,,,,,011179999
2101534,2017-11-02T05:00:00Z,38.7986,161.3684,0,,,,,011179999
2101534,2017-11-02T06:00:00Z,38.7960,161.3690,,311,15,0.056,0.005,011191111
2101534,2017-11-02T06:00:00Z,38.7960,161.3694,0,,,,,011179999
2101534,2017-11-02T09:00:00Z,38.8010,161.3830,,311,15,0.096,-0.026,011191111
2101534,2017-11-02T09:01:00Z,38.8010,161.3830,0,,,,,011179999
