PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),ATMS LEVEL0 (hectopascal),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101717,2017-11-01T10:00:00Z,27.0170,125.4110,26.4,1018,0,1.4,01111171
2101717,2017-11-01T11:00:00Z,27.0270,125.4050,26.4,1018.1,0,1.4,01111171
2101717,2017-11-01T12:00:00Z,27.0330,125.4020,26.3,1018.3,0,1.5,01111171
2101717,2017-11-01T13:00:00Z,27.0340,125.4010,26.4,1018.7,0,1.5,01111171
2101717,2017-11-01T14:00:00Z,27.0320,125.4020,26.3,1018.4,0,1.5,01111171
2101717,2017-11-01T15:00:00Z,27.0290,125.4010,26.3,1018.2,0,1.7,01111171
2101717,2017-11-01T16:00:00Z,27.0250,125.3970,26.3,1017.6,0,1.6,01111171
2101717,2017-11-01T17:00:00Z,27.0240,125.3890,26.3,1017.1,0,1.5,01111171
2101717,2017-11-01T18:00:00Z,27.0280,125.3780,26.3,1016.3,0,1.4,01111171
2101717,2017-11-01T19:00:00Z,27.0370,125.3630,26.3,1016,0,1.2,01111171
2101717,2017-11-01T20:00:00Z,27.0500,125.3480,26.3,1015.8,0,1.3,01111171
2101717,2017-11-01T21:00:00Z,27.0650,125.3340,26.3,1016,0,1.3,01111171
2101717,2017-11-01T22:00:00Z,27.0810,125.3220,26.3,1016.6,0,1.1,01111171
2101717,2017-11-01T23:00:00Z,27.0960,125.3140,26.3,1017,0,1.3,01111171
2101717,2017-11-02T00:00:00Z,27.1100,125.3110,26.3,1017.4,0,1.3,01111171
2101717,2017-11-02T01:00:00Z,27.1210,125.3110,26.3,1017.4,0,1.2,01111171
2101717,2017-11-02T02:00:00Z,27.1280,125.3130,26.3,1017,0,1.3,01111171
2101717,2017-11-02T03:00:00Z,27.1330,125.3160,26.3,1016.8,0,1.4,01111171
2101717,2017-11-02T04:00:00Z,27.1370,125.3170,26.3,1015.8,0,1.2,01111171
2101717,2017-11-02T05:00:00Z,27.1430,125.3150,26.3,1015.4,0,1.2,01111171
2101717,2017-11-02T06:00:00Z,27.1530,125.3090,26.4,1015.1,0,1.1,01111171
2101717,2017-11-02T07:00:00Z,27.1680,125.3010,26.3,1015.1,0,1.2,01111171
2101717,2017-11-02T08:00:00Z,27.1870,125.2920,26.3,1015.1,0,1.2,01111171
2101717,2017-11-02T09:00:00Z,27.2090,125.2860,26.3,1016,0,1.2,01111171
2101717,2017-11-02T10:00:00Z,27.2320,125.2840,26.3,1016.2,0,1.1,01111171
2101717,2017-11-02T11:00:00Z,27.2550,125.2890,26.3,1016.7,0,1.1,01111171
2101717,2017-11-02T12:00:00Z,27.2760,125.3000,26.3,1017.2,0,1,01111171
2101717,2017-11-02T13:00:00Z,27.2880,125.3170,26.3,1017.4,0,1,01111171
2101717,2017-11-02T14:00:00Z,27.2950,125.3370,26.3,1017.7,0,1.1,01111171
2101717,2017-11-02T15:00:00Z,27.3020,125.3580,26.2,1017.7,0,1.1,01111171
2101717,2017-11-02T16:00:00Z,27.3070,125.3750,26.2,1017.8,0,1.1,01111171
2101717,2017-11-02T17:00:00Z,27.3110,125.3870,26.2,1016.2,0,1.1,01111171
2101717,2017-11-02T18:00:00Z,27.3200,125.3920,26.2,1015.1,0,1.2,01111171
2101717,2017-11-02T19:00:00Z,27.3360,125.3910,26.2,1015.7,0,1.3,01111171
2101717,2017-11-02T20:00:00Z,27.3520,125.3830,26.2,1015.3,0,1.2,01111171
2101717,2017-11-02T21:00:00Z,27.3690,125.3720,26.2,1015.9,0,1.2,01111171
2101717,2017-11-02T22:00:00Z,27.3880,125.3620,26.2,1016.7,0,1.1,01111171
2101717,2017-11-02T23:00:00Z,27.4080,125.3550,26.2,1017.4,0,1,01111171
2101717,2017-11-03T00:00:00Z,27.4250,125.3540,26.2,1018.1,0,1,01111171
2101717,2017-11-03T01:00:00Z,27.4350,125.3590,26.1,1018.3,0,1.1,01111171
2101717,2017-11-03T02:00:00Z,27.4380,125.3690,26.1,1018.1,0,1.1,01111171
2101717,2017-11-03T03:00:00Z,27.4380,125.3830,26.1,1017.5,0,1,01111171
2101717,2017-11-03T04:00:00Z,27.4350,125.3960,26.1,1016.8,0,1.1,01111171
2101717,2017-11-03T05:00:00Z,27.4310,125.4050,26.1,1016.8,0,1.2,01111171
2101717,2017-11-03T06:00:00Z,27.4280,125.4080,26.1,1016.7,0,1.2,01111171
2101717,2017-11-03T07:00:00Z,27.4290,125.4060,26.1,1016.5,0,1.2,01111171
