PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),QC
2101724,2018-03-06T01:00:00Z,27.0680,126.3880,23.6,0,3.3,0111171
2101724,2018-03-06T02:00:00Z,27.0840,126.3890,23.6,0,3.5,0111171
2101724,2018-03-06T03:00:00Z,27.1010,126.3870,23.6,0,3.6,0111171
2101724,2018-03-06T04:00:00Z,27.1200,126.3840,23.6,0,4,0111171
2101724,2018-03-06T05:00:00Z,27.1420,126.3810,23.6,0,4,0111171
2101724,2018-03-06T06:00:00Z,27.1640,126.3780,23.6,0,3.9,0111171
2101724,2018-03-06T07:00:00Z,27.1880,126.3750,23.5,0,3.8,0111171
2101724,2018-03-06T08:00:00Z,27.2140,126.3750,23.5,0,4,0111171
2101724,2018-03-06T09:00:00Z,27.2420,126.3760,23.5,0,4.2,0111171
2101724,2018-03-06T10:00:00Z,27.2680,126.3790,23.5,0,4.2,0111171
2101724,2018-03-06T11:00:00Z,27.2920,126.3820,23.5,0,4.2,0111171
2101724,2018-03-06T12:00:00Z,27.3140,126.3830,23.5,0,4,0111171
2101724,2018-03-06T13:00:00Z,27.3370,126.3840,23.5,0,4,0111171
2101724,2018-03-06T14:00:00Z,27.3600,126.3830,23.4,0,3.3,0111171
2101724,2018-03-06T16:00:00Z,27.4080,126.3780,23.5,0,3.7,0111171
2101724,2018-03-06T17:00:00Z,27.4350,126.3780,23.5,0,3.4,0111171
2101724,2018-03-06T18:00:00Z,27.4610,126.3790,23.4,0,3.3,0111171
2101724,2018-03-06T19:00:00Z,27.4870,126.3810,23.4,0,2.9,0111171
2101724,2018-03-06T20:00:00Z,27.5130,126.3830,23.4,0,3,0111171
2101724,2018-03-06T21:00:00Z,27.5380,126.3830,23.4,0,2.7,0111171
2101724,2018-03-06T22:00:00Z,27.5640,126.3790,23.4,0,2.9,0111171
2101724,2018-03-06T23:00:00Z,27.5930,126.3720,23.4,0,2.7,0111171
2101724,2018-03-07T00:00:00Z,27.6230,126.3620,23.4,0,2.6,0111171
2101724,2018-03-07T01:00:00Z,27.6530,126.3530,23.4,0,2.9,0111171
2101724,2018-03-07T02:00:00Z,27.6840,126.3440,23.4,0,2.6,0111171
2101724,2018-03-07T03:00:00Z,27.7170,126.3380,23.3,0,2.6,0111171
2101724,2018-03-07T04:00:00Z,27.7490,126.3340,23.4,0,2.5,0111171
2101724,2018-03-07T05:00:00Z,27.7790,126.3330,23.3,0,2.5,0111171
2101724,2018-03-07T06:00:00Z,27.8080,126.3360,23.3,0,2.6,0111171
2101724,2018-03-07T07:00:00Z,27.8370,126.3420,23.2,0,2.8,0111171
2101724,2018-03-07T08:00:00Z,27.8650,126.3490,23.1,0,2.6,0111171
2101724,2018-03-07T09:00:00Z,27.8920,126.3570,23,0,2.6,0111171
2101724,2018-03-07T10:00:00Z,27.9210,126.3650,23,0,2.3,0111171
2101724,2018-03-07T11:00:00Z,27.9510,126.3730,23,0,2.5,0111171
2101724,2018-03-07T12:00:00Z,27.9800,126.3810,23,0,2.6,0111171
2101724,2018-03-07T13:00:00Z,28.0070,126.3990,22.9,0,2.4,0111171
2101724,2018-03-07T14:00:00Z,28.0250,126.4270,22.9,0,2.3,0111171
2101724,2018-03-07T15:00:00Z,28.0440,126.4590,22.9,0,2.4,0111171
2101724,2018-03-07T16:00:00Z,28.0610,126.4950,22.9,0,2.6,0111171
2101724,2018-03-07T17:00:00Z,28.0780,126.5320,23,0,2.6,0111171
2101724,2018-03-07T18:00:00Z,28.0950,126.5730,23,0,2.6,0111171
2101724,2018-03-07T19:00:00Z,28.1070,126.6150,23.1,0,2.4,0111171
2101724,2018-03-07T20:00:00Z,28.1170,126.6540,23.2,0,2.5,0111171
2101724,2018-03-07T21:00:00Z,28.1240,126.6940,23.2,0,2.7,0111171
2101724,2018-03-07T22:00:00Z,28.1330,126.7320,23.2,0,2.6,0111171
2101724,2018-03-07T23:00:00Z,28.1390,126.7700,23.1,0,2.5,0111171
2101724,2018-03-08T00:00:00Z,28.1410,126.8060,23,0,2.4,0111171
2101724,2018-03-08T01:00:00Z,28.1420,126.8380,23,0,3,0111171
2101724,2018-03-08T02:00:00Z,28.1450,126.8640,23,0,3,0111171
2101724,2018-03-08T03:00:00Z,28.1490,126.8880,23.1,0,3.4,0111171
2101724,2018-03-08T04:00:00Z,28.1550,126.9100,23,0,3.6,0111171
2101724,2018-03-08T05:00:00Z,28.1640,126.9310,22.8,0,3.8,0111171
2101724,2018-03-08T06:00:00Z,28.1740,126.9560,22.6,0,4.3,0111171
2101724,2018-03-08T08:00:00Z,28.1970,127.0170,22.5,0,4,0111171
2101724,2018-03-08T09:00:00Z,28.2100,127.0470,22.5,0,4.4,0111171
2101724,2018-03-08T10:00:00Z,28.2240,127.0770,22.6,0,5.3,0111171
2101724,2018-03-08T11:00:00Z,28.2400,127.1080,22.7,0,5.4,0111171
2101724,2018-03-08T12:00:00Z,28.2560,127.1400,22.8,0,4.7,0111171
2101724,2018-03-08T13:00:00Z,28.2710,127.1720,22.8,0,4.6,0111171
2101724,2018-03-08T14:00:00Z,28.2860,127.2030,22.9,0,4.9,0111171
2101724,2018-03-08T15:00:00Z,28.3010,127.2330,22.9,0,5,0111171
2101724,2018-03-08T16:00:00Z,28.3170,127.2600,22.9,0,4.3,0111171
2101724,2018-03-08T17:00:00Z,28.3310,127.2850,22.9,0,4.2,0111171
2101724,2018-03-08T18:00:00Z,28.3470,127.3110,22.9,0,4.2,0111171
2101724,2018-03-08T19:00:00Z,28.3640,127.3370,22.9,0,4.5,0111171
2101724,2018-03-08T20:00:00Z,28.3810,127.3620,22.8,0,4.1,0111171
2101724,2018-03-08T21:00:00Z,28.3980,127.3870,22.8,0,4.2,0111171
2101724,2018-03-08T22:00:00Z,28.4160,127.4140,22.8,0,4,0111171
2101724,2018-03-08T23:00:00Z,28.4340,127.4410,22.6,0,4,0111171
2101724,2018-03-09T00:00:00Z,28.4550,127.4650,22.5,0,3.6,0111171
2101724,2018-03-09T01:00:00Z,28.4810,127.4910,22.5,0,3.6,0111171
2101724,2018-03-09T02:00:00Z,28.5090,127.5210,22.6,0,3.6,0111171
2101724,2018-03-09T03:00:00Z,28.5360,127.5510,22.6,0,3.5,0111171
2101724,2018-03-09T04:00:00Z,28.5630,127.5800,22.6,0,3.2,0111171
2101724,2018-03-09T05:00:00Z,28.5900,127.6110,22.7,0,3.3,0111171
