PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5102527,2017-12-06T23:00:00Z,12.4980,164.9894,0,,,,,,,,,,01117999999999
5102527,2017-12-07T00:00:00Z,12.5020,164.9790,,,,,,,311,15,-0.321,0.041,01119999991111
5102527,2017-12-07T00:00:00Z,12.5016,164.9786,0,,,,,,,,,,01117999999999
5102527,2017-12-07T01:00:00Z,12.5004,164.9712,0,,,,,,,,,,01117999999999
5102527,2017-12-07T02:00:00Z,12.5022,164.9612,0,,,,,,,,,,01117999999999
5102527,2017-12-07T03:00:00Z,12.5040,164.9500,,,,,,,311,15,-0.306,0.062,01119999991111
5102527,2017-12-07T03:00:00Z,12.5040,164.9508,0,,,,,,,,,,01117999999999
5102527,2017-12-07T04:00:00Z,12.5070,164.9414,0,,,,,,,,,,01117999999999
5102527,2017-12-07T05:00:00Z,12.5108,164.9302,0,,,,,,,,,,01117999999999
5102527,2017-12-07T06:00:00Z,12.5140,164.9180,,,,,,,311,15,-0.326,0.103,01119999991111
5102527,2017-12-07T06:00:00Z,12.5144,164.9184,0,,,,,,,,,,01117999999999
5102527,2017-12-07T07:00:00Z,12.5180,164.9068,0,,,,,,,,,,01117999999999
5102527,2017-12-07T08:00:00Z,12.5248,164.8968,0,,,,,,,,,,01117999999999
5102527,2017-12-07T09:00:00Z,12.5240,164.8850,,,,,,,311,15,-0.362,0.123,01119999991111
5102527,2017-12-07T09:00:00Z,12.5244,164.8838,0,,,,,,,,,,01117999999999
5102527,2017-12-07T10:00:00Z,12.5286,164.8732,0,,,,,,,,,,01117999999999
5102527,2017-12-07T11:00:00Z,12.5322,164.8594,0,,,,,,,,,,01117999999999
5102527,2017-12-07T12:00:00Z,12.5380,164.8460,,,,,,,311,15,-0.341,0.139,01119999991111
5102527,2017-12-07T12:00:00Z,12.5382,164.8458,0,,,,,,,,,,01117999999999
5102527,2017-12-07T13:00:00Z,12.5444,164.8358,0,,,,,,,,,,01117999999999
5102527,2017-12-07T14:00:00Z,12.5474,164.8278,0,,,,,,,,,,01117999999999
5102527,2017-12-07T15:00:00Z,12.5510,164.8170,,,,,,,311,15,-0.241,0.129,01119999991111
5102527,2017-12-07T15:00:00Z,12.5510,164.8184,0,,,,,,,,,,01117999999999
5102527,2017-12-07T16:00:00Z,12.5542,164.8104,0,,,,,,,,,,01117999999999
5102527,2017-12-07T18:00:00Z,12.5630,164.7980,,,,,,,311,15,-0.216,0.067,01119999991111
5102527,2017-12-07T18:00:00Z,12.5634,164.7982,0,,,,,,,,,,01117999999999
5102527,2017-12-07T19:00:00Z,12.5654,164.7918,0,,,,,,,,,,01117999999999
5102527,2017-12-07T20:00:00Z,12.5644,164.7838,0,,,,,,,,,,01117999999999
5102527,2017-12-07T21:00:00Z,12.5640,164.7740,,,,,,,311,15,-0.316,-0.015,01119999991111
5102527,2017-12-07T21:00:00Z,12.5636,164.7732,0,,,,,,,,,,01117999999999
5102527,2017-12-07T22:00:00Z,12.5622,164.7600,0,,,,,,,,,,01117999999999
5102527,2017-12-07T23:00:00Z,12.5600,164.7484,0,,,,,,,,,,01117999999999
5102527,2017-12-08T00:00:00Z,12.5600,164.7350,,,,,,,311,15,-0.377,0.057,01119999991111
5102527,2017-12-08T00:00:00Z,12.5600,164.7350,0,,,,,,,,,,01117999999999
5102527,2017-12-08T01:00:00Z,12.5638,164.7228,0,,,,,,,,,,01117999999999
5102527,2017-12-08T02:00:00Z,12.5684,164.7108,0,,,,,,,,,,01117999999999
5102527,2017-12-08T03:00:00Z,12.5750,164.6990,,,,,,,311,15,-0.291,0.165,01119999991111
5102527,2017-12-08T03:00:00Z,12.5742,164.6990,0,,,,,,,,,,01117999999999
5102527,2017-12-08T04:00:00Z,12.5800,164.6910,0,,,,,,,,,,01117999999999
5102527,2017-12-08T05:00:00Z,12.5868,164.6848,0,,,,,,,,,,01117999999999
5102527,2017-12-08T06:00:00Z,12.5920,164.6770,,,,,,,311,15,-0.256,0.149,01119999991111
5102527,2017-12-08T06:00:00Z,12.5916,164.6774,0,,,,,,,,,,01117999999999
5102527,2017-12-08T07:00:00Z,12.5966,164.6696,0,,,,,,,,,,01117999999999
5102527,2017-12-08T08:00:00Z,12.6002,164.6598,0,,,,,,,,,,01117999999999
5102527,2017-12-08T09:00:00Z,12.6040,164.6480,,,,,,,311,15,-0.311,0.072,01119999991111
5102527,2017-12-08T09:00:00Z,12.6038,164.6474,0,,,,,,,,,,01117999999999
5102527,2017-12-08T10:00:00Z,12.6056,164.6360,0,,,,,,,,,,01117999999999
