PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5200597,127082,2017-11-01T00:00:00Z,27.8210,157.8900,,211,15,-0.541,-0.015,0011191111
5200597,127082,2017-11-01T00:00:00Z,27.8208,157.8898,0,,,,,0011179999
5200597,127082,2017-11-01T01:00:00Z,27.8212,157.8894,0,,,,,0011179999
5200597,127082,2017-11-01T02:00:00Z,27.8256,157.8106,0,,,,,0014479999
5200597,127082,2017-11-01T03:00:00Z,27.8240,157.8250,,211,15,-0.409,0.067,0011191111
5200597,127082,2017-11-01T03:00:00Z,27.8256,157.8106,0,,,,,0011179999
5200597,127082,2017-11-01T04:00:00Z,27.8256,157.8106,0,,,,,0011179999
5200597,127082,2017-11-01T05:00:00Z,27.8311,157.8034,0,,,,,0011179999
5200597,127082,2017-11-01T06:00:00Z,27.8340,157.8000,,211,15,-0.264,0.062,0011191111
5200597,127082,2017-11-01T06:00:00Z,27.8311,157.8034,0,,,,,0011179999
5200597,127082,2017-11-01T07:00:00Z,27.8381,157.7916,0,,,,,0011179999
5200597,127082,2017-11-01T08:00:00Z,27.8353,157.7730,0,,,,,0011179999
5200597,127082,2017-11-01T09:00:00Z,27.8360,157.7670,,211,15,-0.291,-0.057,0011191111
5200597,127082,2017-11-01T09:00:00Z,27.8375,157.7653,0,,,,,0011179999
5200597,127082,2017-11-01T10:00:00Z,27.8327,157.7681,0,,,,,0011179999
5200597,127082,2017-11-01T11:00:00Z,27.8259,157.7461,0,,,,,0011179999
5200597,127082,2017-11-01T12:00:00Z,27.8230,157.7360,,211,15,-0.346,-0.123,0011191111
5200597,127082,2017-11-01T12:00:00Z,27.8270,157.7439,0,,,,,0011179999
5200597,127082,2017-11-01T13:00:00Z,27.8270,157.7439,0,,,,,0011179999
5200597,127082,2017-11-01T14:00:00Z,27.8064,157.6687,0,,,,,0014479999
5200597,127082,2017-11-01T15:00:00Z,27.8120,157.6910,,211,15,-0.432,-0.165,0011191111
5200597,127082,2017-11-01T15:00:00Z,27.8064,157.6687,0,,,,,0011179999
5200597,127082,2017-11-01T16:00:00Z,27.8064,157.6687,0,,,,,0011179999
5200597,127082,2017-11-01T17:00:00Z,27.8064,157.6687,0,,,,,0011179999
5200597,127082,2017-11-01T18:00:00Z,27.7910,157.6410,,211,15,-0.569,-0.031,0011191111
5200597,127082,2017-11-01T18:00:00Z,27.7921,157.6370,0,,,,,0011179999
5200597,127082,2017-11-01T19:00:00Z,27.7879,157.6429,0,,,,,0011179999
5200597,127082,2017-11-01T20:00:00Z,27.7926,157.5868,0,,,,,0011179999
5200597,127082,2017-11-01T21:00:00Z,27.8060,157.5660,,211,15,-0.537,0.19,0011191111
5200597,127082,2017-11-01T21:00:00Z,27.8082,157.5627,0,,,,,0011179999
5200597,127082,2017-11-01T22:00:00Z,27.8083,157.5552,0,,,,,0011179999
5200597,127082,2017-11-01T23:00:00Z,27.8061,157.5668,0,,,,,0011179999
5200597,127082,2017-11-02T00:00:00Z,27.8280,157.5230,,211,15,-0.346,0.221,0011191111
5200597,127082,2017-11-02T00:00:00Z,27.8255,157.5256,0,,,,,0011179999
5200597,127082,2017-11-02T01:00:00Z,27.8255,157.5256,0,,,,,0011179999
5200597,127082,2017-11-02T02:00:00Z,27.8531,157.4839,0,,,,,0011179999
5200597,127082,2017-11-02T03:00:00Z,27.8490,157.4900,,211,15,-0.3,0.17,0011191111
5200597,127082,2017-11-02T03:00:00Z,27.8255,157.5256,0,,,,,0011179999
5200597,127082,2017-11-02T04:00:00Z,27.8531,157.4839,0,,,,,0011179999
5200597,127082,2017-11-02T05:00:00Z,27.8644,157.4705,0,,,,,0011179999
5200597,127082,2017-11-02T06:00:00Z,27.8610,157.4570,,211,15,-0.359,0.036,0011191111
5200597,127082,2017-11-02T06:00:00Z,27.8590,157.4484,0,,,,,0011179999
5200597,127082,2017-11-02T07:00:00Z,27.8590,157.4484,0,,,,,0011179999
5200597,127082,2017-11-02T08:00:00Z,27.8599,157.4220,0,,,,,0011179999
5200597,127082,2017-11-02T09:00:00Z,27.8560,157.4110,,211,15,-0.446,-0.015,0011191111
5200597,127082,2017-11-02T09:00:00Z,27.8544,157.4221,0,,,,,0011179999
5200597,127082,2017-11-02T10:00:00Z,27.8544,157.4221,0,,,,,0011179999
5200597,127082,2017-11-02T11:00:00Z,27.8551,157.3817,0,,,,,0011179999
5200597,127082,2017-11-02T12:00:00Z,27.8580,157.3590,,211,15,-0.418,0.093,0011191111
5200597,127082,2017-11-02T12:00:00Z,27.8584,157.3581,0,,,,,0011179999
5200597,127082,2017-11-02T13:00:00Z,27.8584,157.3581,0,,,,,0011179999
5200597,127082,2017-11-02T14:00:00Z,27.8818,157.3050,0,,,,,0014479999
5200597,127082,2017-11-02T15:00:00Z,27.8740,157.3190,,211,15,-0.377,0.129,0011191111
5200597,127082,2017-11-02T15:00:00Z,27.8797,157.3064,0,,,,,0011179999
5200597,127082,2017-11-02T16:00:00Z,27.8797,157.3064,0,,,,,0011179999
5200597,127082,2017-11-02T17:00:00Z,27.8846,157.2772,0,,,,,0011179999
5200597,127082,2017-11-02T18:00:00Z,27.8830,157.2760,,211,15,-0.373,0.067,0011191111
5200597,127082,2017-11-02T18:00:00Z,27.8830,157.2796,0,,,,,0011179999
5200597,127082,2017-11-02T19:00:00Z,27.8846,157.2590,0,,,,,0011179999
5200597,127082,2017-11-02T20:00:00Z,27.8826,157.2613,0,,,,,0011179999
