PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
5201624,2017-11-01T00:00:00Z,25.8490,133.6800,,,26.32,0.5,311,15,-0.153,0.427,011199171111
5201624,2017-11-01T00:00:00Z,25.8492,133.6798,26.31,0,,,,,,,011117999999
5201624,2017-11-01T01:00:00Z,25.8614,133.6760,26.32,0,,,,,,,011117999999
5201624,2017-11-01T02:00:00Z,25.8728,133.6740,26.33,0,,,,,,,011117999999
5201624,2017-11-01T03:00:00Z,25.8850,133.6750,,,26.34,0.5,311,15,0.005,0.268,011199171111
5201624,2017-11-01T03:00:00Z,25.8840,133.6746,26.33,0,,,,,,,011117999999
5201624,2017-11-01T04:00:00Z,25.8916,133.6766,26.36,0,,,,,,,011117999999
5201624,2017-11-01T05:00:00Z,25.8972,133.6780,26.36,0,,,,,,,011117999999
5201624,2017-11-01T06:00:00Z,25.9010,133.6810,,,26.34,0.5,311,15,0.088,0.021,011199171111
5201624,2017-11-01T06:00:00Z,25.9010,133.6808,26.36,0,,,,,,,011117999999
5201624,2017-11-01T07:00:00Z,25.9010,133.6860,26.35,0,,,,,,,011117999999
5201624,2017-11-01T08:00:00Z,25.8972,133.6906,26.32,0,,,,,,,011117999999
5201624,2017-11-01T09:00:00Z,25.8890,133.6940,,,26.32,0.5,311,15,-0.014,-0.298,011199171111
5201624,2017-11-01T09:00:00Z,25.8882,133.6938,26.31,0,,,,,,,011117999999
5201624,2017-11-01T10:00:00Z,25.8738,133.6924,26.3,0,,,,,,,011117999999
5201624,2017-11-01T11:00:00Z,25.8574,133.6880,26.3,0,,,,,,,011117999999
5201624,2017-11-01T12:00:00Z,25.8430,133.6780,,,26.3,0.5,311,15,-0.329,-0.365,011199171111
5201624,2017-11-01T12:00:00Z,25.8428,133.6782,26.3,0,,,,,,,011117999999
5201624,2017-11-01T13:00:00Z,25.8310,133.6632,26.29,0,,,,,,,011117999999
5201624,2017-11-01T14:00:00Z,25.8228,133.6450,26.29,0,,,,,,,011117999999
5201624,2017-11-01T15:00:00Z,25.8180,133.6230,,,26.28,0.5,311,15,-0.533,-0.17,011199171111
5201624,2017-11-01T15:00:00Z,25.8176,133.6238,26.29,0,,,,,,,011117999999
5201624,2017-11-01T16:00:00Z,25.8136,133.6052,26.27,0,,,,,,,011117999999
5201624,2017-11-01T17:00:00Z,25.8104,133.5836,26.27,0,,,,,,,011117999999
5201624,2017-11-01T18:00:00Z,25.8100,133.5630,,,26.27,0.5,311,15,-0.583,0,011199171111
5201624,2017-11-01T18:00:00Z,25.8102,133.5626,26.27,0,,,,,,,011117999999
5201624,2017-11-01T19:00:00Z,25.8114,133.5412,26.27,0,,,,,,,011117999999
5201624,2017-11-01T20:00:00Z,25.8136,133.5188,26.27,0,,,,,,,011117999999
5201624,2017-11-01T21:00:00Z,25.8180,133.4970,,,26.27,0.5,311,15,-0.607,0.165,011199171111
5201624,2017-11-01T21:00:00Z,25.8182,133.4946,26.27,0,,,,,,,011117999999
5201624,2017-11-01T22:00:00Z,25.8240,133.4700,26.26,0,,,,,,,011117999999
5201624,2017-11-01T23:00:00Z,25.8320,133.4488,26.25,0,,,,,,,011117999999
5201624,2017-11-02T00:00:00Z,25.8420,133.4320,,,26.27,0.5,311,15,-0.417,0.35,011199171111
5201624,2017-11-02T00:00:00Z,25.8420,133.4324,26.26,0,,,,,,,011117999999
5201624,2017-11-02T01:00:00Z,25.8540,133.4192,26.27,0,,,,,,,011117999999
5201624,2017-11-02T02:00:00Z,25.8692,133.4112,26.31,0,,,,,,,011117999999
5201624,2017-11-02T03:00:00Z,25.8860,133.4070,,,26.3,0.5,311,15,-0.139,0.417,011199171111
5201624,2017-11-02T03:00:00Z,25.8852,133.4068,26.3,0,,,,,,,011117999999
5201624,2017-11-02T04:00:00Z,25.9004,133.4046,26.31,0,,,,,,,011117999999
5201624,2017-11-02T05:00:00Z,25.9138,133.4024,26.33,0,,,,,,,011117999999
5201624,2017-11-02T06:00:00Z,25.9230,133.4020,,,26.3,0.5,311,15,-0.005,0.216,011199171111
5201624,2017-11-02T06:00:00Z,25.9230,133.4018,26.32,0,,,,,,,011117999999
5201624,2017-11-02T07:00:00Z,25.9282,133.4020,26.3,0,,,,,,,011117999999
5201624,2017-11-02T08:00:00Z,25.9296,133.4038,26.29,0,,,,,,,011117999999
5201624,2017-11-02T09:00:00Z,25.9280,133.4060,,,26.28,0.5,311,15,0.046,-0.113,011199171111
5201624,2017-11-02T09:00:00Z,25.9282,133.4058,26.27,0,,,,,,,011117999999
5201624,2017-11-02T10:00:00Z,25.9218,133.4074,26.27,0,,,,,,,011117999999
5201624,2017-11-02T11:00:00Z,25.9132,133.4092,26.25,0,,,,,,,011117999999
5201624,2017-11-02T12:00:00Z,25.9010,133.4120,,,26.25,0.5,311,15,-0.037,-0.34,011199171111
5201624,2017-11-02T12:00:00Z,25.9012,133.4120,26.25,0,,,,,,,011117999999
5201624,2017-11-02T13:00:00Z,25.8866,133.4122,26.24,0,,,,,,,011117999999
5201624,2017-11-02T14:00:00Z,25.8736,133.4078,26.24,0,,,,,,,011117999999
5201624,2017-11-02T15:00:00Z,25.8620,133.3980,,,26.24,0.5,311,15,-0.287,-0.334,011199171111
5201624,2017-11-02T15:00:00Z,25.8630,133.3990,26.24,0,,,,,,,011117999999
5201624,2017-11-02T16:00:00Z,25.8544,133.3860,26.24,0,,,,,,,011117999999
5201624,2017-11-02T17:00:00Z,25.8452,133.3698,26.24,0,,,,,,,011117999999
5201624,2017-11-02T18:00:00Z,25.8360,133.3500,,,26.24,0.5,311,15,-0.607,-0.211,011199171111
5201624,2017-11-02T18:00:00Z,25.8358,133.3500,26.24,0,,,,,,,011117999999
5201624,2017-11-02T19:00:00Z,25.8292,133.3244,26.24,0,,,,,,,011117999999
5201624,2017-11-02T20:00:00Z,25.8240,133.2944,26.22,0,,,,,,,011117999999
5201624,2017-11-02T21:00:00Z,25.8210,133.2670,,,26.23,0.5,311,15,-0.718,-0.005,011199171111
5201624,2017-11-02T21:00:00Z,25.8212,133.2652,26.23,0,,,,,,,011117999999
5201624,2017-11-02T22:00:00Z,25.8228,133.2382,26.23,0,,,,,,,011117999999
5201624,2017-11-02T23:00:00Z,25.8280,133.2154,26.23,0,,,,,,,011117999999
5201624,2017-11-03T00:00:00Z,25.8350,133.1950,,,26.24,0.5,311,15,-0.537,0.283,011199171111
5201624,2017-11-03T00:00:00Z,25.8346,133.1952,26.24,0,,,,,,,011117999999
5201624,2017-11-03T01:00:00Z,25.8444,133.1776,26.24,0,,,,,,,011117999999
5201624,2017-11-03T02:00:00Z,25.8582,133.1622,26.24,0,,,,,,,011117999999
5201624,2017-11-03T03:00:00Z,25.8760,133.1510,,,26.26,0.5,311,15,-0.278,0.422,011199171111
5201624,2017-11-03T03:00:00Z,25.8746,133.1518,26.25,0,,,,,,,011117999999
5201624,2017-11-03T04:00:00Z,25.8908,133.1444,26.27,0,,,,,,,011117999999
5201624,2017-11-03T05:00:00Z,25.9058,133.1392,26.3,0,,,,,,,011117999999
5201624,2017-11-03T06:00:00Z,25.9170,133.1350,,,26.27,0.5,311,15,-0.134,0.268,011199171111
5201624,2017-11-03T06:00:00Z,25.9172,133.1346,26.3,0,,,,,,,011117999999
5201624,2017-11-03T07:00:00Z,25.9238,133.1300,26.29,0,,,,,,,011117999999
5201624,2017-11-03T08:00:00Z,25.9276,133.1260,26.26,0,,,,,,,011117999999
5201624,2017-11-03T09:00:00Z,25.9280,133.1220,,,26.27,0.5,311,15,-0.093,0.015,011199171111
5201624,2017-11-03T09:00:00Z,25.9284,133.1216,26.25,0,,,,,,,011117999999
5201624,2017-11-03T10:00:00Z,25.9282,133.1186,26.26,0,,,,,,,011117999999
5201624,2017-11-03T11:00:00Z,25.9254,133.1176,26.25,0,,,,,,,011117999999
5201624,2017-11-03T12:00:00Z,25.9200,133.1150,,,26.25,0.5,311,15,-0.102,-0.113,011199171111
5201624,2017-11-03T12:00:00Z,25.9196,133.1146,26.25,0,,,,,,,011117999999
5201624,2017-11-03T13:00:00Z,25.9140,133.1094,26.25,0,,,,,,,011117999999
5201624,2017-11-03T14:00:00Z,25.9086,133.1044,26.25,0,,,,,,,011117999999
5201624,2017-11-03T15:00:00Z,25.9060,133.1000,,,26.24,0.5,311,15,-0.162,-0.123,011199171111
5201624,2017-11-03T15:00:00Z,25.9060,133.1004,26.24,0,,,,,,,011117999999
5201624,2017-11-03T16:00:00Z,25.9038,133.0950,26.24,0,,,,,,,011117999999
5201624,2017-11-03T17:00:00Z,25.9012,133.0894,26.24,0,,,,,,,011117999999
5201624,2017-11-03T18:00:00Z,25.8960,133.0800,,,26.24,0.5,311,15,-0.287,-0.19,011199171111
5201624,2017-11-03T18:00:00Z,25.8960,133.0800,26.24,0,,,,,,,011117999999
