PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,0.9,30.152,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,5.2,29.748,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,9.9,29.684,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,15,29.676,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,20.2,29.67,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,26.9,29.575,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,31.1,27.472,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,34.5,26.507,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,40.5,26.178,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,45.6,25.558,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,50.8,24.846,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,59.9,23.746,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,70.2,23.096,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,80.3,22.356,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,89.8,21.855,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,100.1,21.567,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,110.6,21.327,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,119.8,21.082,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,130.2,20.942,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,139.8,20.797,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,150.4,20.629,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,159.9,20.331,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,170.5,19.861,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,180.7,19.416,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,191,19.154,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,200.6,18.889,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,220.1,18.426,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2902975,149966,2017-08-14T11:47:41Z,24.5350,132.2090,240.4,18.058,0011111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
