PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,0.3,30.36,34.635,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,5,30.363,34.635,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,9.8,30.362,34.636,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,15.5,30.338,34.633,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,20.5,30.199,34.643,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,25.6,30.089,34.651,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,30.9,29.809,34.635,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,35.3,27.555,34.647,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,41,27.007,34.669,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,45.9,26.538,34.712,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,50.6,26.364,34.7,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,60.5,25.236,34.771,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,70.4,24.033,34.86,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,80.7,23.35,34.928,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,90.3,22.81,34.97,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
2903193,162011,2017-08-13T11:53:40Z,26.5800,129.8410,100.2,22.087,34.963,00111111,PRES,Primary sampling: discrete [SBE41CP pumping for 19 seconds per measurements],1,1
