PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),DOX2 (micromole/kg),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,6.3,27.658,34.482,190.414,10,27.658,34.4802,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,10.3,27.916,34.481,190.461,14,27.916,34.4819,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,19.9,27.658,34.482,200.679,23.6,27.658,34.482,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,27.6,27.665,34.485,190.254,31.3,27.665,34.4851,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,40.5,27.656,34.515,190.372,44.2,27.656,34.5151,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,49.9,27.626,34.561,190.079,53.6,27.626,34.5611,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,60.4,27.616,34.573,189.566,64.1,27.616,34.5732,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,70.4,27.574,34.565,192.01,74.1,27.574,34.5714,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,80.1,25.705,34.817,189.566,83.8,25.705,34.8209,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
2901178,87523,2011-11-07T13:23:58Z,22.0340,124.6380,87.7,24.833,34.926,186.526,91.4,24.833,34.9293,001111111111,0069_87523_094,PRES,PRES_ADJUSTED = PRES - dP,dP = -3.7 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,18/10/2012 02:45:02,Primary sampling: discrete [],1,1,D
