PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,4.8,26.532,34.594,4.6,26.532,34.594,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,9.4,26.532,34.594,9.2,26.532,34.594,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,14.4,26.533,34.594,14.2,26.533,34.594,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,19.1,26.53,34.595,18.9,26.53,34.595,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,24.3,26.504,34.594,24.1,26.504,34.594,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,29.1,26.416,34.576,28.9,26.416,34.576,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,34.1,26.316,34.562,33.9,26.316,34.562,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,39.4,26.3,34.565,39.2,26.3,34.565,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,44.3,26.289,34.571,44.1,26.289,34.571,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
2901362,89707,2011-11-04T23:55:34Z,24.6180,128.8250,49.8,26.086,34.719,49.6,26.086,34.719,00111111111,3606,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.20 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,22/10/2018 23:00:36,Primary sampling: discrete [],1,1
