PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,0.9,25.664,,0.7,25.664,,00111129129,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,7.4,25.658,34.605,7.2,25.658,34.605,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,10.6,25.636,34.605,10.4,25.636,34.605,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,17.9,25.581,34.608,17.7,25.581,34.608,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,21.5,25.578,34.608,21.3,25.578,34.608,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,29.1,25.577,34.608,28.9,25.577,34.608,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,32.4,25.576,34.608,32.2,25.576,34.608,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,33.5,25.574,34.608,33.3,25.574,34.608,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,43.4,25.567,34.609,43.2,25.567,34.609,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,44.5,25.566,34.609,44.3,25.566,34.609,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,52,25.56,34.61,51.8,25.56,34.61,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,55.4,25.558,34.61,55.2,25.558,34.61,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,62.6,25.506,34.624,62.4,25.506,34.624,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,66,25.444,34.644,65.8,25.444,34.644,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,72.9,24.966,34.712,72.7,24.966,34.712,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,76.3,24.663,34.707,76.1,24.663,34.707,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,83.6,23.939,34.739,83.4,23.939,34.739,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,86.8,23.765,34.745,86.6,23.765,34.745,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,87.9,23.718,34.746,87.7,23.718,34.746,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,98,23.43,34.762,97.8,23.43,34.762,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,108.6,23.054,34.802,108.4,23.054,34.802,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,117.2,22.306,34.831,117,22.306,34.831,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,128.5,21.989,34.823,128.3,21.989,34.823,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,132.6,21.784,34.812,132.4,21.784,34.812,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,143.5,21.293,34.806,143.3,21.293,34.806,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,155,20.981,34.812,154.8,20.981,34.812,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,166.4,20.303,34.798,166.2,20.303,34.798,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,177.4,20.091,34.79,177.2,20.091,34.79,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,188.7,19.773,34.778,188.5,19.773,34.778,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,197.4,19.451,34.767,197.2,19.451,34.767,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,208.2,19.07,34.758,208,19.07,34.758,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,219.1,18.842,34.753,218.9,18.842,34.753,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,222.9,18.707,34.742,222.7,18.707,34.742,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,234.1,18.301,34.724,233.9,18.301,34.724,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,245.1,17.94,34.709,244.9,17.94,34.709,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,256,17.579,34.698,255.8,17.579,34.698,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,267.1,17.246,34.697,266.9,17.246,34.697,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,278.2,17.113,34.688,278,17.113,34.688,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,288.8,16.645,34.667,288.6,16.645,34.667,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,297.1,16.523,34.657,296.9,16.523,34.657,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,307.9,15.868,34.622,307.7,15.868,34.622,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,318.6,15.713,34.613,318.4,15.713,34.613,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,329.2,15.418,34.59,329,15.418,34.59,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,332.8,15.195,34.578,332.6,15.195,34.578,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,343.9,14.896,34.558,343.7,14.896,34.558,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,354.9,14.561,34.536,354.7,14.561,34.536,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,365.5,14.311,34.523,365.3,14.311,34.523,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,376.2,13.993,34.498,376,13.993,34.498,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,387.2,13.142,34.458,387,13.142,34.458,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,397.9,12.797,34.423,397.7,12.797,34.423,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,409.1,12.372,34.405,408.9,12.372,34.405,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,417.7,12.288,34.413,417.5,12.288,34.413,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,428.3,11.66,34.405,428.1,11.66,34.405,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,439.2,11.332,34.378,439,11.332,34.378,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,442.8,11.119,34.356,442.6,11.119,34.356,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,454.1,10.776,34.347,453.9,10.776,34.347,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,465.3,10.605,34.33,465.1,10.605,34.33,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,476,10.253,34.307,475.8,10.253,34.307,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,487.1,10.051,34.296,486.9,10.051,34.296,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
2901695,300034013024480,2011-11-04T06:55:44Z,27.5530,126.7330,498.1,9.607,34.278,497.9,9.607,34.278,00111111111,PRES,Primary sampling: discrete [spot sampling CTD data],2,1
