PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),QC
2900985,095349,2011-11-01T17:53:40Z,25.4180,125.9940,00111
2900985,095349,2011-11-01T18:53:25Z,25.4210,125.9870,00111
2900985,095349,2011-11-01T19:41:57Z,25.4200,125.9860,00111
2900985,095349,2011-11-01T21:20:36Z,25.4160,125.9690,00111
2900985,095349,2011-11-01T22:32:44Z,25.4130,125.9620,00111
2900985,095349,2011-11-01T23:10:19Z,25.4150,125.9530,00111
2900985,095349,2011-11-02T00:12:06Z,25.4200,125.9420,00111
2900985,095349,2011-11-02T00:38:01Z,25.4230,125.9260,00111
2900985,095349,2011-11-02T00:48:49Z,25.4230,125.9250,00111
2900985,095349,2011-11-02T02:17:48Z,25.4400,125.9040,00111
2900985,095349,2011-11-02T03:30:32Z,25.4560,125.8770,00111
2900985,095349,2011-11-02T04:32:27Z,25.4720,125.8740,00111
2900985,095349,2011-11-02T05:10:02Z,25.4900,125.8740,00111
2900985,095349,2011-11-02T06:11:57Z,25.5050,125.8730,00111
2900985,095349,2011-11-02T06:54:35Z,25.5150,125.8600,00111
2900985,095349,2011-11-02T08:35:40Z,25.5480,125.8830,00111
2900985,095349,2011-11-07T00:32:07Z,25.5490,125.8850,00111
2900985,095349,2011-11-07T00:35:17Z,25.5470,125.8780,00133
2900985,095349,2011-11-07T00:52:16Z,25.5460,125.8810,00111
2900985,095349,2011-11-07T02:15:13Z,25.5360,125.8810,00111
2900985,095349,2011-11-07T04:19:38Z,25.5130,125.8640,00111
2900985,095349,2011-11-07T05:15:39Z,25.5040,125.8520,00111
2900985,095349,2011-11-07T05:55:58Z,25.4970,125.8450,00111
2900985,095349,2011-11-07T06:34:08Z,25.4880,125.8460,00111
2900985,095349,2011-11-07T06:57:36Z,25.4790,125.8440,00111
2900985,095349,2011-11-07T08:09:45Z,25.4920,125.8280,00111
2900985,095349,2011-11-22T06:02:10Z,25.4130,125.8380,00111
2900985,095349,2011-11-22T07:10:25Z,25.4050,125.8110,00111
2900985,095349,2011-11-22T08:48:37Z,25.4110,125.8020,00111
2900985,095349,2011-11-26T17:46:19Z,25.3850,125.8670,00111
2900985,095349,2011-11-26T18:29:57Z,25.3700,125.8720,00111
2900985,095349,2011-11-26T19:25:32Z,25.3510,125.8530,00111
2900985,095349,2011-11-26T19:38:38Z,25.3550,125.8470,00111
2900985,095349,2011-11-26T21:16:34Z,25.3380,125.8050,00111
2900985,095349,2011-11-26T22:36:55Z,25.3330,125.7630,00111
2900985,095349,2011-11-26T23:23:00Z,25.3300,125.7460,00111
2900985,095349,2011-11-27T00:10:57Z,25.3290,125.7310,00111
2900985,095349,2011-11-27T00:22:36Z,25.3360,125.7260,00111
2900985,095349,2011-11-27T00:59:20Z,25.3240,125.7340,00111
2900985,095349,2011-11-27T02:00:32Z,25.3190,125.7150,00111
2900985,095349,2011-11-27T04:08:50Z,25.3110,125.6970,00111
2900985,095349,2011-11-27T05:04:08Z,25.3130,125.6940,00111
2900985,095349,2011-11-27T05:53:40Z,25.3110,125.6980,00111
2900985,095349,2011-11-27T06:50:50Z,25.3200,125.7040,00111
2900985,095349,2011-11-27T08:32:56Z,25.3240,125.7140,00111
2900985,095349,2011-12-01T19:19:03Z,25.3450,125.6850,00111
2900985,095349,2011-12-01T20:56:50Z,25.3570,125.6790,00111
2900985,095349,2011-12-01T23:06:17Z,25.3820,125.6620,00133
2900985,095349,2011-12-01T23:15:48Z,25.3820,125.6620,00111
2900985,095349,2011-12-02T00:18:52Z,25.3990,125.6590,00111
2900985,095349,2011-12-02T00:55:35Z,25.4040,125.6510,00111
2900985,095349,2011-12-02T01:56:47Z,25.4140,125.6520,00111
2900985,095349,2011-12-02T04:56:56Z,25.4650,125.6440,00111
2900985,095349,2011-12-02T05:50:21Z,25.4800,125.6600,00111
2900985,095349,2011-12-02T08:05:17Z,25.5020,125.6240,00111
2900985,095349,2011-12-06T22:16:19Z,25.5450,125.6180,00111
2900985,095349,2011-12-06T22:47:00Z,25.5680,125.6120,00111
2900985,095349,2011-12-06T23:56:24Z,25.5850,125.5990,00111
2900985,095349,2011-12-07T00:15:07Z,25.5960,125.5910,00111
2900985,095349,2011-12-07T00:24:29Z,25.5920,125.5960,00111
2900985,095349,2011-12-07T01:55:03Z,25.6180,125.5770,00111
2900985,095349,2011-12-07T04:04:31Z,25.6580,125.5620,00111
2900985,095349,2011-12-07T04:55:29Z,25.6770,125.5590,00111
2900985,095349,2011-12-07T05:43:26Z,25.7010,125.5530,00111
2900985,095349,2011-12-07T07:46:16Z,25.7430,125.5530,00111
2900985,095349,2011-12-11T20:09:19Z,25.8340,125.7200,00111
2900985,095349,2011-12-11T20:15:13Z,25.8300,125.7170,00111
2900985,095349,2011-12-11T22:27:50Z,25.8450,125.7190,00111
2900985,095349,2011-12-11T22:57:48Z,25.8490,125.7140,00111
2900985,095349,2011-12-12T00:08:04Z,25.8600,125.7240,00111
2900985,095349,2011-12-12T00:11:31Z,25.8610,125.7220,00111
2900985,095349,2011-12-12T00:37:18Z,25.8630,125.7280,00111
2900985,095349,2011-12-12T01:51:19Z,25.8710,125.7310,00111
2900985,095349,2011-12-12T04:52:19Z,25.8980,125.7620,00111
2900985,095349,2011-12-12T05:41:08Z,25.8970,125.7530,00111
2900985,095349,2011-12-12T06:37:09Z,25.9100,125.7620,00111
2900985,095349,2011-12-12T07:25:58Z,25.8980,125.7410,00133
2900985,095349,2011-12-12T07:31:18Z,25.9140,125.7460,00111
2900985,095349,2011-12-12T09:10:39Z,25.9130,125.7510,00111
2900985,095349,2011-12-12T09:43:03Z,25.9310,125.7690,00111
2900985,095349,2011-12-16T19:09:24Z,26.0320,125.8580,00111
2900985,095349,2011-12-16T19:53:54Z,26.0320,125.8660,00111
2900985,095349,2011-12-16T21:31:32Z,26.0430,125.8840,00111
2900985,095349,2011-12-16T22:12:17Z,26.0510,125.8910,00111
2900985,095349,2011-12-16T23:37:41Z,26.0600,125.9140,00111
2900985,095349,2011-12-16T23:49:47Z,26.0640,125.9100,00111
2900985,095349,2011-12-17T00:08:30Z,26.0680,125.9220,00111
2900985,095349,2011-12-17T01:19:38Z,26.0650,125.9330,00111
2900985,095349,2011-12-17T01:46:42Z,26.0830,125.9410,00111
2900985,095349,2011-12-17T03:56:10Z,26.0870,125.9600,00111
2900985,095349,2011-12-17T04:44:15Z,26.0990,125.9700,00111
2900985,095349,2011-12-17T05:37:49Z,26.1030,125.9700,00111
2900985,095349,2011-12-17T06:33:16Z,26.1120,125.9770,00111
2900985,095349,2011-12-17T07:06:32Z,26.1130,125.9810,00111
2900985,095349,2011-12-17T08:49:03Z,26.1320,126.0040,00111
2900985,095349,2011-12-21T19:33:27Z,26.2580,126.0480,00111
2900985,095349,2011-12-21T21:12:49Z,26.2700,126.0490,00111
2900985,095349,2011-12-21T21:53:08Z,26.2750,126.0490,00111
2900985,095349,2011-12-21T22:38:30Z,26.2770,126.0470,00111
2900985,095349,2011-12-21T23:32:56Z,26.2860,126.0570,00111
2900985,095349,2011-12-22T00:04:28Z,26.2940,126.0480,00111
2900985,095349,2011-12-22T00:18:35Z,26.2950,126.0460,00111
2900985,095349,2011-12-22T01:14:01Z,26.3110,126.0410,00111
2900985,095349,2011-12-22T01:44:07Z,26.3100,126.0430,00111
2900985,095349,2011-12-22T03:08:38Z,26.3200,126.0350,00111
2900985,095349,2011-12-22T05:31:21Z,26.3580,126.0260,00111
2900985,095349,2011-12-22T06:47:05Z,26.3760,126.0240,00111
2900985,095349,2011-12-22T08:22:51Z,26.3970,126.0450,00111
2900985,095349,2011-12-26T23:15:13Z,26.4730,126.1570,00111
2900985,095349,2011-12-26T23:18:06Z,26.4720,126.1580,00111
2900985,095349,2011-12-27T00:03:36Z,26.4770,126.1560,00111
2900985,095349,2011-12-27T00:52:25Z,26.4810,126.1580,00111
2900985,095349,2011-12-27T01:40:48Z,26.4880,126.1590,00111
2900985,095349,2011-12-27T03:51:42Z,26.5160,126.1600,00111
2900985,095349,2011-12-27T04:42:14Z,26.5270,126.1650,00111
2900985,095349,2011-12-27T06:18:17Z,26.5580,126.1800,00111
2900985,095349,2011-12-27T06:26:56Z,26.5610,126.1720,00111
2900985,095349,2011-12-27T08:07:18Z,26.5920,126.1980,00111
2900985,095349,2011-12-31T22:19:47Z,26.6880,126.2880,00111
2900985,095349,2011-12-31T23:56:50Z,26.7020,126.2970,00111
2900985,095349,2012-01-01T00:05:54Z,26.7020,126.2980,00111
2900985,095349,2012-01-01T00:37:00Z,26.7050,126.3020,00111
2900985,095349,2012-01-01T01:37:55Z,26.7190,126.3090,00111
2900985,095349,2012-01-01T03:03:19Z,26.7370,126.3280,00111
