PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
21892,2011-11-01T00:00:00Z,17.6650,128.3650,0,-9.2,-1.8,-0.15,-0.03,35.12,0.5,211,15,-0.412,-0.067,011171111171111
21892,2011-11-01T00:20:00Z,17.6730,128.3730,0,,,,,,,,,,,011179999999999
21892,2011-11-01T01:20:00Z,17.6630,128.3610,0,,,,,,,,,,,011179999999999
21892,2011-11-01T02:20:00Z,17.6630,128.3610,0,,,,,,,,,,,011179999999999
21892,2011-11-01T03:00:00Z,17.6690,128.3130,0,-9.8,-2.2,-0.15,-0.03,35.22,0.5,211,15,-0.466,0.165,011171111171111
21892,2011-11-01T03:20:00Z,17.6710,128.3180,0,,,,,,,,,,,011179999999999
21892,2011-11-01T04:20:00Z,17.6680,128.3140,0,,,,,,,,,,,011179999999999
21892,2011-11-01T05:20:00Z,17.6750,128.2940,0,,,,,,,,,,,011179999999999
21892,2011-11-01T06:00:00Z,17.6970,128.2700,0,-8.7,-0.9,-0.13,-0.01,35.25,0.5,211,15,-0.382,0.226,011171111171111
21892,2011-11-01T06:20:00Z,17.6820,128.2860,0,,,,,,,,,,,011179999999999
21892,2011-11-01T07:20:00Z,17.6970,128.2690,0,,,,,,,,,,,011179999999999
21892,2011-11-01T08:20:00Z,17.6970,128.2690,0,,,,,,,,,,,011179999999999
21892,2011-11-01T09:00:00Z,17.7130,128.2350,0,-9.4,0,-0.13,0,35.23,0.5,211,15,-0.294,0.154,011171111171111
21892,2011-11-01T10:20:00Z,17.7140,128.2340,0,,,,,,,,,,,011179999999999
21892,2011-11-01T11:20:00Z,17.7190,128.2200,0,,,,,,,,,,,011179999999999
21892,2011-11-01T12:00:00Z,17.7270,128.2100,0,-9.2,-2.9,-0.12,-0.01,35.24,0.5,211,15,-0.24,0.149,011171111171111
21892,2011-11-01T12:20:00Z,17.7270,128.2110,0,,,,,,,,,,,011179999999999
21892,2011-11-01T15:00:00Z,17.7420,128.1860,0,-10,-0.7,-0.15,-0.03,35.27,0.5,211,15,-0.191,0.134,011171111171111
21892,2011-11-01T15:20:00Z,17.7470,128.1780,0,,,,,,,,,,,011179999999999
21892,2011-11-01T16:20:00Z,17.7470,128.1870,0,,,,,,,,,,,011179999999999
21892,2011-11-01T17:20:00Z,17.7520,128.1790,0,,,,,,,,,,,011179999999999
21892,2011-11-01T17:50:00Z,17.7530,128.1770,0,,,,,,,,,,,011179999999999
21892,2011-11-01T18:00:00Z,17.7530,128.1710,0,-9.9,-1.1,-0.17,-0.01,,,211,15,-0.162,0.026,011171111991111
21892,2011-11-01T18:20:00Z,17.7530,128.1770,0,,,,,,,,,,,011179999999999
21892,2011-11-01T19:20:00Z,17.7520,128.1630,0,,,,,,,,,,,011179999999999
21892,2011-11-01T20:20:00Z,17.7520,128.1630,0,,,,,,,,,,,011179999999999
21892,2011-11-01T21:00:00Z,17.7470,128.1530,0,-10.2,0.3,-0.17,0,,,211,15,-0.314,-0.077,011171111991111
21892,2011-11-01T21:20:00Z,17.7470,128.1540,0,,,,,,,,,,,011179999999999
21892,2011-11-01T22:20:00Z,17.7430,128.1340,0,,,,,,,,,,,011179999999999
21892,2011-11-01T23:20:00Z,17.7450,128.1310,0,,,,,,,,,,,011179999999999
21892,2011-11-02T00:00:00Z,17.7380,128.1070,0,-9.6,-0.3,-0.16,-0.01,,,211,15,-0.534,0.015,011171111991111
21892,2011-11-02T00:20:00Z,17.7380,128.1080,0,,,,,,,,,,,011179999999999
21892,2011-11-02T01:20:00Z,17.7380,128.0950,0,,,,,,,,,,,011179999999999
21892,2011-11-02T02:20:00Z,17.7380,128.0950,0,,,,,,,,,,,011179999999999
21892,2011-11-02T03:00:00Z,17.7500,128.0440,0,-9.9,-0.6,-0.16,-0.01,,,211,15,-0.593,0.247,011171111991111
21892,2011-11-02T03:20:00Z,17.7490,128.0450,0,,,,,,,,,,,011179999999999
21892,2011-11-02T04:20:00Z,17.7490,128.0450,0,,,,,,,,,,,011179999999999
21892,2011-11-02T05:20:00Z,17.7700,128.0100,0,,,,,,,,,,,011179999999999
21892,2011-11-02T06:00:00Z,17.7860,127.9860,0,-9.9,0.9,-0.15,0,,,211,15,-0.441,0.262,011171111991111
21892,2011-11-02T06:20:00Z,17.7860,127.9840,0,,,,,,,,,,,011179999999999
21892,2011-11-02T07:20:00Z,17.7850,127.9830,0,,,,,,,,,,,011179999999999
21892,2011-11-02T08:20:00Z,17.7960,127.9550,0,,,,,,,,,,,011179999999999
21892,2011-11-02T09:00:00Z,17.8010,127.9540,0,-9.2,-0.6,-0.13,-0.01,,,211,15,-0.343,0.159,011171111991111
21892,2011-11-02T09:20:00Z,17.8020,127.9560,0,,,,,,,,,,,011179999999999
21892,2011-11-02T10:20:00Z,17.8080,127.9420,0,,,,,,,,,,,011179999999999
21892,2011-11-02T11:20:00Z,17.8080,127.9420,0,,,,,,,,,,,011179999999999
21892,2011-11-02T12:00:00Z,17.8170,127.9160,0,-9.9,-0.3,-0.13,-0.01,,,211,15,-0.304,0.139,011171111991111
21892,2011-11-02T12:20:00Z,17.8170,127.9290,0,,,,,,,,,,,011179999999999
21892,2011-11-02T13:20:00Z,17.8170,127.9040,0,,,,,,,,,,,011179999999999
21892,2011-11-02T14:20:00Z,17.8170,127.9040,0,,,,,,,,,,,011179999999999
21892,2011-11-02T15:00:00Z,17.8280,127.8920,0,-10.1,0.6,-0.16,0.01,,,211,15,-0.343,0.159,011171111991111
21892,2011-11-02T15:20:00Z,17.8350,127.8840,0,,,,,,,,,,,011179999999999
21892,2011-11-02T16:20:00Z,17.8350,127.8840,0,,,,,,,,,,,011179999999999
21892,2011-11-02T17:20:00Z,17.8370,127.8670,0,,,,,,,,,,,011179999999999
21892,2011-11-02T18:00:00Z,17.8480,127.8460,0,-9.3,0.6,-0.14,0,,,211,15,-0.387,0.18,011171111991111
21892,2011-11-02T18:20:00Z,17.8480,127.8440,0,,,,,,,,,,,011179999999999
21892,2011-11-02T19:20:00Z,17.8480,127.8440,0,,,,,,,,,,,011179999999999
21892,2011-11-02T20:20:00Z,17.8600,127.8230,0,,,,,,,,,,,011179999999999
21892,2011-11-02T21:00:00Z,17.8630,127.8130,0,-8.4,-1.2,-0.13,-0.01,,,211,15,-0.362,0.149,011171111991111
