PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
52602,2012-01-17T11:27:00Z,17.5200,123.0720,0,,,,,,,,,0111799999999
52602,2012-01-17T12:00:00Z,17.5400,123.0580,0,-7.3,-2.9,-0.1,-0.04,313,15,-0.137,0.576,0111711111111
52602,2012-01-17T12:08:00Z,17.5200,123.0720,0,,,,,,,,,0111799999999
52602,2012-01-17T12:17:00Z,17.5400,123.0560,0,,,,,,,,,0144799999999
52602,2012-01-17T12:25:00Z,17.5400,123.0560,0,,,,,,,,,0111799999999
52602,2012-01-17T13:09:00Z,17.5400,123.0560,0,,,,,,,,,0111799999999
52602,2012-01-17T14:05:00Z,17.5780,123.0470,0,,,,,,,,,0111799999999
52602,2012-01-17T15:00:00Z,17.5930,123.0460,0,-7.2,-4.1,-0.1,-0.05,313,15,-0.088,0.53,0111711111111
52602,2012-01-17T16:11:00Z,17.5780,123.0470,0,,,,,,,,,0111799999999
52602,2012-01-17T17:49:00Z,17.6090,123.0450,0,,,,,,,,,0111799999999
52602,2012-01-17T17:52:00Z,17.6340,123.0430,0,,,,,,,,,0144799999999
52602,2012-01-17T18:00:00Z,17.6430,123.0400,0,-7.1,-3.7,-0.1,-0.06,313,15,-0.02,0.514,0111711111111
52602,2012-01-17T18:26:00Z,17.6430,123.0390,0,,,,,,,,,0111799999999
52602,2012-01-17T20:10:00Z,17.6430,123.0390,0,,,,,,,,,0111799999999
52602,2012-01-17T20:24:00Z,17.6780,123.0440,0,,,,,,,,,0144799999999
52602,2012-01-17T20:27:00Z,17.6790,123.0420,0,,,,,,,,,0111799999999
52602,2012-01-17T21:00:00Z,17.6930,123.0420,0,-7.7,-3,-0.1,-0.04,313,15,0.088,0.556,0111711111111
52602,2012-01-17T22:04:00Z,17.7110,123.0400,0,,,,,,,,,0111799999999
52602,2012-01-17T22:19:00Z,17.7110,123.0400,0,,,,,,,,,0111799999999
52602,2012-01-17T23:00:00Z,17.7280,123.0540,0,,,,,,,,,0111799999999
52602,2012-01-17T23:06:00Z,17.7260,123.0570,0,,,,,,,,,0111799999999
