PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),PSAL (psu),QC
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,4,25.44,34.51,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,10,25.44,34.55,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,20,25.45,34.57,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,30,25.43,34.58,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,50,25.34,34.6,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,75,24.53,34.66,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,100,23.04,34.74,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,125,21.81,34.75,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,150,20.98,34.75,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,200,19.64,34.74,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,250,18.35,34.71,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,300,17.08,34.65,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,400,14.77,34.53,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,500,11.63,34.36,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,600,8.67,34.29,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,700,6.73,34.31,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,800,5.33,34.36,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,900,4.9,34.38,0111111
JLPT,2011-11-01T01:59:00Z,28.2460,128.4180,1000,4.67,34.39,0111111
