PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),PSAL (psu),QC
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,4,24.11,34.23,0111111
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,79,24.09,34.23,0111111
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,89,19.84,34.37,0111111
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,96,19.31,34.38,0111111
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,100,18.98,34.44,0111111
JPBN,2011-11-16T01:01:00Z,28.7010,126.4480,121,18.67,34.48,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,3,24.31,34.27,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,67,24.31,34.27,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,69,24.05,34.28,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,74,20.48,34.48,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,79,19.42,34.52,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,100,18.74,34.51,0111111
JPBN,2011-11-16T02:31:00Z,28.6360,126.5660,132,18.02,34.53,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,2,24.54,34.29,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,21,24.56,34.3,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,38,24.34,34.25,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,86,24.16,34.25,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,93,19.42,34.46,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,100,18.78,34.49,0111111
JPBN,2011-11-16T04:03:00Z,28.5550,126.6840,147,18.35,34.54,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,2,25.56,34.39,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,58,25.34,34.39,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,65,24.84,34.3,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,79,24.16,34.3,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,85,22.29,34.36,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,96,20.75,34.48,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,100,19.72,34.54,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,112,18.64,34.54,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,150,18.44,34.55,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,166,17.23,34.54,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,189,16.91,34.54,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,193,16.68,34.53,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,198,14.39,34.51,0111111
JPBN,2011-11-16T05:31:00Z,28.4860,126.7980,204,13.46,34.48,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,4,25.76,34.35,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,69,25.72,34.36,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,75,25.34,34.43,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,85,24.9,34.46,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,93,24.3,34.61,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,100,23.86,34.66,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,122,22.51,34.68,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,126,22.07,34.62,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,140,20.8,34.63,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,163,18.81,34.51,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,167,18.61,34.49,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,200,18.25,34.51,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,204,17.53,34.51,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,211,14.62,34.48,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,221,12.87,34.45,0111111
JPBN,2011-11-16T07:00:00Z,28.4060,126.8990,267,11.83,34.4,0111111
JPBN,2011-11-16T08:51:00Z,28.3410,127.0160,6,25.91,34.47,0111111
JPBN,2011-11-16T08:51:00Z,28.3410,127.0160,93,25.92,34.46,0111111
JPBN,2011-11-16T08:51:00Z,28.3410,127.0160,100,23.89,34.54,0111111
JPBN,2011-11-16T08:51:00Z,28.3410,127.0160,106,22.56,34.35,0111111
JPBN,2011-11-16T08:51:00Z,28.3410,127.0160,128,21.11,34.49,0111111
