PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,BATHY,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,BATHY_QC,STATION_PARAMETERS,STATION_GLOBAL_QC,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,5.1,23.208,34.637,4.2,23.208,34.637,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,9.3,23.207,34.637,8.4,23.207,34.637,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,19.3,23.205,34.637,18.4,23.205,34.637,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,29.3,23.2,34.637,28.4,23.2,34.637,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,39,23.201,34.637,38.1,23.201,34.637,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,49.2,23.198,34.638,48.3,23.198,34.638,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,59.2,23.194,34.638,58.3,23.194,34.638,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,69.5,23.172,34.639,68.6,23.172,34.639,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,79.3,23.167,34.639,78.4,23.167,34.639,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,89.4,22.804,34.745,88.5,22.804,34.745,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,99.2,22.453,34.8,98.3,22.453,34.8,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,109.3,22.021,,108.4,22.021,,00111119119,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,119.3,22.192,,118.4,22.192,,00111119119,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,136,20.578,,135.1,20.578,,00111119119,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,,19.775,34.859,,19.775,34.859,00111911911,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,179.5,18.864,34.849,178.6,18.864,34.849,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,199.5,18.516,34.838,198.6,18.516,34.838,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,224.5,17.942,34.815,223.6,17.942,34.815,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,249.3,17.184,34.777,248.4,17.184,34.777,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,273.9,16.686,34.743,273,16.686,34.743,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,299.4,16.111,34.701,298.5,16.111,34.701,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,324.4,14.999,34.617,323.5,14.999,34.617,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,349.1,14.437,34.576,348.2,14.437,34.576,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,374.1,13.711,34.525,373.2,13.711,34.525,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,398.8,13.233,34.49,397.9,13.233,34.49,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,449.6,11.996,34.411,448.7,11.996,34.411,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
2900380,47630,2009-01-05T02:29:16Z,22.8830,124.5850,499.5,10.75,34.335,498.6,10.75,34.335,00111111111,1590, ,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.90 dbar,Pressure adjusted at real time based on most recent valid surface pressure,9,PRES,4,17/10/2018 13:28:06,Primary sampling: discrete [],1,1
