PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,9.5,25.206,34.501,25.206,34.501,9.5,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,19.5,25.206,34.502,25.206,34.502,19.5,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,29.4,25.207,34.503,25.207,34.503,29.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,39.2,25.209,34.501,25.209,34.501,39.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,48.6,25.208,34.502,25.208,34.502,48.6,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,59,25.211,34.5,25.211,34.5,59,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,69.3,25.211,34.5,25.211,34.5,69.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,78.8,25.212,34.501,25.212,34.501,78.8,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,88.7,25.214,34.502,25.214,34.502,88.7,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,98.7,25.214,34.506,25.214,34.506,98.7,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
