PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,4.7,24.62,34.315,4.7,24.62,34.315,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,9.1,24.622,34.316,9.1,24.622,34.316,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,19,24.626,34.317,19,24.626,34.317,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,29.2,24.628,34.317,29.2,24.628,34.317,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,39.3,24.621,34.315,39.3,24.621,34.315,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,49.5,24.622,34.315,49.5,24.622,34.315,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,59.2,24.62,34.314,59.2,24.62,34.314,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,69.2,24.617,34.315,69.2,24.617,34.315,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,79.3,24.617,34.314,79.3,24.617,34.3141,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,89.4,24.599,34.313,89.4,24.599,34.3131,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
2901170,80612,2009-01-04T19:19:27Z,20.0720,120.2880,99.4,24.566,34.308,99.4,24.566,34.3088,00111111111,0061_80612_030,PRES,PRES_ADJUSTED = PRES - [PRES_SurfaceOffsetTruncatedPlus5dbar_dbar - 5],PRES_SurfaceOffsetTruncatedPlus5dbar_dbar in TECH file for N-1 profile,Pressures adjusted using PRES_SurfaceOffsetTruncatedPlus5dbar_dbar; Pressure drift corrected; Manufacturers sensor accuracy,PRES,23/03/2020 03:13:47,Primary sampling: discrete,1,1,D
