PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,STATION_NUMBER
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,1,,011119,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,2,,011119,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,3,,011119,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,4,,011119,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,5,25.1415,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,6,25.137,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,7,25.1325,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,8,25.155,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,9,25.121,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,10,25.105,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,11,25.091,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,12,25.077,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,13,25.0685,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,14,25.059,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,15,25.0295,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,16,24.995,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,17,24.9815,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,18,24.972,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,19,24.9765,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,20,24.959,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,21,24.9565,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,22,24.927,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,23,24.927,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,24,24.922,011111,13098775
