PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),DEPH LEVEL9 (meter),DEPH LEVEL10 (meter),QC
41910,2009-01-03T00:00:00Z,23.0880,126.9070,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41910,2009-01-03T00:15:00Z,23.0880,126.9070,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41910,2009-01-03T00:30:00Z,23.0880,126.9070,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41910,2009-01-03T00:44:00Z,23.0880,126.9070,24.1,,,,,,24.1,0,24.1,,16,,,24.2,25,24.2,41,,58,24.1,66,91,,,,,011119999911191991111911119999
41910,2009-01-03T00:45:00Z,23.0880,126.9070,24,0,,,,,,,,,,,,,,,,,,,,,,,,,011117999999999999999999999999
41910,2009-01-03T00:59:00Z,23.0880,126.9070,24.1,,,,,,24.1,0,24.1,,16,,,24.2,25,24.2,41,,58,24.1,66,91,,,,,011119999911191991111911119999
41910,2009-01-03T01:00:00Z,23.1200,126.9370,,0,,,,,,,,,,,,,,,,,,,,,,,,,014497999999999999999999999999
41910,2009-01-03T01:14:00Z,23.0880,126.9070,24,,,,,,24,0,24.1,,16,,,24.2,25,24.2,41,,58,24.1,66,91,,,,,014419999911191991111911119999
41910,2009-01-03T01:15:00Z,23.1200,126.9370,,0,,,,,,,,,,,,,,,,,,,,,,,,,014497999999999999999999999999
41910,2009-01-03T01:29:00Z,23.1200,126.9370,24.1,,,,,,24.1,0,24.2,,16,,,24.2,26,24.2,41,,58,24.1,67,92,,,,,011119999911191991111911119999
41910,2009-01-03T01:30:00Z,23.1200,126.9370,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
