PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),TEMP LEVEL10 (degree_Celsius),DEPH LEVEL10 (meter),TEMP LEVEL11 (degree_Celsius),DEPH LEVEL11 (meter),TEMP LEVEL12 (degree_Celsius),DEPH LEVEL12 (meter),TEMP LEVEL13 (degree_Celsius),DEPH LEVEL13 (meter),TEMP LEVEL14 (degree_Celsius),DEPH LEVEL14 (meter),TEMP LEVEL15 (degree_Celsius),DEPH LEVEL15 (meter),TEMP LEVEL16 (degree_Celsius),DEPH LEVEL16 (meter),QC
41921,2009-01-03T00:20:00Z,23.8550,122.5810,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T00:35:00Z,23.8550,122.5810,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T00:50:00Z,23.8550,122.5810,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T01:05:00Z,23.8550,122.5810,24.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01111799999999999999999999999999999999
41921,2009-01-03T01:19:00Z,23.9070,122.6150,,,25,15,25,16,25,32,23.9,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,,,01449911111111111111111199999999999999
41921,2009-01-03T01:20:00Z,23.9070,122.6150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T01:34:00Z,23.9070,122.6150,,,25,15,25,16,25,32,24.6,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,,,01119911111111111111111199999999999999
41921,2009-01-03T01:49:00Z,23.9190,122.6140,24.9,,24.9,0,25,15,25,16,25,32,24.8,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,01441911111111111111111111999999999999
41921,2009-01-03T02:20:00Z,23.9070,122.6150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T02:35:00Z,23.9070,122.6150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T02:50:00Z,23.9070,122.6150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T03:05:00Z,23.9070,122.6150,24.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01111799999999999999999999999999999999
41921,2009-01-03T03:19:00Z,23.9190,122.6140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01449799999999999999999999999999999999
41921,2009-01-03T03:20:00Z,23.9190,122.6140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T03:35:00Z,23.9190,122.6140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T03:50:00Z,23.9190,122.6140,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T04:05:00Z,23.9190,122.6140,24.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01111799999999999999999999999999999999
41921,2009-01-03T04:20:00Z,23.9190,122.6140,,,25,15,25,16,25,32,23.9,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,,,01119911111111111111111199999999999999
41921,2009-01-03T04:35:00Z,23.9190,122.6140,,,25,15,25,16,25,32,23.6,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,,,01119911111111111111111199999999999999
41921,2009-01-03T04:50:00Z,23.9190,122.6140,24.9,,24.9,0,25,15,25,16,25,32,22.6,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,01111911111111111111111111999999999999
41921,2009-01-03T05:05:00Z,23.9780,122.6420,24.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01441799999999999999999999999999999999
41921,2009-01-03T05:20:00Z,23.9780,122.6420,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T05:35:00Z,23.9780,122.6420,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T05:50:00Z,23.9780,122.6420,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T06:05:00Z,23.9780,122.6420,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01111799999999999999999999999999999999
41921,2009-01-03T06:20:00Z,23.9780,122.6420,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T06:35:00Z,23.9780,122.6420,,,25.2,15,25.1,31,22.8,40,25,46,25,61,24.9,64,23.8,74,25,89,,,,,,,,,,,,,,,,,01119911111111111111119999999999999999
41921,2009-01-03T06:50:00Z,23.9780,122.6420,,,25.2,15,25.1,31,22.8,40,25,46,25,61,24.9,64,23.8,74,25,89,,,,,,,,,,,,,,,,,01119911111111111111119999999999999999
41921,2009-01-03T07:05:00Z,23.9780,122.6420,25.1,,25.1,0,25.1,15,25.1,31,23.3,40,25,46,25,61,24.9,64,23.8,74,25,89,,,,,,,,,,,,,,,01111911111111111111111199999999999999
41921,2009-01-03T07:19:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01449799999999999999999999999999999999
41921,2009-01-03T07:20:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T08:19:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T08:20:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T08:34:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T08:35:00Z,24.0220,122.6840,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T08:50:00Z,24.0220,122.6840,,,25,15,24.9,16,25,32,23.7,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,,,01119911111111111111111199999999999999
41921,2009-01-03T09:05:00Z,24.0220,122.6840,24.8,,24.84,0,24.9,15,25,16,25,32,23.8,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,01111911111111111111111111999999999999
41921,2009-01-03T09:20:00Z,24.0220,122.6840,25,,25,0,24.9,15,25,16,25,32,23.9,41,24.9,47,25,62,24.9,66,23.8,76,25,91,,,,,,,,,,,,,01111911111111111111111111999999999999
41921,2009-01-03T10:20:00Z,24.0430,122.7080,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T10:35:00Z,24.0430,122.7080,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
41921,2009-01-03T10:50:00Z,24.0430,122.7080,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01119799999999999999999999999999999999
