PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,4,24.6,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,36,24.9,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,42,24.2,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,53,24,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,93,24.2,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,113,24.1,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,142,24.1,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,165,23.3,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,174,23.3,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,184,22.9,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,191,22.8,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,197,22.3,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,240,20.2,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,243,19.9,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,252,19.9,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,264,19.5,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,293,18.8,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,326,17.4,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,336,17.3,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,375,16,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,392,15.7,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,408,14.7,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,469,12.9,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,483,12.2,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,485,12.1,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,528,10.6,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,534,10.4,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,549,9.5,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,582,8.5,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,664,6.8,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,715,6.1,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,725,6.1,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,768,5.2,011111, ,9,1
ONDB,2009-01-03T15:00:00Z,20.0130,125.1200,850,4.5,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,4,25.2,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,13,25,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,18,25.2,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,24,25,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,30,25.1,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,36,24.9,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,44,25.2,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,50,24.9,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,57,25.1,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,80,25,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,84,25.2,011111, ,9,1
ONDB,2009-01-03T18:54:00Z,19.0330,125.2500,92,24.9,011111, ,9,1
