PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,2,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,4,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,6,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,8,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,10,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,12,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,14,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,16,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,18,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,20,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,22,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,24,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,26,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,28,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,30,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,32,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,34,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,36,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,38,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,40,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,42,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,44,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,46,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,48,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,50,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,52,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,54,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,56,26.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,58,26.1,011111, ,9,1
