PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,4.7,26.885,34.463,4.7,26.885,34.463,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,9.6,26.885,34.463,9.6,26.885,34.463,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,19.3,26.885,34.463,19.3,26.885,34.463,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,29.5,26.891,34.462,29.5,26.891,34.462,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,39.2,26.894,34.462,39.2,26.894,34.4621,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,49.1,26.889,34.461,49.1,26.889,34.461,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,59.2,26.896,34.461,59.2,26.896,34.4611,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,69.5,26.893,34.46,69.5,26.893,34.4603,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,79.6,26.798,34.466,79.6,26.798,34.4685,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,89.3,26.075,34.784,89.3,26.075,34.7865,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
