PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),VGHS LEVEL0 (meter),VGTA LEVEL0 (second),QC
21640,2008-12-23T06:00:00Z,19.6420,123.0110,26,0,4.5,10,01111711
21640,2008-12-23T07:00:00Z,19.6390,122.9860,26,0,4.3,9,01111711
21640,2008-12-23T08:00:00Z,19.6370,122.9590,26,0,4.4,10,01111711
21640,2008-12-23T09:00:00Z,19.6360,122.9340,25.9,0,4.4,9,01111711
21640,2008-12-23T10:00:00Z,19.6350,122.9110,25.9,0,4.1,9,01111711
21640,2008-12-23T11:00:00Z,19.6370,122.8860,25.9,0,4.8,9,01111711
21640,2008-12-23T12:00:00Z,19.6380,122.8630,25.8,0,4.2,9,01111711
21640,2008-12-23T13:00:00Z,19.6390,122.8430,25.9,0,4.2,9,01111711
21640,2008-12-23T15:00:00Z,19.6390,122.8120,26.2,0,3.3,9,01111711
21640,2008-12-23T16:00:00Z,19.6420,122.8000,26.4,0,3.8,9,01111711
21640,2008-12-23T17:00:00Z,19.6450,122.7890,26.5,0,4,9,01111711
21640,2008-12-23T18:00:00Z,19.6490,122.7800,26.6,0,3.5,9,01111711
21640,2008-12-23T19:00:00Z,19.6530,122.7720,26.6,0,3.9,8,01111711
21640,2008-12-23T20:00:00Z,19.6590,122.7660,26.6,0,3.7,8,01111711
21640,2008-12-23T21:00:00Z,19.6620,122.7620,26.7,0,3.3,8,01111711
21640,2008-12-23T22:00:00Z,19.6630,122.7580,26.7,0,3.4,9,01111711
21640,2008-12-23T23:00:00Z,19.6610,122.7560,26.8,0,3.2,8,01111711
21640,2008-12-24T00:00:00Z,19.6580,122.7530,26.8,0,3.3,8,01111711
21640,2008-12-24T01:00:00Z,19.6510,122.7440,26.8,0,3.5,9,01111711
21640,2008-12-24T02:00:00Z,19.6440,122.7270,26.8,0,3.5,9,01111711
21640,2008-12-24T03:00:00Z,19.6360,122.7060,26.8,0,2.9,8,01111711
21640,2008-12-24T04:00:00Z,19.6300,122.6820,26.8,0,3.1,9,01111711
21640,2008-12-24T05:00:00Z,19.6280,122.6550,26.8,0,2.8,8,01111711
21640,2008-12-24T06:00:00Z,19.6290,122.6290,26.8,0,3,8,01111711
21640,2008-12-24T07:00:00Z,19.6340,122.6040,26.8,0,2.9,8,01111711
21640,2008-12-24T08:00:00Z,19.6470,122.5740,26.8,0,2.6,8,01111711
21640,2008-12-24T09:00:00Z,19.6590,122.5470,26.8,0,3,8,01111711
21640,2008-12-24T10:00:00Z,19.6750,122.5220,26.8,0,2.9,8,01111711
21640,2008-12-24T11:00:00Z,19.6890,122.4990,26.7,0,2.7,7,01111711
21640,2008-12-24T12:00:00Z,19.7010,122.4780,26.7,0,2.8,8,01111711
21640,2008-12-24T13:00:00Z,19.7130,122.4560,26.7,0,2.8,8,01111711
21640,2008-12-24T14:00:00Z,19.7210,122.4350,26.7,0,2.7,8,01111711
21640,2008-12-24T15:00:00Z,19.7310,122.4140,26.7,0,2.5,7,01111711
21640,2008-12-24T16:00:00Z,19.7410,122.3940,26.7,0,2.4,7,01111711
21640,2008-12-24T17:00:00Z,19.7520,122.3760,26.7,0,2.5,8,01111711
21640,2008-12-24T18:00:00Z,19.7620,122.3610,26.7,0,2.3,8,01111711
21640,2008-12-24T19:00:00Z,19.7720,122.3470,26.7,0,2.3,8,01111711
21640,2008-12-24T20:00:00Z,19.7810,122.3330,26.7,0,2.2,8,01111711
21640,2008-12-24T21:00:00Z,19.7920,122.3230,26.7,0,2.4,8,01111711
21640,2008-12-24T22:00:00Z,19.8030,122.3130,26.7,0,2.3,8,01111711
21640,2008-12-24T23:00:00Z,19.8120,122.2990,26.7,0,2.2,8,01111711
21640,2008-12-25T00:00:00Z,19.8240,122.2820,26.7,0,2.2,8,01111711
