PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),QC
22540,2008-12-20T00:00:00Z,21.0140,120.8990,,0,-10.5,-1.2,-0.22,-0.05,211,15,-0.241,0.652,01119711111111
22540,2008-12-20T00:05:00Z,20.9670,120.9290,,0,,,,,,,,,01119799999999
22540,2008-12-20T00:08:00Z,20.9670,120.9290,24.8,0,,,,,,,,,01111799999999
22540,2008-12-20T01:45:00Z,20.9670,120.9290,25,0,,,,,,,,,01111799999999
22540,2008-12-20T01:50:00Z,20.9670,120.9290,,0,,,,,,,,,01119799999999
22540,2008-12-20T01:51:00Z,20.9670,120.9290,,0,,,,,,,,,01119799999999
22540,2008-12-20T03:00:00Z,21.0830,120.8790,,0,-9.9,-3.3,-0.19,-0.06,211,15,-0.163,0.681,01119711111111
22540,2008-12-20T03:23:00Z,21.1100,120.8760,,0,,,,,,,,,01449799999999
22540,2008-12-20T04:06:00Z,21.0520,120.8810,25.1,0,,,,,,,,,01441799999999
22540,2008-12-20T04:15:00Z,21.1100,120.8760,25.1,0,,,,,,,,,01441799999999
22540,2008-12-20T05:47:00Z,21.1100,120.8760,,0,,,,,,,,,01119799999999
22540,2008-12-20T05:56:00Z,21.1430,120.8660,25.1,0,,,,,,,,,01441799999999
22540,2008-12-20T06:00:00Z,21.1460,120.8650,,0,-9.3,-3.5,-0.2,-0.06,211,15,-0.082,0.606,01119711111111
22540,2008-12-20T07:54:00Z,21.1430,120.8660,25,0,,,,,,,,,01111799999999
22540,2008-12-20T08:54:00Z,21.1800,120.8520,25,0,,,,,,,,,01111799999999
22540,2008-12-20T09:00:00Z,21.2010,120.8620,,0,-10.4,-2.8,-0.21,-0.06,211,15,-0.073,0.483,01119711111111
22540,2008-12-20T09:35:00Z,21.2090,120.8670,24.9,0,,,,,,,,,01441799999999
22540,2008-12-20T12:00:00Z,21.2400,120.8490,,0,-10.8,-3,-0.22,-0.06,211,15,-0.253,0.382,01119711111111
22540,2008-12-20T13:00:00Z,21.2500,120.8350,24.9,0,,,,,,,,,01111799999999
22540,2008-12-20T13:02:00Z,21.2500,120.8370,24.9,0,,,,,,,,,01441799999999
22540,2008-12-20T14:36:00Z,21.2690,120.8160,25,0,,,,,,,,,01111799999999
22540,2008-12-20T14:39:00Z,21.2500,120.8370,25,0,,,,,,,,,01111799999999
22540,2008-12-20T15:00:00Z,21.2750,120.8090,,0,-10.9,-2.8,-0.23,-0.06,211,15,-0.448,0.388,01119711111111
22540,2008-12-20T16:44:00Z,21.2500,120.8370,25.1,0,,,,,,,,,01111799999999
22540,2008-12-20T16:45:00Z,21.2970,120.7800,,0,,,,,,,,,01449799999999
22540,2008-12-20T16:48:00Z,21.2960,120.7810,,0,,,,,,,,,01119799999999
22540,2008-12-20T18:00:00Z,21.3150,120.7560,,0,-8.9,-2.9,-0.21,-0.05,211,15,-0.284,0.229,01119711111111
22540,2008-12-20T18:23:00Z,21.2960,120.7810,25.1,0,,,,,,,,,01111799999999
22540,2008-12-20T18:24:00Z,21.3190,120.7510,,0,,,,,,,,,01449799999999
22540,2008-12-20T18:29:00Z,21.3170,120.7590,25.1,0,,,,,,,,,01441799999999
