PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),QC
22913,2008-12-26T19:39:00Z,19.3200,123.0330,26,0,014417
22913,2008-12-26T20:14:00Z,19.3280,123.0230,26.1,0,011117
22913,2008-12-26T21:12:00Z,19.3280,123.0230,26.2,0,011117
22913,2008-12-26T21:20:00Z,19.3330,123.0120,26.2,0,014417
22913,2008-12-26T21:59:00Z,19.3380,123.0050,26.2,0,011117
22913,2008-12-27T00:42:00Z,19.3380,123.0050,26.3,0,011117
22913,2008-12-27T00:50:00Z,19.3520,122.9740,26.3,0,014417
22913,2008-12-27T00:59:00Z,19.3520,122.9740,26.3,0,011117
22913,2008-12-27T01:08:00Z,19.3550,122.9740,26.3,0,011117
22913,2008-12-27T02:23:00Z,19.3520,122.9740,26.3,0,011117
22913,2008-12-27T02:44:00Z,19.3490,122.9700,26.3,0,011117
22913,2008-12-27T02:47:00Z,19.3490,122.9700,26.3,0,011117
22913,2008-12-27T04:41:00Z,19.3360,122.9610,26.4,0,011117
22913,2008-12-27T06:14:00Z,19.3350,122.9630,26.3,0,011117
22913,2008-12-27T06:23:00Z,19.3150,122.9380,26.3,0,014417
22913,2008-12-27T07:26:00Z,19.3150,122.9380,26.3,0,011117
22913,2008-12-27T08:20:00Z,19.3150,122.9380,26.3,0,011117
22913,2008-12-27T08:30:00Z,19.3030,122.9200,26.3,0,014417
22913,2008-12-27T09:05:00Z,19.2970,122.9020,26.3,0,011117
22913,2008-12-27T12:17:00Z,19.3140,122.8160,26.3,0,011117
22913,2008-12-27T13:38:00Z,19.3390,122.7940,26.3,0,011117
22913,2008-12-27T13:54:00Z,19.3370,122.7800,26.3,0,014417
22913,2008-12-27T17:11:00Z,19.3840,122.7280,26.2,0,011117
22913,2008-12-27T17:14:00Z,19.3850,122.7220,26.2,0,014417
22913,2008-12-27T18:51:00Z,19.3850,122.7220,26.3,0,011117
22913,2008-12-27T18:57:00Z,19.4060,122.7000,26.3,0,014417
22913,2008-12-27T19:11:00Z,19.3850,122.7220,26.2,0,014417
22913,2008-12-27T20:03:00Z,19.4230,122.6960,26.3,0,014417
22913,2008-12-27T20:51:00Z,19.4240,122.6960,26.3,0,011117
22913,2008-12-27T20:56:00Z,19.4240,122.6960,26.3,0,011117
22913,2008-12-27T21:42:00Z,19.4410,122.6810,26.3,0,011117
22913,2008-12-28T00:20:00Z,19.4410,122.6810,26.4,0,011117
22913,2008-12-28T00:24:00Z,19.4630,122.6830,26.4,0,014417
22913,2008-12-28T00:44:00Z,19.4610,122.6860,26.4,0,011117
22913,2008-12-28T00:47:00Z,19.4620,122.6850,26.4,0,011117
22913,2008-12-28T01:57:00Z,19.4630,122.6830,26.4,0,011117
22913,2008-12-28T02:05:00Z,19.4680,122.6870,26.4,0,011117
22913,2008-12-28T02:27:00Z,19.4650,122.6850,26.4,0,011117
22913,2008-12-28T04:23:00Z,19.4650,122.6850,26.5,0,011117
22913,2008-12-28T04:32:00Z,19.4610,122.6710,26.5,0,014417
22913,2008-12-28T06:09:00Z,19.4620,122.6400,26.5,0,011117
22913,2008-12-28T06:12:00Z,19.4630,122.6400,26.5,0,011117
22913,2008-12-28T07:15:00Z,19.4630,122.6400,26.5,0,011117
22913,2008-12-28T08:00:00Z,19.4600,122.5850,26.5,0,014417
22913,2008-12-28T08:56:00Z,19.4630,122.5920,26.5,0,011117
22913,2008-12-28T09:44:00Z,19.4740,122.5510,26.5,0,014417
22913,2008-12-28T11:30:00Z,19.4740,122.5510,26.5,0,011117
22913,2008-12-28T11:54:00Z,19.5040,122.4830,26.5,0,014417
22913,2008-12-28T13:15:00Z,19.5280,122.4580,26.5,0,011117
22913,2008-12-28T13:29:00Z,19.5280,122.4580,26.5,0,011117
22913,2008-12-28T13:38:00Z,19.5350,122.4420,26.5,0,014417
22913,2008-12-28T14:51:00Z,19.5280,122.4580,26.5,0,011117
22913,2008-12-28T16:59:00Z,19.5350,122.4420,26.5,0,011117
22913,2008-12-28T17:06:00Z,19.6100,122.3890,26.5,0,014417
22913,2008-12-28T18:39:00Z,19.6100,122.3890,26.6,0,011117
22913,2008-12-28T18:45:00Z,19.6410,122.3750,26.6,0,014417
22913,2008-12-28T19:51:00Z,19.6420,122.3780,26.6,0,011117
22913,2008-12-28T20:27:00Z,19.6410,122.3750,26.6,0,011117
22913,2008-12-28T20:35:00Z,19.6410,122.3750,26.6,0,011117
22913,2008-12-28T21:30:00Z,19.6530,122.3780,26.6,0,011117
22913,2008-12-28T21:36:00Z,19.6810,122.3500,26.6,0,014417
22913,2008-12-28T22:09:00Z,19.6870,122.3620,26.6,0,011117
22913,2008-12-28T23:59:00Z,19.6870,122.3620,26.6,0,011117
22913,2008-12-29T00:23:00Z,19.7090,122.3420,26.6,0,011117
22913,2008-12-29T01:36:00Z,19.6870,122.3620,26.7,0,011117
22913,2008-12-29T01:39:00Z,19.7190,122.3330,26.7,0,014417
22913,2008-12-29T01:44:00Z,19.7180,122.3350,26.7,0,011117
22913,2008-12-29T01:59:00Z,19.7180,122.3350,26.6,0,011117
22913,2008-12-29T02:06:00Z,19.7220,122.3270,26.7,0,014417
22913,2008-12-29T04:12:00Z,19.7220,122.3270,26.7,0,011117
22913,2008-12-29T04:20:00Z,19.7370,122.2930,26.7,0,014417
22913,2008-12-29T06:02:00Z,19.7710,122.2620,26.7,0,011117
22913,2008-12-29T07:03:00Z,19.7710,122.2620,26.7,0,011117
22913,2008-12-29T07:33:00Z,19.7710,122.2620,26.7,0,011117
22913,2008-12-29T07:41:00Z,19.7920,122.2280,26.7,0,014417
22913,2008-12-29T08:50:00Z,19.8120,122.1980,26.7,0,011117
22913,2008-12-29T09:18:00Z,19.8120,122.1980,26.7,0,011117
22913,2008-12-29T09:20:00Z,19.8180,122.1880,26.7,0,014417
22913,2008-12-29T10:23:00Z,19.8180,122.1880,26.7,0,011117
22913,2008-12-29T10:26:00Z,19.8280,122.1630,26.7,0,014417
22913,2008-12-29T11:29:00Z,19.8280,122.1630,26.7,0,011117
22913,2008-12-29T12:51:00Z,19.8590,122.1030,26.6,0,014417
22913,2008-12-29T13:15:00Z,19.8590,122.1030,26.6,0,011117
22913,2008-12-29T14:30:00Z,19.8950,122.0530,26.6,0,014417
22913,2008-12-29T14:51:00Z,19.9020,122.0640,26.6,0,011117
22913,2008-12-29T16:50:00Z,19.9460,122.0070,26.6,0,011117
22913,2008-12-29T18:27:00Z,19.9430,122.0080,26.6,0,011117
22913,2008-12-29T18:32:00Z,19.9690,121.9990,26.6,0,014417
22913,2008-12-29T19:36:00Z,19.9680,121.9980,26.6,0,011117
22913,2008-12-29T20:09:00Z,19.9680,121.9980,26.6,0,011117
22913,2008-12-29T21:15:00Z,19.9680,121.9980,26.6,0,011117
22913,2008-12-29T21:21:00Z,19.9930,121.9950,26.6,0,014417
22913,2008-12-29T21:44:00Z,19.9930,121.9950,26.6,0,011117
22913,2008-12-29T21:48:00Z,19.9980,121.9830,26.6,0,014417
22913,2008-12-29T22:59:00Z,19.9980,121.9830,26.6,0,011117
22913,2008-12-30T00:03:00Z,19.9940,121.9440,26.6,0,011117
22913,2008-12-30T01:14:00Z,20.0150,121.9000,26.6,0,011117
22913,2008-12-30T01:20:00Z,20.0130,121.9050,26.6,0,014417
22913,2008-12-30T01:44:00Z,20.0160,121.8860,26.6,0,011117
22913,2008-12-30T02:56:00Z,20.0130,121.9050,26.6,0,011117
22913,2008-12-30T02:59:00Z,20.0230,121.8420,26.6,0,014417
22913,2008-12-30T04:02:00Z,20.0160,121.8860,26.6,0,011117
22913,2008-12-30T04:08:00Z,20.0260,121.8000,26.6,0,014417
22913,2008-12-30T05:53:00Z,20.0260,121.8000,,0,011197
22913,2008-12-30T07:15:00Z,20.0640,121.7570,26.6,0,011117
22913,2008-12-30T08:32:00Z,20.0820,121.7000,26.6,0,011117
22913,2008-12-30T08:38:00Z,20.1270,121.6640,26.6,0,014417
22913,2008-12-30T08:57:00Z,20.1360,121.6560,26.6,0,011117
22913,2008-12-30T10:12:00Z,20.1270,121.6470,26.6,0,011117
22913,2008-12-30T10:15:00Z,20.1680,121.6210,26.6,0,014417
22913,2008-12-30T12:20:00Z,20.1680,121.6210,26.6,0,011117
22913,2008-12-30T12:26:00Z,20.2200,121.5440,26.6,0,014417
22913,2008-12-30T12:54:00Z,20.2370,121.5300,26.6,0,011117
22913,2008-12-30T14:08:00Z,20.2780,121.4980,26.6,0,011117
22913,2008-12-30T14:33:00Z,20.2890,121.4750,26.6,0,014417
22913,2008-12-30T16:39:00Z,20.2890,121.4750,26.6,0,011117
22913,2008-12-30T16:44:00Z,20.3570,121.4030,26.6,0,014417
22913,2008-12-30T18:18:00Z,20.3550,121.4030,26.6,0,011117
22913,2008-12-30T18:24:00Z,20.4150,121.3660,26.6,0,014417
22913,2008-12-30T19:39:00Z,20.4150,121.3660,26.6,0,011117
22913,2008-12-30T19:44:00Z,20.4610,121.3640,26.6,0,014417
22913,2008-12-30T21:03:00Z,20.4610,121.3640,26.7,0,011117
22913,2008-12-30T21:05:00Z,20.5130,121.3660,26.7,0,014417
22913,2008-12-30T21:09:00Z,20.5100,121.3710,26.7,0,014417
22913,2008-12-30T21:18:00Z,20.5100,121.3710,26.7,0,011117
22913,2008-12-30T21:21:00Z,20.5150,121.3690,26.7,0,014417
22913,2008-12-30T21:26:00Z,20.5170,121.3720,26.7,0,011117
22913,2008-12-30T22:48:00Z,20.5460,121.3770,26.6,0,011117
22913,2008-12-31T00:50:00Z,20.5170,121.3720,26.6,0,011117
22913,2008-12-31T00:56:00Z,20.5490,121.3620,26.6,0,014417
22913,2008-12-31T01:14:00Z,20.5490,121.3620,26.6,0,011117
22913,2008-12-31T01:26:00Z,20.5490,121.3500,26.6,0,014417
22913,2008-12-31T02:32:00Z,20.5490,121.3620,26.6,0,011117
22913,2008-12-31T02:59:00Z,20.5460,121.3010,26.6,0,014417
22913,2008-12-31T03:54:00Z,20.5460,121.3010,26.6,0,011117
22913,2008-12-31T05:41:00Z,20.5350,121.2710,26.7,0,011117
22913,2008-12-31T06:48:00Z,20.5720,121.1290,26.7,0,014417
22913,2008-12-31T08:26:00Z,20.5720,121.1290,26.7,0,011117
22913,2008-12-31T08:35:00Z,20.5720,121.1290,26.8,0,011117
22913,2008-12-31T10:02:00Z,20.6690,120.9510,26.8,0,014417
22913,2008-12-31T10:05:00Z,20.7270,120.8940,26.8,0,014417
22913,2008-12-31T10:09:00Z,20.7300,120.8850,26.8,0,014417
22913,2008-12-31T12:00:00Z,20.7270,120.8940,26.7,0,011117
22913,2008-12-31T12:32:00Z,20.8360,120.7840,26.6,0,014417
22913,2008-12-31T13:42:00Z,20.7270,120.8940,26.5,0,014417
22913,2008-12-31T14:14:00Z,20.9240,120.7450,26.5,0,014417
