PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),DEPH LEVEL9 (meter),TEMP LEVEL10 (degree_Celsius),DEPH LEVEL10 (meter),QC
41671,2008-12-20T00:04:00Z,22.2470,122.9920,25.3,0,,,,,,,,,,,,,,,,,,,,0111179999999999999999999
41671,2008-12-20T00:19:00Z,22.2470,122.9920,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T00:34:00Z,22.2470,122.9920,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T00:48:00Z,22.2470,122.9920,,,24.1,9,25.4,15,25.3,29,,31,25.3,32,,70,,110,,150,,,,0111991111119111919191999
41671,2008-12-20T00:49:00Z,22.2470,122.9920,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T01:03:00Z,22.2470,122.9920,,,24.1,9,25.4,15,25.3,29,,31,25.3,32,,70,,110,,150,,,,0111991111119111919191999
41671,2008-12-20T01:04:00Z,22.2470,122.9920,25.3,0,,,,,,,,,,,,,,,,,,,,0111179999999999999999999
41671,2008-12-20T01:18:00Z,22.2470,122.9920,25.3,,25.3,0,24.1,9,25.4,15,25.3,29,,31,25.3,32,24.9,70,,110,150,,,0111191111111191111191199
41671,2008-12-20T02:19:00Z,22.2530,122.9680,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T03:03:00Z,22.2550,122.9510,,,24.1,9,25.4,15,25.3,28,,29,25.3,31,25.1,67,,106,,144,,,,0111991111119111119191999
41671,2008-12-20T03:18:00Z,22.2550,122.9510,,,24.1,9,25.4,15,25.3,28,,29,25.3,31,25.1,67,,106,,144,,,,0111991111119111119191999
41671,2008-12-20T03:19:00Z,22.2530,122.9680,,0,,,,,,,,,,,,,,,,,,,,0144979999999999999999999
41671,2008-12-20T03:33:00Z,22.2550,122.9510,25.3,,25.3,0,24.1,9,25.4,15,25.3,28,,29,25.3,31,25.1,67,,106,144,,,0144191111111191111191199
41671,2008-12-20T03:34:00Z,22.2550,122.9510,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T03:49:00Z,22.2550,122.9510,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T04:04:00Z,22.2550,122.9510,25.3,0,,,,,,,,,,,,,,,,,,,,0111179999999999999999999
41671,2008-12-20T04:19:00Z,22.2550,122.9510,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T04:33:00Z,22.2550,122.9510,,,24,9,25.4,15,25.1,28,25.3,31,,64,,101,,138,,,,,,0111991111111191919199999
41671,2008-12-20T04:34:00Z,22.2550,122.9510,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T04:48:00Z,22.2550,122.9510,,,24,9,25.4,15,25.1,28,25.3,31,,64,,101,,138,,,,,,0111991111111191919199999
41671,2008-12-20T04:49:00Z,22.2550,122.9510,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T05:03:00Z,22.2550,122.9510,25.3,,25.3,0,24,9,25.4,15,25.1,28,25.3,31,,64,24.1,101,,138,,,,0111191111111111911191999
41671,2008-12-20T05:04:00Z,22.2600,122.9340,25.3,0,,,,,,,,,,,,,,,,,,,,0144179999999999999999999
41671,2008-12-20T05:18:00Z,22.2600,122.9340,,,24,9,25.4,15,,27,25.1,28,25.3,31,,64,24.5,100,,136,,,,0111991111911111911191999
41671,2008-12-20T05:33:00Z,22.2600,122.9340,,,24,9,25.4,15,,27,25.1,28,25.3,31,,64,24.2,100,,136,,,,0111991111911111911191999
41671,2008-12-20T05:48:00Z,22.2600,122.9340,25.3,,25.3,0,24,9,25.4,15,,27,25.1,28,25.3,31,24.9,64,24.2,100,136,,,0111191111119111111111199
41671,2008-12-20T06:03:00Z,22.2600,122.9360,,,23.9,9,25.4,15,,27,25.1,28,25.3,31,,63,,99,,135,,,,0111991111911111919191999
41671,2008-12-20T06:18:00Z,22.2600,122.9360,,,23.9,9,25.4,15,,27,25.1,28,25.3,31,,63,,99,,135,,,,0111991111911111919191999
41671,2008-12-20T06:19:00Z,22.2600,122.9360,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T06:33:00Z,22.2600,122.9360,25.3,,25.3,0,23.9,9,25.4,15,,27,25.1,28,25.3,31,24.9,63,,99,135,,,0111191111119111111191199
41671,2008-12-20T06:34:00Z,22.2600,122.9360,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
41671,2008-12-20T06:49:00Z,22.2600,122.9360,,0,,,,,,,,,,,,,,,,,,,,0111979999999999999999999
