PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),WSPE_MODEL LEVEL0 (meter/second),WSPN_MODEL LEVEL0 (meter/second),WSTE_MODEL LEVEL0 (newton/m2),WSTN_MODEL LEVEL0 (newton/m2),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),CURRENT_TEST LEVEL2 (none),DEPH LEVEL2 (meter),EWCT LEVEL2 (meter/second),NSCT LEVEL2 (meter/second),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),TEMP LEVEL10 (degree_Celsius),DEPH LEVEL10 (meter),TEMP LEVEL11 (degree_Celsius),DEPH LEVEL11 (meter),TEMP LEVEL12 (degree_Celsius),DEPH LEVEL12 (meter),QC
41921,2008-12-20T00:00:00Z,20.7870,122.8990,,0,-10.6,-3.8,-0.21,-0.08,,,,211,15,-0.091,0.337,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T00:05:00Z,20.7880,122.8990,25.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T00:21:00Z,20.7880,122.8990,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T00:35:00Z,20.7880,122.8990,,,,,,,25.6,15,25.6,,31,,,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T00:36:00Z,20.7880,122.8990,,,,,,,25.6,15,25.6,,31,,,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T00:50:00Z,20.7880,122.8990,,,,,,,25.6,15,25.6,,31,,,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T00:51:00Z,20.7880,122.8990,,,,,,,25.6,15,25.6,,31,,,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T01:05:00Z,20.7880,122.8990,25.6,,,,,,25.6,0,25.6,,15,,,25.6,31,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,0111199999111919911111111111111999999
41921,2008-12-20T01:06:00Z,20.7880,122.8990,25.6,,,,,,25.6,0,25.6,,15,,,25.6,31,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,0111199999111919911111111111111999999
41921,2008-12-20T03:00:00Z,20.8270,122.8940,,0,-9.6,-3.7,-0.19,-0.07,,,,211,15,-0.049,0.391,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T03:20:00Z,20.8090,122.8940,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T03:35:00Z,20.8090,122.8940,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T03:36:00Z,20.8090,122.8940,,,,,,,25.6,15,25.6,,31,,,25.6,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T03:50:00Z,20.8090,122.8940,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T03:51:00Z,20.8090,122.8940,,,,,,,25.6,15,25.6,,31,,,25.2,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,,,0111999999111919911111111111199999999
41921,2008-12-20T04:05:00Z,20.8090,122.8940,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T04:06:00Z,20.8090,122.8940,25.6,,,,,,25.6,0,25.6,,15,,,25.6,31,25.5,40,25.6,46,25.6,61,25.5,64,24.4,74,25.6,89,,,,,,,0111199999111919911111111111111999999
41921,2008-12-20T04:20:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999999999999
41921,2008-12-20T04:35:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T04:50:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T05:05:00Z,20.8630,122.8900,25.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T05:06:00Z,20.8630,122.8900,,,,,,,25.6,15,25.6,,16,,,25.6,32,25.6,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,,,0111999999111919911111111111111999999
41921,2008-12-20T05:21:00Z,20.8630,122.8900,,,,,,,25.6,15,25.6,,16,,,25.6,32,25.6,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,,,0111999999111919911111111111111999999
41921,2008-12-20T05:36:00Z,20.8630,122.8900,25.6,,,,,,25.6,0,25.6,,15,,,25.6,16,25.6,32,25.6,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,0111199999111919911111111111111119999
41921,2008-12-20T06:00:00Z,20.8630,122.8890,,0,-9.3,-3.8,-0.16,-0.05,,,,211,15,-0.175,0.257,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T06:20:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T06:21:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T06:35:00Z,20.8630,122.8900,,,,,,,25.6,15,25.5,,16,,,25.6,32,,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T06:50:00Z,20.8630,122.8900,,,,,,,25.6,15,25.5,,16,,,25.6,32,,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T07:05:00Z,20.8630,122.8900,25.6,,,,,,25.6,0,25.6,,15,,,25.5,16,25.6,32,24.2,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,0111199999111919911111111111111119999
41921,2008-12-20T07:20:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T07:35:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T07:50:00Z,20.8630,122.8900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T08:05:00Z,20.8630,122.8900,25.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T08:20:00Z,20.8740,122.8570,,,,,,,25.6,15,25.2,,16,,,25.6,32,,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,,,0144999999111919911911111111111999999
41921,2008-12-20T08:35:00Z,20.8740,122.8570,25.6,,,,,,25.6,0,25.6,,15,,,25.4,16,25.6,32,24.3,41,25.6,47,25.6,62,25.5,66,24.4,76,25.6,91,,,,,0111199999111919911111111111111119999
41921,2008-12-20T08:51:00Z,20.8740,122.8570,,,,,,,25.6,15,25.5,,16,,,25.6,31,,41,25.6,46,25.6,61,25.5,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T09:00:00Z,20.8770,122.8570,,0,-9.2,-2.6,-0.15,-0.05,,,,211,15,-0.086,0.304,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T09:06:00Z,20.8740,122.8570,,,,,,,25.6,15,25.2,,16,,,25.6,31,,41,25.6,46,25.6,61,25.4,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T09:21:00Z,20.8740,122.8570,25.6,,,,,,25.6,0,25.6,,15,,,25.1,16,25.6,31,23.7,41,25.6,46,25.6,61,25.3,66,24.4,76,25.6,91,,,,,0111199999111919911111111111111119999
41921,2008-12-20T09:35:00Z,20.8740,122.8570,,,,,,,25.6,15,25,,16,,,25.6,32,,41,25.6,47,25.6,62,25.2,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T09:50:00Z,20.8740,122.8570,,,,,,,25.6,15,25.1,,16,,,25.6,32,,41,25.6,47,25.6,62,25.4,66,24.4,76,25.6,91,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T10:05:00Z,20.8740,122.8570,25.6,,,,,,25.6,0,25.6,,15,,,25.1,16,25.6,32,23.6,41,25.6,47,25.6,62,25.4,66,24.4,76,25.6,91,,,,,0111199999111919911111111111111119999
41921,2008-12-20T10:20:00Z,20.8740,122.8570,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T10:35:00Z,20.8740,122.8570,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T10:50:00Z,20.8740,122.8570,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T11:05:00Z,20.9300,122.8720,25.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999999999999
41921,2008-12-20T11:20:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T11:21:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T11:35:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T11:36:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T11:50:00Z,20.9300,122.8720,,,,,,,25.6,15,,,16,,,25.6,31,,40,25.6,46,25.6,61,24.7,65,24.4,75,25.6,90,,,,,,,0111999999119919911911111111111999999
41921,2008-12-20T11:51:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T12:00:00Z,20.9230,122.8710,,0,-9.5,-3.1,-0.14,-0.04,,,,211,15,-0.029,0.246,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T12:05:00Z,20.9300,122.8720,25.3,,,,,,25.32,0,25.6,,15,,,,16,25.6,31,23.1,40,25.6,46,25.6,61,24.9,65,24.4,75,25.6,90,,,,,0111199999111919991111111111111119999
41921,2008-12-20T12:06:00Z,20.9300,122.8720,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T12:20:00Z,20.9300,122.8720,25.6,,,,,,25.6,0,25.6,,15,,,,16,25.6,31,23.1,40,25.6,46,25.6,61,25,65,24.4,75,25.6,90,,,,,0111199999111919991111111111111119999
41921,2008-12-20T13:20:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T13:21:00Z,20.9300,122.8720,,,,,,,25.6,15,24.9,,16,,,25.6,31,,40,25.6,46,25.6,61,25.3,65,24.4,75,25.6,90,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T13:35:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T13:36:00Z,20.9300,122.8720,,,,,,,25.6,15,25.3,,16,,,25.6,31,,40,25.6,46,25.6,61,25.4,65,24.4,75,25.6,90,,,,,,,0111999999111919911911111111111999999
41921,2008-12-20T13:50:00Z,20.9230,122.8590,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999999999999
41921,2008-12-20T13:51:00Z,20.9300,122.8720,25.6,,,,,,25.6,0,25.6,,15,,,25.3,16,25.6,31,24.4,40,25.6,46,25.6,61,25.4,65,24.4,75,25.6,90,,,,,0111199999111919911111111111111119999
41921,2008-12-20T14:05:00Z,20.9230,122.8590,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999999999999
41921,2008-12-20T15:00:00Z,20.9250,122.8510,,0,-10.7,-2.1,-0.2,-0.04,,,,211,15,-0.35,0.148,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T15:20:00Z,20.9300,122.8720,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T15:35:00Z,20.9300,122.8720,,,,,,,25.6,15,25.6,,31,,,,39,25.6,46,25.6,60,25.4,64,24.3,74,25.5,88,,,,,,,,,0111999999111919991111111111199999999
41921,2008-12-20T15:50:00Z,20.9300,122.8720,,,,,,,25.6,15,25.6,,31,,,,39,25.6,46,25.6,60,25.4,64,24.3,74,25.5,88,,,,,,,,,0111999999111919991111111111199999999
41921,2008-12-20T16:05:00Z,20.9300,122.8720,25.5,,,,,,25.5,0,25.6,,15,,,25.6,31,,39,25.6,46,25.6,60,25.4,64,24.3,74,25.5,88,,,,,,,0111199999111919911911111111111999999
41921,2008-12-20T17:20:00Z,20.9390,122.8160,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T17:35:00Z,20.9390,122.8160,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T17:50:00Z,20.9390,122.8160,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T17:51:00Z,20.9550,122.7930,,,,,,,25.5,15,25.6,,31,,,,39,25.6,46,25.5,60,25.4,64,24.3,74,25.5,88,,,,,,,,,0144999999111919991111111111199999999
41921,2008-12-20T18:00:00Z,20.9510,122.7980,,0,-9.6,-3,-0.19,-0.04,,,,211,15,-0.462,0.231,,,,,,,,,,,,,,,,,,,,,0111971111999111199999999999999999999
41921,2008-12-20T18:05:00Z,20.9390,122.8160,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999999999999
41921,2008-12-20T18:06:00Z,20.9550,122.7930,,,,,,,25.5,15,25.6,,31,,,,39,25.6,46,25.5,60,25.4,64,24.3,74,25.5,88,,,,,,,,,0144999999111919991111111111199999999
41921,2008-12-20T18:21:00Z,20.9550,122.7930,25.5,,,,,,25.5,0,25.5,,15,,,25.6,31,,39,25.6,46,25.5,60,25.4,64,24.3,74,25.5,88,,,,,,,0111199999111919911911111111111999999
41921,2008-12-20T18:35:00Z,20.9550,122.7930,,,,,,,25.5,15,25.6,,31,,,,39,25.5,46,25.5,60,25.4,63,24.3,73,25.5,87,,,,,,,,,0111999999111919991111111111199999999
41921,2008-12-20T18:36:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T18:50:00Z,20.9550,122.7930,,,,,,,25.5,15,25.6,,31,,,,39,25.5,46,25.5,60,24.9,63,24.3,73,25.5,87,,,,,,,,,0111999999111919991111111111199999999
41921,2008-12-20T18:51:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T19:05:00Z,20.9550,122.7930,25.5,,,,,,25.5,0,25.5,,15,,,25.6,31,,39,25.5,46,25.5,60,25.3,63,24.3,73,25.5,87,,,,,,,0111199999111919911911111111111999999
41921,2008-12-20T19:06:00Z,20.9550,122.7930,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111179999999999999999999999999999999
41921,2008-12-20T19:20:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T19:21:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T19:35:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999999999999
41921,2008-12-20T19:36:00Z,20.9640,122.7660,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999999999999
41921,2008-12-20T19:50:00Z,20.9550,122.7930,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999999999999
41921,2008-12-20T19:51:00Z,20.9640,122.7660,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999999999999
41921,2008-12-20T20:05:00Z,20.9550,122.7930,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999999999999
41921,2008-12-20T20:06:00Z,20.9640,122.7660,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999999999999
41921,2008-12-20T20:20:00Z,20.9640,122.7660,,,,,,,25.5,15,25.5,,31,,,,39,25.5,46,25.5,60,25,64,24.3,74,25.5,88,,,,,,,,,0111999999111919991111111111199999999
