PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),TEMP LEVEL7 (degree_Celsius),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),TEMP LEVEL10 (degree_Celsius),DEPH LEVEL10 (meter),TEMP LEVEL11 (degree_Celsius),DEPH LEVEL11 (meter),TEMP LEVEL12 (degree_Celsius),DEPH LEVEL12 (meter),QC
41922,2008-12-20T00:40:00Z,20.8470,122.0700,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41922,2008-12-20T00:41:00Z,20.8470,122.0700,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41922,2008-12-20T00:55:00Z,20.8470,122.0700,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41922,2008-12-20T00:56:00Z,20.8470,122.0700,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41922,2008-12-20T01:09:00Z,20.8600,122.0690,,,25,14,24.9,29,24.6,43,,85,,107,22.2,118,,,,,,,,,,,,,014499111111919111999999999999
41922,2008-12-20T01:10:00Z,20.8470,122.0700,,,25,14,24.9,29,24.6,43,,85,,107,22.2,118,,,,,,,,,,,,,014499111111919111999999999999
41922,2008-12-20T01:11:00Z,20.8470,122.0700,,0,,,,,,,,,,,,,,,,,,,,,,,,,011197999999999999999999999999
41922,2008-12-20T01:24:00Z,20.8600,122.0690,,,25,14,24.8,29,24.5,43,,85,,107,22.3,118,,,,,,,,,,,,,014499111111919111999999999999
41922,2008-12-20T01:25:00Z,20.8470,122.0700,24.8,,24.84,0,25,14,24.8,29,24.5,43,,85,22.6,107,22.3,118,,,,,,,,,,,014419111111119111119999999999
41922,2008-12-20T01:26:00Z,20.8470,122.0700,24.8,0,,,,,,,,,,,,,,,,,,,,,,,,,011117999999999999999999999999
41922,2008-12-20T01:39:00Z,20.8600,122.0690,25,,25,0,25.1,14,24.8,29,24.5,43,,85,22.6,107,22.3,118,,,,,,,,,,,014419111111119111119999999999
