PLATFORM,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),TEMP LEVEL0 (degree_Celsius),DEPH LEVEL0 (meter),TEMP LEVEL1 (degree_Celsius),DEPH LEVEL1 (meter),TEMP LEVEL2 (degree_Celsius),DEPH LEVEL2 (meter),TEMP LEVEL3 (degree_Celsius),DEPH LEVEL3 (meter),TEMP LEVEL4 (degree_Celsius),DEPH LEVEL4 (meter),TEMP LEVEL5 (degree_Celsius),DEPH LEVEL5 (meter),TEMP LEVEL6 (degree_Celsius),DEPH LEVEL6 (meter),DEPH LEVEL7 (meter),TEMP LEVEL8 (degree_Celsius),DEPH LEVEL8 (meter),TEMP LEVEL9 (degree_Celsius),DEPH LEVEL9 (meter),DEPH LEVEL10 (meter),TEMP LEVEL11 (degree_Celsius),DEPH LEVEL11 (meter),DEPH LEVEL12 (meter),DEPH LEVEL13 (meter),QC
41928,2008-12-20T00:51:00Z,19.5480,123.0040,,,26.6,30,,45,26.2,60,26.3,73,26.1,88,,103,148,,,,,,,,,,0111991191111111911999999999
41928,2008-12-20T00:52:00Z,19.5480,123.0040,,,26.6,30,,45,26.2,60,26.3,73,26.1,88,,103,148,,,,,,,,,,0111991191111111911999999999
41928,2008-12-20T00:53:00Z,19.5480,123.0040,,0,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999
41928,2008-12-20T01:06:00Z,19.5480,123.0040,,,26.5,30,,45,26.2,60,26.3,73,26.2,88,,103,148,,,,,,,,,,0111991191111111911999999999
41928,2008-12-20T01:07:00Z,19.5480,123.0040,,,26.5,30,,45,26.2,60,26.3,73,26.2,88,,103,148,,,,,,,,,,0111991191111111911999999999
41928,2008-12-20T01:08:00Z,19.5480,123.0040,,0,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999
41928,2008-12-20T01:21:00Z,19.5480,123.0040,26.5,,26.5,0,26.6,30,,45,26.3,60,26.3,73,26.2,88,103,23.7,148,,,,,,,,0111191111911111111119999999
41928,2008-12-20T01:22:00Z,19.5480,123.0040,26.5,,26.5,0,26.6,30,,45,26.3,60,26.3,73,26.2,88,103,23.7,148,,,,,,,,0111191111911111111119999999
41928,2008-12-20T01:23:00Z,19.5480,123.0040,,0,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999
41928,2008-12-20T01:37:00Z,19.5550,122.9640,26.6,0,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999
41928,2008-12-20T01:38:00Z,19.5480,123.0040,26.6,0,,,,,,,,,,,,,,,,,,,,,,,0144179999999999999999999999
41928,2008-12-20T03:06:00Z,19.5550,122.9640,,,26.6,31,,46,26.7,61,26.4,75,26.2,90,,104,147,,,,,,,,,,0111992191111111911999999999
41928,2008-12-20T03:21:00Z,19.5550,122.9640,,,26.6,31,,46,26.7,61,26.4,75,26.2,90,,104,147,,,,,,,,,,0111992191111111911999999999
41928,2008-12-20T03:36:00Z,19.5550,122.9640,26.5,,26.5,0,26.6,31,,46,26.7,61,26.4,75,26.2,90,104,,147,,,,,,,,0111191121911111111919999999
41928,2008-12-20T04:36:00Z,19.5550,122.9640,,,26.7,31,,46,26.5,61,26.3,75,26.2,90,,105,148,,,,,,,,,,0111992191111111911999999999
41928,2008-12-20T04:51:00Z,19.5550,122.9640,,,26.7,31,,46,26.4,61,26.3,75,26.2,90,,105,148,,,,,,,,,,0111992191111111911999999999
41928,2008-12-20T04:52:00Z,19.5770,122.9550,,0,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999
41928,2008-12-20T05:06:00Z,19.5550,122.9640,26.5,,26.5,0,26.7,31,,46,26.4,61,26.3,75,26.2,90,105,,148,,,,,,,,0144191121911111111919999999
41928,2008-12-20T05:07:00Z,19.5770,122.9550,,0,,,,,,,,,,,,,,,,,,,,,,,0144979999999999999999999999
41928,2008-12-20T05:22:00Z,19.5770,122.9550,,,26.7,31,,46,26.5,61,26.3,75,26.2,90,,105,148,,,,,,,,,,0111992191111111911999999999
41928,2008-12-20T05:37:00Z,19.5770,122.9550,26.7,,26.68,0,26.7,31,,46,26.4,61,26.3,75,26.2,90,105,,148,,,,,,,,0111191121911111111919999999
41928,2008-12-20T05:52:00Z,19.5770,122.9550,26.5,,26.5,0,26.7,31,,46,26.4,61,26.3,75,26.2,90,105,,148,,,,,,,,0111191121911111111919999999
41928,2008-12-20T05:53:00Z,19.5770,122.9550,,0,,,,,,,,,,,,,,,,,,,,,,,0111979999999999999999999999
