"TOA5","weather","CR1000","78322","CR1000.Std.28.02","CPU:boat_20180328.CR1","169","Table1"
"TIMESTAMP","RECORD","lng_deg","lat_deg","mean_boat_spd","mean_boat_dir","mean_WS_knot","mean_WindDir","mean_true_ws","mean_true_wd","mean_ws_sonic","mean_wd_sonic","true_sws_WVc(1)","true_sws_WVc(2)","AirTC_Avg","BP_mbar_Avg","RH","Slr_Wm2_Avg","PAR_Avg"
"TS","RN","Deg","Deg","knots","Deg","knots","Deg","knots","Deg","knots","Deg","knots","knots","DegC","hPa","%","W/m^2","uE/m^2sec"
"","","Smp","Smp","WVc","WVc","WVc","WVc","WVc","WVc","WVc","WVc","WVc","WVc","Avg","Avg","Smp","Avg","Avg"
"2019-06-06 00:00:00",575995,"NAN","NAN","NAN","NAN",1.02,6.563,"NAN",0,"NAN",0,"NAN",0,27.22,1011.23,64.75,0,1.634513
"2019-06-06 00:01:00",575996,"NAN","NAN","NAN","NAN",0.233,46.95,"NAN",0,"NAN",0,"NAN",0,27.27,1011.22,65.13,0,1.640973
"2019-06-06 00:02:00",575997,"NAN","NAN","NAN","NAN",0.959,43.41,"NAN",0,"NAN",0,"NAN",0,27.27,1011.221,65.53,0,1.636077
"2019-06-06 00:03:00",575998,"NAN","NAN","NAN","NAN",1.559,45.47,"NAN",0,"NAN",0,"NAN",0,27.26,1011.222,65.52,0,1.627585
"2019-06-06 00:04:00",575999,"NAN","NAN","NAN","NAN",1.496,354.5,"NAN",0,"NAN",0,"NAN",0,27.22,1011.223,65.21,0,1.621893
"2019-06-06 00:05:00",576000,"NAN","NAN","NAN","NAN",1.35,347.7,"NAN",0,"NAN",0,"NAN",0,27.17,1011.224,65.13,0,1.634943
"2019-06-06 00:06:00",576001,"NAN","NAN","NAN","NAN",1.657,327.6,"NAN",0,"NAN",0,"NAN",0,27.13,1011.218,65.38,0,1.638733
"2019-06-06 00:07:00",576002,"NAN","NAN","NAN","NAN",0.404,317.8,"NAN",0,"NAN",0,"NAN",0,27.12,1011.179,65.84,0,1.640174
"2019-06-06 00:08:00",576003,"NAN","NAN","NAN","NAN",0.001,309.4,"NAN",0,"NAN",0,"NAN",0,27.1,1011.081,66.16,0,1.641478
"2019-06-06 00:09:00",576004,"NAN","NAN","NAN","NAN",0.001,242.2,"NAN",0,"NAN",0,"NAN",0,27.1,1011.071,66.41,0,1.644009
"2019-06-06 00:10:00",576005,"NAN","NAN","NAN","NAN",0.001,242,"NAN",0,"NAN",0,"NAN",0,27.09,1011.069,66.63,0,1.651604
"2019-06-06 00:11:00",576006,"NAN","NAN","NAN","NAN",0.141,249.5,"NAN",0,"NAN",0,"NAN",0,27.09,1011.071,67.33,0,1.641275
"2019-06-06 00:12:00",576007,"NAN","NAN","NAN","NAN",0.718,263.1,"NAN",0,"NAN",0,"NAN",0,27.11,1011.079,68.77,0,1.644503
"2019-06-06 00:13:00",576008,"NAN","NAN","NAN","NAN",1.204,258.2,"NAN",0,"NAN",0,"NAN",0,27.15,1011.077,69.76,0,1.647891
"2019-06-06 00:14:00",576009,"NAN","NAN","NAN","NAN",0.442,258.4,"NAN",0,"NAN",0,"NAN",0,27.14,1011.078,69.77,0,1.641307
"2019-06-06 00:15:00",576010,"NAN","NAN","NAN","NAN",0.001,258.2,"NAN",0,"NAN",0,"NAN",0,27.12,1011.077,70.49,0,1.640417
"2019-06-06 00:16:00",576011,"NAN","NAN","NAN","NAN",0.061,258.2,"NAN",0,"NAN",0,"NAN",0,27.11,1011.075,71.16,0,1.651996
"2019-06-06 00:17:00",576012,"NAN","NAN","NAN","NAN",1.023,274,"NAN",0,"NAN",0,"NAN",0,27.1,1011.072,71.23,0,1.645344
"2019-06-06 00:18:00",576013,"NAN","NAN","NAN","NAN",0.709,262.9,"NAN",0,"NAN",0,"NAN",0,27.04,1011.066,71.81,0,1.657225
"2019-06-06 00:19:00",576014,"NAN","NAN","NAN","NAN",0.09,254.2,"NAN",0,"NAN",0,"NAN",0,27.01,1011.053,71.39,0,1.647511
"2019-06-06 00:20:00",576015,"NAN","NAN","NAN","NAN",0.639,256.8,"NAN",0,"NAN",0,"NAN",0,26.96,1010.993,71.28,0,1.635174
"2019-06-06 00:21:00",576016,"NAN","NAN","NAN","NAN",0.325,257.5,"NAN",0,"NAN",0,"NAN",0,26.92,1010.947,71.2,0,1.644043
"2019-06-06 00:22:00",576017,"NAN","NAN","NAN","NAN",0.001,256,"NAN",0,"NAN",0,"NAN",0,26.89,1010.944,70.79,0,1.645263
"2019-06-06 00:23:00",576018,"NAN","NAN","NAN","NAN",0.017,247.9,"NAN",0,"NAN",0,"NAN",0,26.83,1010.928,70.71,0,1.651569
